GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49,HD01_VD50,HD02_VD50,HD01_VD51,HD02_VD51,HD01_VD52,HD02_VD52,HD01_VD53,HD02_VD53,HD01_VD54,HD02_VD54,HD01_VD55,HD02_VD55,HD01_VD56,HD02_VD56,HD01_VD57,HD02_VD57,HD01_VD58,HD02_VD58,HD01_VD59,HD02_VD59,HD01_VD60,HD02_VD60,HD01_VD61,HD02_VD61,HD01_VD62,HD02_VD62,HD01_VD63,HD02_VD63,HD01_VD64,HD02_VD64,HD01_VD65,HD02_VD65,HD01_VD66,HD02_VD66,HD01_VD67,HD02_VD67,HD01_VD68,HD02_VD68,HD01_VD69,HD02_VD69
0500000US06073,06073,"San Diego County, California",74436,3578,6001,1191,516,355,500,414,216,223,851,444,305,317,486,339,617,459,356,301,548,442,644,484,315,252,409,360,41,69,0,292,197,323,0,292,39894,3155,1569,609,1378,602,2406,948,2104,902,2082,737,3027,836,3233,986,2742,1023,1795,792,3314,1042,5088,1291,5794,1497,2552,684,1399,487,919,481,492,426,23004,1915,1184,508,717,460,1639,629,850,417,956,571,1586,718,907,495,945,506,950,455,2001,825,2975,957,3013,904,1633,605,1778,695,1128,534,742,483,5537,1115,913,440,1048,494,251,200,567,310,376,242,124,154,263,201,159,155,188,236,906,484,278,244,115,137,58,96,224,321,0,292,67,111
0500000US06077,06077,"San Joaquin County, California",29205,2331,1228,524,251,264,0,292,0,292,86,99,47,79,0,292,225,231,125,205,48,83,0,292,86,138,240,294,120,190,0,292,0,292,0,292,17216,2077,618,342,708,598,989,465,1084,681,1114,496,1159,612,1344,586,1465,634,807,532,1296,519,2263,778,1483,666,1729,795,539,370,564,504,54,90,8314,1315,614,365,697,441,124,182,227,311,373,316,354,301,164,160,428,331,386,332,886,502,763,399,1402,600,1210,702,253,290,324,270,109,184,2447,669,232,210,497,399,285,256,161,155,346,305,282,283,199,172,48,79,85,97,88,101,132,124,92,117,0,292,0,292,0,292,0,292
0500000US06085,06085,"Santa Clara County, California",41162,3227,1840,666,287,295,46,75,128,210,0,292,198,259,298,266,0,292,0,292,0,292,123,123,312,293,201,201,247,244,0,292,0,292,0,292,22856,2432,750,501,666,497,1177,582,773,490,1126,698,732,447,1480,762,1172,568,425,298,3089,937,3382,1142,3128,959,1971,765,666,417,1341,621,978,659,13060,1707,1012,656,683,610,449,261,513,423,242,190,861,479,439,263,1442,628,390,386,1133,511,963,384,2017,750,1021,497,822,496,804,546,269,214,3406,874,405,324,203,214,431,335,340,302,153,143,232,193,266,178,102,91,46,77,400,442,164,197,168,165,47,77,131,158,184,177,134,106
0500000US06111,06111,"Ventura County, California",37125,2534,1673,722,308,353,0,292,56,96,0,292,176,287,0,292,51,88,257,351,0,292,357,338,49,84,216,278,45,75,96,162,62,103,0,292,20946,2107,657,412,289,223,824,550,1149,688,583,396,1263,632,995,608,1698,818,630,430,2077,774,3376,1058,3594,1005,1080,546,1494,780,829,537,408,395,11482,1255,102,123,222,280,166,166,781,506,811,553,439,360,405,300,669,452,1028,554,1076,560,2056,834,1638,592,1137,506,514,430,298,211,140,170,3024,810,564,391,528,378,432,426,371,308,111,98,264,293,207,245,0,292,0,292,110,132,252,254,185,235,0,292,0,292,0,292,0,292
0500000US12086,12086,"Miami-Dade County, Florida",32174,3293,1127,473,148,180,109,126,103,126,54,89,56,92,117,142,242,246,0,303,136,161,58,97,45,73,59,97,0,303,0,303,0,303,0,303,15375,2239,901,444,406,394,563,343,1001,640,1058,553,912,446,538,485,864,529,1076,655,1490,515,1950,710,3159,1124,738,398,264,202,215,176,240,200,12146,1907,714,338,543,439,548,379,1485,729,1033,575,324,347,805,456,747,447,1058,797,1308,525,892,431,1497,754,334,255,407,253,451,414,0,303,3526,1039,553,428,577,339,316,371,463,340,270,345,57,95,174,288,150,142,130,145,113,95,415,440,66,108,0,303,70,115,172,284,0,303
0500000US12095,12095,"Orange County, Florida",28754,2750,2494,923,357,306,0,303,121,139,354,344,82,138,443,273,293,284,207,217,115,142,230,231,43,74,25,42,145,246,79,128,0,303,0,303,17525,2135,813,521,568,442,1215,599,1661,794,1638,957,1745,790,879,522,1279,770,602,315,2095,1077,1435,765,1932,862,1432,683,119,138,59,98,53,87,7406,1391,573,477,792,631,195,270,652,496,372,331,211,160,732,454,490,474,495,453,524,378,713,544,864,469,526,359,56,92,0,303,211,276,1329,475,379,315,63,106,353,287,0,303,65,107,0,303,48,78,168,161,29,46,0,303,134,155,0,303,47,76,43,72,0,303,0,303
0500000US17031,17031,"Cook County, Illinois",215532,5018,11688,1663,1656,703,862,468,966,555,611,446,1521,757,1112,503,676,515,852,460,1233,743,857,593,486,414,739,541,117,193,0,265,0,265,0,265,121751,4634,3786,1095,6378,1537,8787,1693,11260,1830,7210,1459,9909,1952,8187,1801,7852,1675,7256,1402,10573,1933,15082,2091,14955,2559,5650,1275,3005,991,1092,533,769,487,68743,3494,4216,1080,2791,910,3364,1129,4549,1274,3106,964,4391,1278,4122,1127,3109,872,3923,1145,7170,1580,9305,1904,9264,1509,4793,1252,2165,1101,2346,1062,129,151,13350,1570,2794,917,1819,823,1459,646,391,319,1134,587,606,410,621,451,456,291,399,287,837,543,266,249,1069,617,998,563,148,242,248,245,105,120
0500000US32003,32003,"Clark County, Nevada",42893,3014,3172,707,232,229,194,162,438,326,252,263,326,286,257,212,40,63,392,337,54,91,457,376,388,355,50,82,92,106,0,298,0,298,0,298,27147,2526,1397,553,847,454,1119,577,1045,571,1421,677,2265,960,1413,568,1552,716,1650,656,3002,773,4065,900,4301,1026,1162,492,860,495,237,224,811,570,9929,1859,442,378,176,169,592,462,692,487,1288,775,495,378,195,184,879,534,206,239,1083,533,1111,531,1463,539,539,378,390,251,273,230,105,149,2645,836,360,315,627,538,181,201,211,200,0,298,135,158,64,107,270,282,62,104,372,457,95,159,168,167,42,68,0,298,0,298,58,97
0500000US34017,34017,"Hudson County, New Jersey",28027,2420,1737,610,455,308,270,222,221,274,51,88,57,93,175,172,117,193,72,123,72,123,40,67,0,277,37,61,170,231,0,277,0,277,0,277,13692,1680,861,523,622,375,1517,662,1097,602,1168,600,746,443,488,321,522,382,664,378,1532,639,1181,608,1280,588,761,459,343,317,437,402,473,420,8594,1362,1356,688,399,347,90,109,334,273,686,448,164,191,1014,512,809,479,667,438,397,293,1471,677,629,349,0,277,204,261,186,187,188,224,4004,1169,1408,804,528,422,118,192,386,374,96,111,290,283,312,411,324,372,162,204,0,277,140,163,167,203,0,277,73,120,0,277,0,277
0500000US35001,35001,"Bernalillo County, New Mexico",42579,2766,4334,932,1100,550,196,211,539,307,507,325,339,305,569,421,239,293,0,281,296,294,118,201,119,201,312,270,0,281,0,281,0,281,0,281,21482,2137,1354,616,769,536,1065,590,1451,859,1863,806,1947,864,2091,880,1415,664,1278,685,1763,688,2510,784,2406,832,866,364,403,363,246,170,55,91,13230,1591,1015,538,944,494,214,221,1074,609,958,516,698,446,741,444,882,515,185,188,1310,653,1975,657,1598,511,538,291,627,451,358,328,113,137,3533,733,478,283,722,330,345,273,279,234,362,249,10,16,181,173,61,100,99,116,272,358,314,236,168,159,179,282,0,281,63,106,0,281
0500000US36005,36005,"Bronx County, New York",170369,4586,6589,1439,1211,531,563,398,621,474,524,363,222,280,739,450,434,341,534,378,417,333,587,428,194,219,289,284,0,273,79,127,175,283,0,273,82240,3856,13877,2144,8515,1657,6466,1422,7212,1459,5290,1244,5613,1364,5023,1399,4952,1158,2460,833,4982,1005,6361,1411,6865,1575,1301,600,1506,728,1817,832,0,273,65181,2917,13142,1755,4593,991,5459,1277,5764,1477,3625,1068,3811,1090,3734,957,3257,936,2451,871,5186,1406,5444,1377,4163,1037,2742,944,1542,698,156,252,112,136,16359,1953,6138,1201,2666,850,2345,763,1063,548,391,339,636,479,290,267,667,460,66,109,773,557,368,321,580,349,310,322,0,273,66,109,0,273
0500000US36047,36047,"Kings County, New York",91471,4289,3495,904,816,345,227,203,413,347,404,310,356,300,269,261,242,251,98,158,192,253,193,220,192,212,93,154,0,273,0,273,0,273,0,273,43732,2699,4610,1264,3485,1043,3216,1062,4234,1195,2688,729,2734,1058,3850,1174,2302,944,2428,736,3720,1127,3388,955,3354,961,1738,749,994,598,510,430,481,405,31775,2793,4984,1176,2457,866,2944,925,2268,737,2145,875,2009,805,1684,714,1309,489,964,549,2915,950,2967,831,3153,902,761,453,625,499,265,192,325,214,12469,1339,4592,1031,2292,714,1724,690,600,393,490,411,398,326,293,296,291,292,627,458,531,478,53,86,311,274,0,273,0,273,211,210,56,92
0500000US36061,36061,"New York County, New York",74838,3653,2057,578,543,379,135,131,0,273,200,214,135,158,144,140,99,162,28,46,110,181,349,343,134,168,50,84,0,273,130,162,0,273,0,273,31118,2554,4909,1195,2417,993,2276,977,2641,875,2893,1036,1713,749,1814,818,2075,815,1338,597,2818,817,1949,864,2237,828,580,396,517,349,387,355,554,284,27503,2576,5130,1259,3300,959,2608,802,2509,949,1475,677,1725,641,1419,686,1720,651,1871,866,1497,627,1061,545,2189,839,441,298,64,107,337,289,157,154,14160,1760,5005,1410,2567,1017,1251,590,1579,802,374,349,322,311,347,269,345,567,82,138,446,395,772,492,555,446,201,220,113,133,201,340,0,273
0500000US36081,36081,"Queens County, New York",81936,4011,1879,619,333,297,32,54,0,273,143,209,0,273,324,296,77,122,145,185,62,105,67,113,272,230,287,247,61,101,35,58,41,68,0,273,43275,2939,2011,867,2306,859,1682,624,2567,957,2949,954,3172,1079,2108,760,1584,592,3082,882,4892,1377,5726,1485,5631,1344,2671,856,1351,554,1028,550,515,342,31156,2815,2108,822,946,545,1000,450,655,391,1674,694,2405,870,1675,785,2553,792,1699,788,2852,924,4284,1136,5202,1332,2079,801,1391,536,393,325,240,205,5626,1138,615,367,598,435,853,427,369,304,588,485,389,264,499,432,463,405,0,273,624,398,378,287,98,113,106,174,0,273,0,273,46,77
