GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD01_VD02,HD01_VD04,HD01_VD05,HD01_VD06
0500000US02188,02188,"Northwest Arctic Borough, Alaska",5223,3660,268,3392,1563
0500000US02195,02195,"Petersburg Borough, Alaska",2644,2139,37,2102,505
0500000US02198,02198,"Prince of Wales-Hyder Census Area, Alaska",4954,3611,122,3489,1343
0500000US02220,02220,"Sitka City and Borough, Alaska",7144,5538,412,5126,1606
0500000US02230,02230,"Skagway Municipality, Alaska",811,743,18,725,68
0500000US02240,02240,"Southeast Fairbanks Census Area, Alaska",5354,3796,351,3445,1558
0500000US02261,02261,"Valdez-Cordova Census Area, Alaska",7488,5658,682,4976,1830
0500000US02270,02270,"Wade Hampton Census Area, Alaska",4908,3367,479,2888,1541
0500000US02275,02275,"Wrangell City and Borough, Alaska",2062,1273,21,1252,789
0500000US02282,02282,"Yakutat City and Borough, Alaska",507,449,18,431,58
0500000US02290,02290,"Yukon-Koyukuk Census Area, Alaska",4205,3013,166,2847,1192
0500000US04001,04001,"Apache County, Arizona",52975,22204,3748,18456,30771
0500000US04003,04003,"Cochise County, Arizona",104263,61987,4605,57382,42276
0500000US04005,04005,"Coconino County, Arizona",108682,75910,8273,67637,32772
0500000US04007,04007,"Gila County, Arizona",43457,20692,2472,18220,22765
0500000US04009,04009,"Graham County, Arizona",27918,14600,2134,12466,13318
0500000US04011,04011,"Greenlee County, Arizona",6535,3753,630,3123,2782
0500000US04012,04012,"La Paz County, Arizona",17208,7383,272,7111,9825
0500000US04013,04013,"Maricopa County, Arizona",3047709,1956320,199174,1757146,1091389
0500000US04015,04015,"Mohave County, Arizona",167761,79961,9978,69983,87800
0500000US04017,04017,"Navajo County, Arizona",80066,38020,4340,33680,42046
0500000US04019,04019,"Pima County, Arizona",796692,483084,41268,441816,313608
0500000US04021,04021,"Pinal County, Arizona",300152,155633,18863,136770,144519
0500000US04023,04023,"Santa Cruz County, Arizona",35058,19879,1313,18566,15179
0500000US04025,04025,"Yavapai County, Arizona",179963,95537,10896,84641,84426
0500000US04027,04027,"Yuma County, Arizona",153342,88743,6847,81896,64599
0500000US05001,05001,"Arkansas County, Arkansas",14961,9418,584,8834,5543
0500000US05003,05003,"Ashley County, Arkansas",16951,9189,461,8728,7762
0500000US05005,05005,"Baxter County, Arkansas",34652,17034,1109,15925,17618
0500000US05007,05007,"Benton County, Arkansas",175328,115022,6876,108146,60306
0500000US05009,05009,"Boone County, Arkansas",29688,17335,1058,16277,12353
0500000US05011,05011,"Bradley County, Arkansas",8948,4914,380,4534,4034
0500000US05013,05013,"Calhoun County, Arkansas",4439,2608,71,2537,1831
0500000US05015,05015,"Carroll County, Arkansas",22046,13142,1054,12088,8904
0500000US05017,05017,"Chicot County, Arkansas",9102,4163,436,3727,4939
0500000US05019,05019,"Clark County, Arkansas",18883,12060,561,11499,6823
0500000US05021,05021,"Clay County, Arkansas",12759,7470,578,6892,5289
0500000US05023,05023,"Cleburne County, Arkansas",21351,11329,569,10760,10022
0500000US05025,05025,"Cleveland County, Arkansas",6829,3732,206,3526,3097
0500000US05027,05027,"Columbia County, Arkansas",19761,11887,884,11003,7874
0500000US05029,05029,"Conway County, Arkansas",16844,9377,578,8799,7467
0500000US05031,05031,"Craighead County, Arkansas",77762,50853,3899,46954,26909
0500000US05033,05033,"Crawford County, Arkansas",47595,28992,1866,27126,18603
0500000US05035,05035,"Crittenden County, Arkansas",37400,22352,1364,20988,15048
0500000US05037,05037,"Cross County, Arkansas",13806,8051,560,7491,5755
0500000US05039,05039,"Dallas County, Arkansas",6288,3617,246,3371,2671
0500000US05041,05041,"Desha County, Arkansas",9695,5285,416,4869,4410
0500000US05043,05043,"Drew County, Arkansas",14989,8331,362,7969,6658
0500000US05045,05045,"Faulkner County, Arkansas",92057,63189,3671,59518,28868
0500000US05047,05047,"Franklin County, Arkansas",14202,7905,459,7446,6297
0500000US05049,05049,"Fulton County, Arkansas",10012,5318,487,4831,4694
0500000US05051,05051,"Garland County, Arkansas",78887,44647,2747,41900,34240
0500000US05053,05053,"Grant County, Arkansas",14318,8567,587,7980,5751
0500000US05055,05055,"Greene County, Arkansas",33526,20076,1704,18372,13450
0500000US05057,05057,"Hempstead County, Arkansas",17031,9820,701,9119,7211
0500000US05059,05059,"Hot Spring County, Arkansas",26853,15733,827,14906,11120
0500000US05061,05061,"Howard County, Arkansas",10480,6413,376,6037,4067
0500000US05063,05063,"Independence County, Arkansas",29022,17361,1097,16264,11661
0500000US05065,05065,"Izard County, Arkansas",11264,5269,321,4948,5995
0500000US05067,05067,"Jackson County, Arkansas",14592,7309,653,6656,7283
0500000US05069,05069,"Jefferson County, Arkansas",59087,32129,2378,29751,26958
0500000US05071,05071,"Johnson County, Arkansas",20160,11461,707,10754,8699
0500000US05073,05073,"Lafayette County, Arkansas",6033,2937,243,2694,3096
0500000US05075,05075,"Lawrence County, Arkansas",13754,7432,504,6928,6322
0500000US05077,05077,"Lee County, Arkansas",8406,3891,326,3565,4515
0500000US05079,05079,"Lincoln County, Arkansas",11760,4591,336,4255,7169
0500000US05081,05081,"Little River County, Arkansas",10294,5753,342,5411,4541
0500000US05083,05083,"Logan County, Arkansas",17622,9849,606,9243,7773
0500000US05085,05085,"Lonoke County, Arkansas",53032,35978,2034,33944,17054
0500000US05087,05087,"Madison County, Arkansas",12485,7457,680,6777,5028
0500000US05089,05089,"Marion County, Arkansas",13988,6870,619,6251,7118
0500000US05091,05091,"Miller County, Arkansas",34086,21219,1969,19250,12867
0500000US05093,05093,"Mississippi County, Arkansas",34384,20455,1506,18949,13929
0500000US05095,05095,"Monroe County, Arkansas",6366,3329,273,3056,3037
0500000US05097,05097,"Montgomery County, Arkansas",7628,3956,562,3394,3672
0500000US05099,05099,"Nevada County, Arkansas",7026,3893,289,3604,3133
0500000US05101,05101,"Newton County, Arkansas",6680,3782,324,3458,2898
0500000US05103,05103,"Ouachita County, Arkansas",20243,11340,994,10346,8903
0500000US05105,05105,"Perry County, Arkansas",8324,4696,374,4322,3628
0500000US05107,05107,"Phillips County, Arkansas",15708,8624,739,7885,7084
0500000US05109,05109,"Pike County, Arkansas",8828,4958,459,4499,3870
0500000US05111,05111,"Poinsett County, Arkansas",19111,10459,912,9547,8652
0500000US05113,05113,"Polk County, Arkansas",16142,8858,748,8110,7284
0500000US05115,05115,"Pope County, Arkansas",49968,32353,2366,29987,17615
0500000US05117,05117,"Prairie County, Arkansas",6916,3897,260,3637,3019
0500000US05119,05119,"Pulaski County, Arkansas",306056,201350,14652,186698,104706
0500000US05121,05121,"Randolph County, Arkansas",14149,7672,499,7173,6477
0500000US05123,05123,"St. Francis County, Arkansas",21994,11839,975,10864,10155
0500000US05125,05125,"Saline County, Arkansas",87966,56877,3679,53198,31089
0500000US05127,05127,"Scott County, Arkansas",8624,4957,512,4445,3667
0500000US05129,05129,"Searcy County, Arkansas",6502,3267,346,2921,3235
0500000US05131,05131,"Sebastian County, Arkansas",98739,60106,3371,56735,38633
0500000US05133,05133,"Sevier County, Arkansas",12694,7937,540,7397,4757
0500000US05135,05135,"Sharp County, Arkansas",14031,6565,373,6192,7466
0500000US05137,05137,"Stone County, Arkansas",10270,5339,140,5199,4931
0500000US05139,05139,"Union County, Arkansas",32366,18616,1470,17146,13750
0500000US05141,05141,"Van Buren County, Arkansas",14025,6477,322,6155,7548
0500000US05143,05143,"Washington County, Arkansas",163729,111588,6170,105418,52141
0500000US05145,05145,"White County, Arkansas",61678,37240,2547,34693,24438
0500000US05147,05147,"Woodruff County, Arkansas",5701,2926,161,2765,2775
0500000US05149,05149,"Yell County, Arkansas",16906,9451,582,8869,7455
0500000US06001,06001,"Alameda County, California",1255728,833306,66547,766759,422422
0500000US06003,06003,"Alpine County, California",1014,610,133,477,404
0500000US06005,06005,"Amador County, California",32030,14682,1006,13676,17348
0500000US06007,06007,"Butte County, California",181730,105432,9655,95777,76298
0500000US06009,06009,"Calaveras County, California",37786,19404,1339,18065,18382
0500000US06011,06011,"Colusa County, California",16012,10353,480,9873,5659
0500000US06013,06013,"Contra Costa County, California",851619,556043,48732,507311,295576
0500000US06015,06015,"Del Norte County, California",22687,10572,1290,9282,12115
0500000US06017,06017,"El Dorado County, California",147294,90898,7291,83607,56396
0500000US06019,06019,"Fresno County, California",702056,420799,39046,381753,281257
0500000US06021,06021,"Glenn County, California",21189,12084,999,11085,9105
0500000US06023,06023,"Humboldt County, California",111491,70374,7616,62758,41117
0500000US06025,06025,"Imperial County, California",131820,69146,4719,64427,62674
0500000US06027,06027,"Inyo County, California",15052,9288,958,8330,5764
0500000US06029,06029,"Kern County, California",630972,373681,30146,343535,257291
0500000US06031,06031,"Kings County, California",113795,63696,5139,58557,50099
0500000US06033,06033,"Lake County, California",52494,26798,3689,23109,25696
0500000US06035,06035,"Lassen County, California",28848,12087,951,11136,16761
0500000US06037,06037,"Los Angeles County, California",7913580,5028952,458445,4570507,2884628
0500000US06039,06039,"Madera County, California",114471,59886,4601,55285,54585
0500000US06041,06041,"Marin County, California",209617,141443,14412,127031,68174
0500000US06043,06043,"Mariposa County, California",15306,8621,670,7951,6685
0500000US06045,06045,"Mendocino County, California",70525,43235,5130,38105,27290
0500000US06047,06047,"Merced County, California",190771,110809,6682,104127,79962
0500000US06049,06049,"Modoc County, California",7633,4284,208,4076,3349
0500000US06051,06051,"Mono County, California",11594,8745,941,7804,2849
0500000US06053,06053,"Monterey County, California",323806,207903,17704,190199,115903
0500000US06055,06055,"Napa County, California",111914,74982,6340,68642,36932
0500000US06057,06057,"Nevada County, California",82966,48566,3991,44575,34400
0500000US06059,06059,"Orange County, California",2444040,1619297,147635,1471662,824743
0500000US06061,06061,"Placer County, California",286275,178115,13178,164937,108160
0500000US06063,06063,"Plumas County, California",16325,8813,589,8224,7512
0500000US06065,06065,"Riverside County, California",1723410,1018007,91608,926399,705403
0500000US06067,06067,"Sacramento County, California",1130124,695360,58969,636391,434764
0500000US06069,06069,"San Benito County, California",43034,29065,1831,27234,13969
0500000US06071,06071,"San Bernardino County, California",1565925,926084,80647,845437,639841
0500000US06073,06073,"San Diego County, California",2540664,1645213,147667,1497546,895451
0500000US06075,06075,"San Francisco County, California",729309,507907,53453,454454,221402
0500000US06077,06077,"San Joaquin County, California",524915,319380,28071,291309,205535
0500000US06079,06079,"San Luis Obispo County, California",229279,144691,9352,135339,84588
0500000US06081,06081,"San Mateo County, California",595533,413286,38057,375229,182247
0500000US06083,06083,"Santa Barbara County, California",344560,230820,21694,209126,113740
0500000US06085,06085,"Santa Clara County, California",1452679,976126,84947,891179,476553
0500000US06087,06087,"Santa Cruz County, California",218820,146284,11684,134600,72536
0500000US06089,06089,"Shasta County, California",144420,78256,6836,71420,66164
0500000US06091,06091,"Sierra County, California",2579,1315,79,1236,1264
0500000US06093,06093,"Siskiyou County, California",36265,19744,1458,18286,16521
0500000US06095,06095,"Solano County, California",333972,211333,18499,192834,122639
0500000US06097,06097,"Sonoma County, California",399649,265845,26538,239307,133804
0500000US06099,06099,"Stanislaus County, California",393800,237725,18564,219161,156075
0500000US06101,06101,"Sutter County, California",72393,44543,3880,40663,27850
0500000US06103,06103,"Tehama County, California",49632,26496,1966,24530,23136
0500000US06105,06105,"Trinity County, California",11487,5436,263,5173,6051
0500000US06107,06107,"Tulare County, California",322441,196612,18146,178466,125829
0500000US06109,06109,"Tuolumne County, California",46272,23489,2417,21072,22783
0500000US06111,06111,"Ventura County, California",652229,442463,32014,410449,209766
0500000US06113,06113,"Yolo County, California",164559,107446,9559,97887,57113
0500000US06115,06115,"Yuba County, California",54448,31845,1688,30157,22603
0500000US08001,08001,"Adams County, Colorado",344327,245873,22032,223841,98454
0500000US08003,08003,"Alamosa County, Colorado",12595,8168,325,7843,4427
0500000US08005,08005,"Arapahoe County, Colorado",463862,338358,27367,310991,125504
0500000US08007,08007,"Archuleta County, Colorado",10201,6645,412,6233,3556
0500000US08009,08009,"Baca County, Colorado",3036,1980,134,1846,1056
0500000US08011,08011,"Bent County, Colorado",5108,1730,141,1589,3378
0500000US08013,08013,"Boulder County, Colorado",249506,188631,15336,173295,60875
0500000US08014,08014,"Broomfield County, Colorado",45531,33875,2834,31041,11656
0500000US08015,08015,"Chaffee County, Colorado",15616,9508,725,8783,6108
0500000US08017,08017,"Cheyenne County, Colorado",1628,1236,113,1123,392
0500000US08019,08019,"Clear Creek County, Colorado",7832,5800,490,5310,2032
0500000US08021,08021,"Conejos County, Colorado",6227,3681,301,3380,2546
0500000US08023,08023,"Costilla County, Colorado",2953,1513,51,1462,1440
0500000US08025,08025,"Crowley County, Colorado",4802,1927,209,1718,2875
0500000US08027,08027,"Custer County, Colorado",3731,1834,267,1567,1897
0500000US08029,08029,"Delta County, Colorado",24690,13954,1493,12461,10736
0500000US08031,08031,"Denver County, Colorado",511703,372461,31076,341385,139242
0500000US08033,08033,"Dolores County, Colorado",1422,834,42,792,588
0500000US08035,08035,"Douglas County, Colorado",221017,169268,10612,158656,51749
0500000US08037,08037,"Eagle County, Colorado",41324,34300,5366,28934,7024
0500000US08039,08039,"Elbert County, Colorado",18728,13592,1162,12430,5136
0500000US08041,08041,"El Paso County, Colorado",497812,351029,29579,321450,146783
0500000US08043,08043,"Fremont County, Colorado",39846,18231,1503,16728,21615
0500000US08045,08045,"Garfield County, Colorado",43315,32584,3168,29416,10731
0500000US08047,08047,"Gilpin County, Colorado",4486,3419,306,3113,1067
0500000US08049,08049,"Grand County, Colorado",11775,9090,1665,7425,2685
0500000US08051,08051,"Gunnison County, Colorado",12975,10651,765,9886,2324
0500000US08053,08053,"Hinsdale County, Colorado",779,529,8,521,250
0500000US08055,08055,"Huerfano County, Colorado",5558,2816,330,2486,2742
0500000US08057,08057,"Jackson County, Colorado",1136,870,106,764,266
0500000US08059,08059,"Jefferson County, Colorado",442946,319566,24348,295218,123380
0500000US08061,08061,"Kiowa County, Colorado",1107,799,40,759,308
0500000US08063,08063,"Kit Carson County, Colorado",6443,3984,284,3700,2459
0500000US08065,08065,"Lake County, Colorado",5757,4419,814,3605,1338
0500000US08067,08067,"La Plata County, Colorado",43361,31983,2232,29751,11378
0500000US08069,08069,"Larimer County, Colorado",253943,185873,17165,168708,68070
0500000US08071,08071,"Las Animas County, Colorado",12184,7368,953,6415,4816
0500000US08073,08073,"Lincoln County, Colorado",4639,1892,148,1744,2747
0500000US08075,08075,"Logan County, Colorado",18786,12866,1007,11859,5920
0500000US08077,08077,"Mesa County, Colorado",117078,78013,6724,71289,39065
0500000US08079,08079,"Mineral County, Colorado",667,398,19,379,269
0500000US08081,08081,"Moffat County, Colorado",10203,7415,635,6780,2788
0500000US08083,08083,"Montezuma County, Colorado",20369,13099,1312,11787,7270
0500000US08085,08085,"Montrose County, Colorado",32600,20500,2124,18376,12100
0500000US08087,08087,"Morgan County, Colorado",21416,14534,1593,12941,6882
0500000US08089,08089,"Otero County, Colorado",14807,8382,384,7998,6425
0500000US08091,08091,"Ouray County, Colorado",3986,2564,328,2236,1422
0500000US08093,08093,"Park County, Colorado",13749,9940,985,8955,3809
0500000US08095,08095,"Phillips County, Colorado",3377,2307,255,2052,1070
0500000US08097,08097,"Pitkin County, Colorado",14805,11438,1518,9920,3367
0500000US08099,08099,"Prowers County, Colorado",9434,6316,409,5907,3118
0500000US08101,08101,"Pueblo County, Colorado",126659,75192,6554,68638,51467
0500000US08103,08103,"Rio Blanco County, Colorado",5277,3848,177,3671,1429
0500000US08105,08105,"Rio Grande County, Colorado",9282,6228,408,5820,3054
0500000US08107,08107,"Routt County, Colorado",19376,15333,1347,13986,4043
0500000US08109,08109,"Saguache County, Colorado",4965,3126,175,2951,1839
0500000US08111,08111,"San Juan County, Colorado",594,470,34,436,124
0500000US08113,08113,"San Miguel County, Colorado",6241,5089,629,4460,1152
0500000US08115,08115,"Sedgwick County, Colorado",1942,1259,108,1151,683
0500000US08117,08117,"Summit County, Colorado",24145,20025,2081,17944,4120
0500000US08119,08119,"Teller County, Colorado",19558,13206,1317,11889,6352
0500000US08121,08121,"Washington County, Colorado",3888,2667,203,2464,1221
0500000US08123,08123,"Weld County, Colorado",200117,141937,21941,119996,58180
0500000US08125,08125,"Yuma County, Colorado",7700,5248,539,4709,2452
0500000US09001,09001,"Fairfield County, Connecticut",736025,508501,41732,466769,227524
0500000US09003,09003,"Hartford County, Connecticut",722547,489216,37707,451509,233331
0500000US09005,09005,"Litchfield County, Connecticut",154608,108461,9100,99361,46147
0500000US09007,09007,"Middlesex County, Connecticut",136531,96514,7030,89484,40017
0500000US09009,09009,"New Haven County, Connecticut",699988,467914,38718,429196,232074
0500000US09011,09011,"New London County, Connecticut",223639,155650,11018,144632,67989
0500000US09013,09013,"Tolland County, Connecticut",126801,93694,9225,84469,33107
0500000US09015,09015,"Windham County, Connecticut",95786,66390,4875,61515,29396
0500000US10001,10001,"Kent County, Delaware",130957,86687,5657,81030,44270
0500000US10003,10003,"New Castle County, Delaware",436626,296412,24542,271870,140214
0500000US10005,10005,"Sussex County, Delaware",167303,99853,9784,90069,67450
0500000US11001,11001,"District of Columbia, District of Columbia",536771,375378,44870,330508,161393
0500000US12001,12001,"Alachua County, Florida",211436,133801,11646,122155,77635
0500000US12003,12003,"Baker County, Florida",20916,11309,1327,9982,9607
0500000US12005,12005,"Bay County, Florida",139533,89410,12035,77375,50123
0500000US12007,12007,"Bradford County, Florida",22735,10408,860,9548,12327
0500000US12009,12009,"Brevard County, Florida",457880,257020,21974,235046,200860
0500000US12011,12011,"Broward County, Florida",1464593,961565,79511,882054,503028
0500000US12013,12013,"Calhoun County, Florida",11891,5300,610,4690,6591
0500000US12015,12015,"Charlotte County, Florida",143862,63695,8092,55603,80167
0500000US12017,12017,"Citrus County, Florida",121340,51376,6336,45040,69964
0500000US12019,12019,"Clay County, Florida",152369,97248,9834,87414,55121
0500000US12021,12021,"Collier County, Florida",278993,151858,18858,133000,127135
0500000US12023,12023,"Columbia County, Florida",54420,28840,4013,24827,25580
0500000US12027,12027,"DeSoto County, Florida",28202,13657,2129,11528,14545
0500000US12029,12029,"Dixie County, Florida",13280,5981,497,5484,7299
0500000US12031,12031,"Duval County, Florida",699021,453575,56646,396929,245446
0500000US12033,12033,"Escambia County, Florida",247034,155130,12681,142449,91904
0500000US12035,12035,"Flagler County, Florida",82573,39005,5606,33399,43568
0500000US12037,12037,"Franklin County, Florida",9830,4834,396,4438,4996
0500000US12039,12039,"Gadsden County, Florida",37290,18763,2710,16053,18527
0500000US12041,12041,"Gilchrist County, Florida",14004,7009,819,6190,6995
0500000US12043,12043,"Glades County, Florida",10983,4542,361,4181,6441
0500000US12045,12045,"Gulf County, Florida",13651,6805,736,6069,6846
0500000US12047,12047,"Hamilton County, Florida",12108,5001,564,4437,7107
0500000US12049,12049,"Hardee County, Florida",20809,10761,1367,9394,10048
0500000US12051,12051,"Hendry County, Florida",28688,15953,1757,14196,12735
0500000US12053,12053,"Hernando County, Florida",144479,66251,7713,58538,78228
0500000US12055,12055,"Highlands County, Florida",82459,36143,4613,31530,46316
0500000US12057,12057,"Hillsborough County, Florida",1014856,658903,61630,597273,355953
0500000US12059,12059,"Holmes County, Florida",16093,7685,855,6830,8408
0500000US12061,12061,"Indian River County, Florida",118491,60272,5261,55011,58219
0500000US12063,12063,"Jackson County, Florida",40893,19444,2109,17335,21449
0500000US12065,12065,"Jefferson County, Florida",12076,5767,531,5236,6309
0500000US12067,12067,"Lafayette County, Florida",7251,3450,364,3086,3801
0500000US12069,12069,"Lake County, Florida",250278,133141,18152,114989,117137
0500000US12071,12071,"Lee County, Florida",538061,289264,30271,258993,248797
0500000US12073,12073,"Leon County, Florida",232962,159786,22974,136812,73176
0500000US12075,12075,"Levy County, Florida",32702,16073,1263,14810,16629
0500000US12077,12077,"Liberty County, Florida",6821,3414,476,2938,3407
0500000US12079,12079,"Madison County, Florida",15489,7028,723,6305,8461
0500000US12081,12081,"Manatee County, Florida",276367,154593,21673,132920,121774
0500000US12083,12083,"Marion County, Florida",279068,132862,12557,120305,146206
0500000US12085,12085,"Martin County, Florida",127291,68382,8853,59529,58909
0500000US12086,12086,"Miami-Dade County, Florida",2116291,1275998,99417,1176581,840293
0500000US12087,12087,"Monroe County, Florida",65228,42837,3983,38854,22391
0500000US12089,12089,"Nassau County, Florida",61261,36125,4058,32067,25136
0500000US12091,12091,"Okaloosa County, Florida",151681,101440,9446,91994,50241
0500000US12093,12093,"Okeechobee County, Florida",31448,14797,1970,12827,16651
0500000US12095,12095,"Orange County, Florida",955022,644427,68711,575716,310595
0500000US12097,12097,"Osceola County, Florida",224558,139474,13331,126143,85084
0500000US12099,12099,"Palm Beach County, Florida",1120841,668027,80199,587828,452814
0500000US12101,12101,"Pasco County, Florida",385788,206271,19829,186442,179517
0500000US12103,12103,"Pinellas County, Florida",783669,463587,53056,410531,320082
0500000US12105,12105,"Polk County, Florida",491189,270410,25503,244907,220779
0500000US12107,12107,"Putnam County, Florida",58984,27854,3264,24590,31130
0500000US12109,12109,"St. Johns County, Florida",163879,104816,16641,88175,59063
