GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17
0500000US06099,06099,"Stanislaus County, California",7251,1578,3712,1116,260,257,517,457,684,379,1061,625,259,221,673,494,258,250,3539,976,341,341,560,430,636,484,985,532,405,316,203,177,409,315
0500000US06107,06107,"Tulare County, California",4559,1123,1936,606,301,231,102,146,369,270,611,337,249,263,150,121,154,178,2623,810,360,272,361,222,419,287,534,323,517,421,417,386,15,26
0500000US06111,06111,"Ventura County, California",11688,1996,5729,1366,401,303,829,511,1461,849,1383,710,366,267,871,594,418,365,5959,1252,483,324,754,444,1341,555,1717,584,451,292,942,461,271,201
0500000US08001,08001,"Adams County, Colorado",4983,1421,1951,857,142,222,319,327,507,315,529,593,92,159,255,238,107,128,3032,985,344,358,94,112,554,459,388,278,591,458,766,494,295,259
0500000US08005,08005,"Arapahoe County, Colorado",5174,1339,2824,903,0,275,63,106,760,512,672,466,216,164,820,546,293,277,2350,854,0,275,35,58,751,504,847,493,211,202,331,277,175,172
0500000US08031,08031,"Denver County, Colorado",6942,1513,3207,1022,67,112,290,234,1136,726,869,447,129,126,651,415,65,105,3735,1057,171,158,630,575,991,618,403,409,409,357,512,269,619,377
0500000US08041,08041,"El Paso County, Colorado",8429,1600,3995,940,0,275,227,210,1483,672,923,532,454,353,551,380,357,239,4434,1313,0,275,263,279,1150,696,1111,614,798,710,480,306,632,476
0500000US08059,08059,"Jefferson County, Colorado",4239,962,2109,773,46,76,60,106,446,336,875,522,122,152,332,230,228,217,2130,622,0,275,0,275,273,222,642,319,147,164,534,360,534,347
0500000US09001,09001,"Fairfield County, Connecticut",5088,1186,1661,645,79,133,52,85,724,416,390,361,0,273,205,178,211,268,3427,934,166,166,209,210,1021,591,880,479,194,188,624,396,333,280
0500000US09003,09003,"Hartford County, Connecticut",7187,1814,3214,1090,154,185,187,218,1280,738,555,511,100,118,469,342,469,396,3973,1036,95,116,84,99,758,478,1091,587,411,268,1175,570,359,358
0500000US09009,09009,"New Haven County, Connecticut",7052,1773,3475,978,135,168,62,100,1193,574,1020,638,301,276,448,287,316,275,3577,1179,304,308,334,313,964,621,941,545,226,226,566,328,242,250
0500000US10003,10003,"New Castle County, Delaware",3602,940,1955,745,56,90,0,261,342,354,400,337,559,503,218,212,380,293,1647,661,0,261,0,261,522,350,509,358,299,304,117,140,200,160
0500000US11001,11001,"District of Columbia, District of Columbia",5397,1282,2090,1032,52,66,58,91,138,152,0,300,198,315,1145,741,499,328,3307,841,0,300,0,300,422,329,634,399,216,183,659,299,1376,627
0500000US12011,12011,"Broward County, Florida",22938,3701,12127,2518,1677,871,1634,846,3848,1262,1637,723,1026,866,1747,828,558,317,10811,1955,466,321,1199,650,2399,801,2743,862,857,512,2206,903,941,449
0500000US12031,12031,"Duval County, Florida",5529,1102,2774,860,32,54,260,235,500,370,727,420,277,222,882,504,96,113,2755,580,280,233,304,265,649,371,368,208,326,328,487,257,341,245
0500000US12033,12033,"Escambia County, Florida",5322,1136,2502,929,84,97,524,377,1198,642,292,259,71,105,321,288,12,20,2820,697,51,90,574,478,120,128,1109,499,626,488,340,295,0,303
0500000US12057,12057,"Hillsborough County, Florida",8114,1149,3782,721,338,333,364,280,1390,575,586,251,401,286,613,392,90,115,4332,874,309,291,314,227,1346,463,864,325,391,300,825,433,283,240
0500000US12086,12086,"Miami-Dade County, Florida",19429,2469,9004,1455,1404,700,1369,574,1726,632,1275,500,1006,528,1423,499,801,464,10425,1557,1372,648,1460,538,2079,671,1847,741,1112,516,1064,512,1491,729
0500000US12095,12095,"Orange County, Florida",9262,1572,4552,1043,125,146,705,347,1002,558,1082,502,495,371,909,530,234,199,4710,1000,491,387,576,375,1062,417,1057,512,537,337,602,290,385,359
0500000US12099,12099,"Palm Beach County, Florida",5149,1435,2443,900,30,52,95,110,943,826,808,380,141,143,400,268,26,42,2706,871,55,91,88,108,973,494,658,286,99,113,478,287,355,349
0500000US12103,12103,"Pinellas County, Florida",4163,895,2026,705,283,411,158,185,351,290,447,424,191,202,340,276,256,208,2137,546,74,121,258,269,591,341,739,433,159,152,316,216,0,303
0500000US12105,12105,"Polk County, Florida",5620,1648,3070,976,346,405,348,228,1051,564,489,391,321,274,314,240,201,209,2550,883,213,181,170,162,1200,705,469,284,112,123,284,270,102,114
0500000US13121,13121,"Fulton County, Georgia",4737,1136,2347,842,0,296,0,296,378,358,296,242,210,223,1127,663,336,246,2390,703,0,296,51,86,353,257,461,292,179,177,1036,539,310,225
0500000US13135,13135,"Gwinnett County, Georgia",3051,850,1463,677,0,296,133,172,381,341,218,205,142,171,477,325,112,136,1588,418,49,58,156,195,387,262,272,191,148,146,461,270,115,116
0500000US15001,15001,"Hawaii County, Hawaii",20866,2146,10331,1348,445,394,538,405,5172,1069,2007,713,846,528,932,652,391,394,10535,1400,142,173,911,486,4041,974,2354,730,906,409,1574,756,607,398
0500000US15003,15003,"Honolulu County, Hawaii",89999,5206,44561,3255,594,377,3362,942,17314,2197,10845,1779,4426,1162,5961,1307,2059,769,45438,3608,619,380,2953,915,16119,1892,10084,1969,4814,1284,7666,1450,3183,1052
0500000US15009,15009,"Maui County, Hawaii",20050,2803,10245,1670,475,401,1537,864,4079,1007,2260,809,605,396,1140,726,149,185,9805,1688,227,271,558,547,4465,1089,2097,799,1118,627,921,528,419,348
0500000US17031,17031,"Cook County, Illinois",34457,4060,15774,2324,1558,535,1134,498,4006,1221,3563,963,1308,687,2996,884,1209,638,18683,2500,1604,590,1648,574,4553,1366,3401,945,1564,640,3515,746,2398,824
0500000US17097,17097,"Lake County, Illinois",3568,924,2023,663,45,74,301,188,441,386,723,495,134,164,246,232,133,134,1545,608,0,265,210,203,203,154,424,365,299,265,0,265,409,249
0500000US18097,18097,"Marion County, Indiana",4476,1094,1875,579,0,265,87,147,379,273,218,176,451,353,463,395,277,183,2601,832,0,265,285,246,797,380,1000,590,120,151,275,209,124,137
0500000US20091,20091,"Johnson County, Kansas",3962,773,1725,499,0,242,118,143,313,211,404,289,400,373,342,201,148,164,2237,589,0,242,0,242,504,405,692,412,315,229,410,309,316,217
0500000US20173,20173,"Sedgwick County, Kansas",7174,1716,3408,862,54,94,54,97,1808,799,840,407,160,157,102,118,390,242,3766,1216,0,242,333,234,1749,778,689,452,790,530,71,96,134,169
0500000US21111,21111,"Jefferson County, Kentucky",4161,1012,1924,597,27,43,316,201,574,339,380,269,50,91,369,275,208,181,2237,718,245,230,265,178,533,280,739,453,269,234,19,24,167,163
0500000US24003,24003,"Anne Arundel County, Maryland",4671,922,2431,835,37,64,228,307,847,593,728,627,172,289,164,166,255,182,2240,592,0,281,18,30,346,261,750,421,461,280,322,244,343,293
0500000US24005,24005,"Baltimore County, Maryland",4618,1045,1979,572,0,281,554,379,321,256,424,297,51,86,304,255,325,193,2639,778,0,281,436,299,697,419,439,474,205,171,429,336,433,282
0500000US24031,24031,"Montgomery County, Maryland",9098,1758,4085,987,0,281,0,281,594,389,942,482,488,367,1015,437,1046,472,5013,1162,81,98,66,109,1023,680,1018,454,147,133,1396,637,1282,553
0500000US24033,24033,"Prince George's County, Maryland",8097,1518,3575,927,265,282,164,197,496,309,1338,635,445,302,670,481,197,160,4522,931,264,221,486,379,1163,512,1068,418,236,203,838,407,467,285
0500000US25009,25009,"Essex County, Massachusetts",3985,1101,1612,628,111,134,370,306,53,90,503,349,242,261,119,138,214,256,2373,769,295,304,101,125,725,474,338,252,225,214,365,269,324,209
0500000US25017,25017,"Middlesex County, Massachusetts",8687,1642,4401,1110,195,239,173,197,1239,718,574,333,184,219,745,390,1291,675,4286,995,66,107,148,150,590,407,878,418,372,235,872,432,1360,577
0500000US25023,25023,"Plymouth County, Massachusetts",3445,961,1951,604,189,191,359,371,548,259,167,115,61,109,397,293,230,198,1494,719,47,84,51,94,383,324,600,429,170,251,39,62,204,175
0500000US25025,25025,"Suffolk County, Massachusetts",13408,3134,6604,2246,1965,990,420,412,2509,1789,167,127,359,326,618,449,566,500,6804,1729,1759,848,840,668,1754,921,626,400,205,277,641,477,979,676
0500000US26081,26081,"Kent County, Michigan",4351,1103,2070,862,175,168,217,263,821,475,333,219,0,237,168,130,356,339,2281,547,124,123,247,167,442,248,482,279,599,419,177,155,210,186
0500000US26099,26099,"Macomb County, Michigan",4255,947,1257,415,0,237,359,264,68,84,392,242,0,237,272,231,166,171,2998,875,82,143,285,242,444,246,1608,758,276,282,135,213,168,160
0500000US26125,26125,"Oakland County, Michigan",8953,1677,4379,972,0,237,668,382,782,436,1275,515,45,75,707,391,902,546,4574,1138,45,75,124,174,919,393,1292,578,422,351,1183,507,589,266
0500000US26161,26161,"Washtenaw County, Michigan",3271,851,1631,649,16,27,66,82,325,319,529,390,0,237,169,164,526,418,1640,578,136,196,205,201,176,150,378,185,67,113,289,209,389,339
0500000US26163,26163,"Wayne County, Michigan",11925,1552,4276,820,170,165,384,287,1152,500,1410,501,233,183,687,371,240,244,7649,1200,186,228,362,225,2087,640,2300,657,574,470,1360,631,780,386
0500000US27053,27053,"Hennepin County, Minnesota",8712,1692,4520,1082,223,309,238,253,1423,638,786,424,334,296,1100,553,416,243,4192,1068,52,89,840,599,1086,493,1053,546,428,373,442,339,291,271
0500000US29095,29095,"Jackson County, Missouri",5679,1449,2521,662,43,77,470,308,954,501,430,253,110,136,434,303,80,90,3158,1124,138,133,172,112,1019,518,1066,702,170,160,489,287,104,111
0500000US29189,29189,"St. Louis County, Missouri",5698,1259,2913,651,135,159,255,193,792,434,987,409,96,122,405,255,243,219,2785,835,20,38,453,321,649,300,378,238,501,376,500,306,284,301
0500000US31055,31055,"Douglas County, Nebraska",3769,1055,1654,683,26,42,0,218,657,359,308,297,311,243,142,189,210,185,2115,714,51,86,72,92,690,469,571,339,206,210,147,145,378,325
0500000US32003,32003,"Clark County, Nevada",23865,2727,11290,1750,364,355,1320,482,4075,1102,2993,820,564,413,1086,444,888,414,12575,1634,144,142,813,421,3470,1034,3512,836,1395,688,2456,819,785,332
0500000US34003,34003,"Bergen County, New Jersey",5949,1501,3033,923,369,323,0,277,919,536,487,431,277,306,687,477,294,249,2916,925,87,146,108,117,1050,652,446,310,253,241,843,460,129,118
0500000US34005,34005,"Burlington County, New Jersey",4573,1226,2631,876,147,204,502,505,852,570,424,226,104,124,251,181,351,310,1942,781,0,277,66,101,339,255,774,493,184,169,523,446,56,94
0500000US34007,34007,"Camden County, New Jersey",4109,1155,1914,767,158,159,219,184,663,408,461,398,72,91,286,345,55,92,2195,636,46,71,335,287,185,137,430,247,265,226,530,352,404,275
0500000US34013,34013,"Essex County, New Jersey",6587,1496,2868,956,327,330,232,162,692,423,220,181,409,461,480,271,508,313,3719,968,620,420,340,266,437,364,954,421,167,168,782,475,419,388
0500000US34017,34017,"Hudson County, New Jersey",4839,1242,2733,905,458,381,231,253,826,462,407,362,65,107,495,290,251,236,2106,651,62,105,136,103,564,296,419,289,55,91,518,336,352,334
0500000US34023,34023,"Middlesex County, New Jersey",5691,1159,2946,901,206,216,199,186,856,539,824,494,171,169,300,274,390,265,2745,740,125,153,152,144,648,295,293,264,329,226,809,446,389,262
0500000US34031,34031,"Passaic County, New Jersey",4580,1531,1690,617,158,258,0,277,421,300,560,444,63,117,234,221,254,256,2890,1200,550,425,77,128,466,344,370,274,46,79,1335,813,46,78
0500000US35001,35001,"Bernalillo County, New Mexico",6698,1383,3347,858,75,118,167,163,1188,538,756,342,249,196,562,356,350,308,3351,860,150,178,403,301,793,424,991,681,225,295,387,306,402,386
0500000US36005,36005,"Bronx County, New York",16005,2620,7310,1555,959,529,796,423,2467,824,1286,654,649,437,940,601,213,206,8695,1626,789,333,804,442,2414,886,2192,785,716,372,1184,559,596,428
0500000US36027,36027,"Dutchess County, New York",3041,931,1541,661,56,102,150,124,369,339,352,307,201,194,376,336,37,67,1500,610,304,355,177,202,245,173,444,398,78,96,230,204,22,41
0500000US36029,36029,"Erie County, New York",5222,1088,2076,740,129,153,471,454,384,331,578,481,207,189,69,105,238,181,3146,809,0,273,498,449,787,398,771,509,530,356,331,306,229,189
0500000US36047,36047,"Kings County, New York",18504,2620,7911,1621,369,320,1012,464,1559,631,1253,503,638,411,1990,842,1090,656,10593,1539,844,340,693,323,2090,711,1859,559,920,488,2944,834,1243,552
0500000US36055,36055,"Monroe County, New York",5104,1273,2228,757,274,296,316,259,681,511,286,277,122,134,423,270,126,151,2876,790,137,120,450,349,533,321,505,437,511,343,465,275,275,231
0500000US36059,36059,"Nassau County, New York",9866,2077,6126,1575,594,493,529,505,2393,1078,723,459,604,492,635,478,648,435,3740,1109,123,144,349,309,755,450,814,627,220,273,841,487,638,387
0500000US36061,36061,"New York County, New York",22448,3464,9742,2030,849,498,895,541,2042,731,1578,708,353,303,2032,959,1993,780,12706,2045,2231,1096,1087,499,1387,672,1191,520,549,446,4250,1108,2011,714
0500000US36067,36067,"Onondaga County, New York",3758,1036,1919,707,0,273,210,184,456,400,671,472,0,273,248,348,334,250,1839,748,58,101,497,331,693,612,0,273,210,195,108,122,273,271
0500000US36081,36081,"Queens County, New York",27568,3306,13921,2438,1046,559,2193,846,4730,1146,1977,740,1073,593,1854,892,1048,636,13647,1642,1331,481,1464,580,3452,847,2343,656,1784,542,2557,896,716,333
0500000US36103,36103,"Suffolk County, New York",8681,1861,3809,1047,679,441,723,530,877,478,928,601,180,177,343,334,79,94,4872,1192,400,350,362,206,1453,662,1122,521,798,390,355,263,382,236
0500000US36119,36119,"Westchester County, New York",6742,1992,2830,1011,41,67,239,240,872,520,383,315,241,282,707,460,347,268,3912,1181,49,81,469,385,417,307,658,476,347,256,951,458,1021,536
0500000US37119,37119,"Mecklenburg County, North Carolina",5631,1598,3058,1058,53,90,203,285,686,505,1044,676,187,218,360,256,525,322,2573,900,136,166,0,287,515,417,590,269,345,341,941,475,46,73
0500000US37183,37183,"Wake County, North Carolina",4771,1402,2010,754,0,287,60,97,120,139,322,261,278,253,962,557,268,277,2761,1237,116,187,226,195,491,414,678,422,71,119,876,852,303,233
0500000US39035,39035,"Cuyahoga County, Ohio",7434,1210,3348,844,234,275,672,336,1441,621,417,250,244,211,63,104,277,206,4086,939,183,173,681,354,574,279,1528,590,359,248,426,317,335,234
0500000US39049,39049,"Franklin County, Ohio",8697,1493,4408,1110,0,265,706,695,1592,704,816,442,142,180,1042,546,110,118,4289,809,448,371,277,198,973,432,1121,471,358,245,921,421,191,175
0500000US39061,39061,"Hamilton County, Ohio",3557,805,1912,651,521,455,0,265,260,197,440,262,252,241,237,172,202,176,1645,561,24,56,0,265,330,175,549,335,0,265,661,370,81,149
0500000US39095,39095,"Lucas County, Ohio",3759,904,1640,616,0,265,91,156,582,335,533,351,56,111,337,294,41,68,2119,664,36,59,71,84,352,292,773,493,216,196,502,347,169,158
0500000US40027,40027,"Cleveland County, Oklahoma",5808,1305,2643,764,256,318,119,111,811,426,632,404,43,75,491,350,291,185,3165,891,172,158,243,194,898,402,904,607,172,301,621,465,155,182
0500000US40109,40109,"Oklahoma County, Oklahoma",20429,2591,9749,1753,1280,743,1291,640,2849,1203,1750,776,411,294,1683,966,485,358,10680,1613,797,487,839,506,3530,903,2583,997,1208,515,1193,493,530,313
0500000US40143,40143,"Tulsa County, Oklahoma",12865,1541,5399,866,243,205,712,359,1408,613,848,362,434,233,1326,520,428,299,7466,1145,95,115,527,398,1721,586,2405,715,635,290,1531,561,552,414
0500000US41005,41005,"Clackamas County, Oregon",7517,1483,3314,947,441,392,84,77,742,326,826,455,204,162,670,591,347,336,4203,961,150,202,787,597,1224,608,1184,551,457,503,206,177,195,183
0500000US41039,41039,"Lane County, Oregon",4323,1008,2171,587,163,184,16,30,435,263,919,416,201,182,260,247,177,159,2152,739,103,122,229,215,538,474,451,261,284,275,365,358,182,150
0500000US41051,41051,"Multnomah County, Oregon",9422,1320,4619,932,49,80,903,531,1280,672,696,383,558,437,849,432,284,200,4803,824,130,123,209,211,998,510,1266,559,731,381,826,275,643,344
0500000US41067,41067,"Washington County, Oregon",6232,1832,2744,976,430,542,65,122,212,183,380,346,142,148,1085,602,430,277,3488,1211,91,153,515,449,156,127,963,626,142,162,1336,630,285,325
0500000US42003,42003,"Allegheny County, Pennsylvania",6119,1704,3240,1250,0,242,124,121,814,508,789,766,386,255,1034,717,93,118,2879,843,0,242,385,340,714,446,804,489,204,147,242,176,530,249
0500000US42029,42029,"Chester County, Pennsylvania",2584,650,862,435,252,246,115,152,217,157,75,93,0,242,120,145,83,141,1722,561,117,105,114,114,280,218,579,390,148,183,264,176,220,206
0500000US42091,42091,"Montgomery County, Pennsylvania",3456,950,1781,810,0,242,0,242,409,269,324,274,227,301,408,286,413,469,1675,513,0,242,209,208,599,349,320,264,175,179,214,196,158,154
0500000US42101,42101,"Philadelphia County, Pennsylvania",9745,1414,4183,978,208,232,682,405,1571,645,714,475,250,217,433,298,325,274,5562,1143,318,272,598,347,1509,663,1165,589,720,484,835,559,417,326
0500000US44007,44007,"Providence County, Rhode Island",8107,1680,3742,1106,613,524,610,408,975,523,687,352,548,461,191,197,118,109,4365,968,951,490,261,293,1258,558,879,530,711,420,223,297,82,132
0500000US47157,47157,"Shelby County, Tennessee",4087,1251,2251,832,304,251,583,421,360,336,429,393,70,116,429,320,76,121,1836,725,144,238,260,297,551,327,378,411,300,288,203,174,0,281
0500000US48027,48027,"Bell County, Texas",3523,950,1561,602,140,167,29,52,315,246,393,267,292,243,133,174,259,224,1962,570,69,88,209,229,386,286,652,373,62,117,584,258,0,287
0500000US48029,48029,"Bexar County, Texas",14188,2084,6982,1387,276,243,529,341,1233,608,2256,857,552,390,1646,790,490,362,7206,1260,362,225,645,334,1856,754,1887,699,778,441,932,372,746,433
0500000US48085,48085,"Collin County, Texas",4873,1125,2685,805,128,210,138,167,339,197,769,422,125,141,594,315,592,595,2188,666,0,287,171,160,830,467,634,338,67,128,90,110,396,293
0500000US48113,48113,"Dallas County, Texas",15019,2203,7568,1451,277,228,1132,594,1319,477,1418,559,576,462,2179,780,667,402,7451,1315,394,334,857,471,1604,587,1980,734,526,274,1386,601,704,342
0500000US48121,48121,"Denton County, Texas",8184,1992,4294,1422,0,287,507,691,1012,755,1057,587,1041,742,435,260,242,339,3890,1196,149,208,117,144,935,641,1743,867,33,48,692,491,221,289
0500000US48141,48141,"El Paso County, Texas",7347,1586,3509,877,282,179,227,192,812,385,740,438,147,177,1198,583,103,120,3838,1120,336,238,306,389,1355,658,1218,471,244,201,379,281,0,287
0500000US48201,48201,"Harris County, Texas",22282,3100,11803,1958,1283,575,739,402,2903,974,2511,1077,1023,500,2153,666,1191,519,10479,1746,1206,482,784,384,2823,824,2179,632,549,321,2005,681,933,560
0500000US48215,48215,"Hidalgo County, Texas",3044,1087,781,324,133,128,93,108,328,206,177,176,0,287,0,287,50,94,2263,897,361,225,282,284,277,197,908,717,166,218,90,108,179,177
0500000US48439,48439,"Tarrant County, Texas",13302,1740,7417,1183,387,258,801,482,2098,693,2157,604,544,400,969,459,461,323,5885,1162,367,259,277,212,1009,405,1885,777,610,373,1313,637,424,269
0500000US48453,48453,"Travis County, Texas",8306,1714,4956,1482,270,223,156,223,746,695,862,398,380,425,1735,958,807,418,3350,703,146,144,232,228,301,234,853,409,169,167,1224,456,425,292
0500000US49035,49035,"Salt Lake County, Utah",6183,1542,3649,1130,0,261,423,278,551,368,1964,883,314,237,264,244,133,166,2534,804,51,84,71,117,707,384,780,439,117,159,535,354,273,345
0500000US51059,51059,"Fairfax County, Virginia",8580,1851,4337,1131,104,172,72,119,337,279,783,561,273,233,1689,719,1079,450,4243,1180,63,106,0,283,419,299,1025,489,526,373,1107,697,1103,488
0500000US53011,53011,"Clark County, Washington",6170,1120,3704,876,233,224,408,343,908,483,988,620,349,265,539,366,279,289,2466,697,0,269,342,292,721,355,884,460,372,280,53,83,94,111
0500000US53033,53033,"King County, Washington",28210,3279,13209,1969,811,605,1319,638,2996,1239,2975,756,1513,770,2326,775,1269,584,15001,2445,152,199,1106,626,2730,980,4611,1193,540,252,4016,1434,1846,643
0500000US53053,53053,"Pierce County, Washington",14960,2110,7382,1472,127,155,589,385,3007,963,1561,497,644,476,1061,513,393,324,7578,1169,275,359,727,394,2504,795,2082,687,713,464,833,403,444,315
0500000US53061,53061,"Snohomish County, Washington",9741,1563,4640,906,0,269,289,261,1108,495,1667,556,467,365,1109,458,0,269,5101,1132,0,269,59,103,1525,847,2185,718,381,218,476,284,475,368
