GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31
0500000US01031,01031,"Coffee County, Alabama",36780,68,7718,577,20866,1032,5273,714,2923,292,29121,887,5518,515,17162,960,3900,675,2541,275,3589,646,718,266,1852,489,732,285,287,125,1636,433,445,206,817,318,357,156,17,20,1957,456,851,294,777,274,257,139,72,57,477,212,186,140,258,183,27,27,6,9
0500000US01033,01033,"Colbert County, Alabama",44655,118,9801,803,25610,1267,5285,716,3959,439,37427,1087,7209,851,22872,1260,3780,508,3566,397,4465,962,1387,552,1892,510,934,389,252,153,1703,511,793,334,444,249,375,221,91,68,1032,397,384,291,402,246,196,118,50,52,28,46,28,46,0,154,0,154,0,154
0500000US01039,01039,"Covington County, Alabama",30040,88,6992,662,15722,1154,3963,671,3363,444,26279,638,5728,598,14246,1078,3072,518,3233,437,2008,441,709,285,938,361,297,149,64,56,825,497,338,241,219,167,268,259,0,154,913,326,217,169,304,149,326,220,66,69,15,25,0,154,15,25,0,154,0,154
0500000US01043,01043,"Cullman County, Alabama",64592,94,13403,901,35541,1509,10269,933,5379,558,53964,1251,9920,845,31494,1357,7725,879,4825,512,6531,1086,1741,446,2555,758,1838,532,397,229,2453,570,824,306,1049,392,464,245,116,87,1473,494,767,373,438,257,242,226,26,42,171,154,151,149,5,8,0,154,15,23
0500000US01045,01045,"Dale County, Alabama",37213,65,7380,676,21782,1210,5722,766,2329,259,29554,821,4987,611,18063,1114,4348,634,2156,264,2968,640,704,257,1353,451,786,246,125,80,1234,328,261,127,622,268,309,186,42,46,3140,525,1344,415,1519,392,271,154,6,8,317,106,84,52,225,102,8,10,0,154
0500000US01047,01047,"Dallas County, Alabama",33576,*****,11931,956,12739,1168,5492,737,3414,470,29306,923,9722,1007,11687,1061,4752,660,3145,480,3055,835,1602,638,739,413,498,238,216,149,899,456,365,323,277,204,223,159,34,54,286,169,212,155,36,47,19,33,19,32,30,49,30,49,0,154,0,154,0,154
0500000US01049,01049,"DeKalb County, Alabama",53380,185,11464,1153,29984,1620,7929,1076,4003,518,45920,1305,9554,1193,26232,1579,6588,959,3546,425,4939,1033,1359,625,2238,678,993,337,349,213,1437,575,336,240,933,471,168,114,0,154,931,329,161,104,519,265,158,138,93,74,153,106,54,70,62,69,22,37,15,24
0500000US01051,01051,"Elmore County, Alabama",59979,68,16005,807,31891,1383,8360,999,3723,406,48148,1033,11664,837,27892,1332,5478,681,3114,393,3309,767,913,341,1359,534,814,406,223,103,6893,853,3057,573,1717,481,1890,480,229,140,1435,458,365,197,784,320,129,106,157,152,194,141,6,10,139,126,49,62,0,154
0500000US01053,01053,"Escambia County, Alabama",30475,105,8206,642,15215,1028,4097,605,2957,411,26331,724,6507,630,13781,1056,3316,555,2727,432,2291,567,902,327,643,268,609,266,137,102,904,436,349,164,485,369,54,49,16,26,885,328,402,235,306,245,118,109,59,57,64,78,46,74,0,154,0,154,18,30
0500000US01055,01055,"Etowah County, Alabama",83209,80,16275,787,46468,1477,12795,1058,7671,617,69471,1335,12057,827,40629,1508,9971,946,6814,595,8533,1133,2333,483,4072,840,1620,375,508,205,2995,637,1206,389,876,322,784,275,129,75,2080,452,640,373,843,296,380,185,217,121,130,88,39,49,48,52,40,46,3,5
0500000US01059,01059,"Franklin County, Alabama",24320,83,5011,555,13597,781,3827,578,1885,241,20901,671,4095,496,11999,887,3133,537,1674,230,2076,640,568,271,876,420,461,229,171,116,667,277,191,149,378,226,58,68,40,52,551,283,139,110,268,191,144,127,0,154,125,82,18,29,76,79,31,47,0,154
0500000US01061,01061,"Geneva County, Alabama",21010,84,4210,436,11754,867,3110,580,1936,404,17634,590,3047,458,10607,887,2235,469,1745,404,2022,502,733,267,578,277,596,286,115,87,769,353,275,171,359,299,135,95,0,154,560,243,140,91,200,147,144,163,76,78,25,35,15,28,10,19,0,154,0,154
0500000US01069,01069,"Houston County, Alabama",75439,75,18655,557,38656,949,12107,709,6021,360,64152,810,14874,599,34436,1023,9387,621,5455,356,6446,613,2334,326,2305,364,1534,286,273,93,1773,309,710,191,577,193,369,122,117,83,2834,509,610,141,1255,304,810,242,159,79,234,124,127,93,83,66,7,11,17,24
0500000US01071,01071,"Jackson County, Alabama",43207,141,7833,813,25115,1411,6630,898,3629,492,38305,929,6394,724,22999,1255,5536,858,3376,466,3076,670,665,293,1475,495,753,252,183,102,684,303,342,227,215,113,91,70,36,44,1116,405,432,181,407,301,243,152,34,40,26,29,0,154,19,27,7,11,0,154
0500000US01073,01073,"Jefferson County, Alabama",527452,58,157034,3247,250690,4123,78775,2640,40953,1552,435031,3977,115576,2951,221579,4044,60294,2407,37582,1529,64017,3600,28233,2062,20513,2186,12774,1374,2497,513,14715,1551,7131,1101,4157,831,2899,642,528,223,12143,1271,5486,791,3704,773,2629,562,324,185,1546,440,608,269,737,304,179,116,22,38
0500000US01077,01077,"Lauderdale County, Alabama",72819,130,17765,1001,39814,1513,9158,963,6082,583,61452,1139,13511,981,35390,1568,7165,858,5386,578,5912,967,1677,424,2877,727,978,338,380,169,2476,668,1158,405,622,340,497,219,199,164,2655,655,1197,477,895,401,446,268,117,82,324,227,222,179,30,49,72,73,0,154
0500000US01079,01079,"Lawrence County, Alabama",27767,101,5674,598,16811,889,3498,622,1784,299,24854,631,5053,611,15608,873,2479,511,1714,292,1686,479,270,149,714,305,688,341,14,25,821,374,298,192,284,199,201,110,38,48,367,238,53,67,183,197,113,103,18,31,39,67,0,154,22,40,17,29,0,154
0500000US01081,01081,"Lee County, Alabama",104007,88,41027,1051,46292,1592,11465,1147,5223,475,76867,1356,23910,1032,39807,1757,8619,1036,4531,448,12793,900,8249,727,2766,584,1379,341,399,136,7197,987,4913,705,1308,474,842,354,134,114,6135,816,3431,619,1931,467,614,228,159,99,1015,368,524,268,480,271,11,13,0,154
0500000US01083,01083,"Limestone County, Alabama",57620,130,13218,778,32836,1239,8169,882,3397,391,48482,1024,10615,794,28651,1158,6187,756,3029,381,4222,784,1002,316,1895,585,1046,347,279,133,3374,828,1043,456,1610,567,662,214,59,56,1402,512,502,206,604,287,266,239,30,30,140,91,56,60,76,69,8,12,0,154
0500000US01087,01087,"Macon County, Alabama",18591,90,8542,533,5618,623,2428,372,2003,299,14475,753,6051,661,5026,590,1856,334,1542,253,2126,429,1362,332,367,263,260,142,137,110,475,154,82,70,127,110,127,79,139,130,1493,570,1047,317,93,111,168,134,185,130,22,30,0,154,5,8,17,28,0,154
0500000US01089,01089,"Madison County, Alabama",244468,97,65545,1632,128333,2627,35221,1832,15369,1014,198934,2589,47455,2017,111768,2754,26300,1521,13411,778,27686,2344,11283,1451,9149,1322,5888,906,1366,514,6076,943,3087,567,1293,409,1335,458,361,192,10079,1295,3188,721,5269,1017,1391,381,231,106,1693,511,532,285,854,337,307,203,0,154
0500000US01093,01093,"Marion County, Alabama",24463,63,4415,563,13830,1048,3702,622,2516,382,21768,554,3717,484,12947,969,2721,561,2383,379,1059,294,246,145,394,214,349,181,70,71,1357,491,434,269,480,273,420,269,23,38,279,248,18,26,9,16,212,241,40,43,0,154,0,154,0,154,0,154,0,154
0500000US01095,01095,"Marshall County, Alabama",67706,147,13458,990,37509,1533,11251,1142,5488,614,57978,1269,10560,959,33616,1519,8686,1023,5116,603,5750,1044,1825,548,1855,596,1802,549,268,143,1804,439,345,174,965,311,427,188,67,61,1238,393,235,128,802,344,201,140,0,154,936,648,493,473,271,233,135,141,37,54
0500000US01097,01097,"Mobile County, Alabama",313580,115,91653,2382,149783,3043,48956,1986,23188,1063,268083,2452,72763,2321,134202,2898,40000,1899,21118,949,32140,2309,12556,1082,11000,1425,7045,948,1539,393,3753,866,1789,670,996,415,790,340,178,127,8138,995,3805,565,3053,658,988,321,292,164,1466,423,740,364,532,191,133,83,61,58
0500000US01101,01101,"Montgomery County, Alabama",176347,169,61588,1872,75988,2496,26781,1550,11990,816,142692,2216,44319,2228,66402,2435,21077,1426,10894,814,19335,1681,10089,1428,5233,828,3248,572,765,199,6667,1124,4130,767,1197,430,1261,439,79,55,6522,971,2729,606,2431,559,1141,345,221,163,1131,434,321,144,725,383,54,63,31,34
0500000US01103,01103,"Morgan County, Alabama",91313,145,20024,1190,52633,1863,12123,1040,6533,684,77252,1257,15411,1067,46619,1635,9234,874,5988,653,9066,1202,3172,822,3583,765,1948,470,363,157,3058,772,971,328,1273,546,646,285,168,87,1760,536,382,256,1128,425,236,181,14,25,177,182,88,111,30,50,59,70,0,154
0500000US01109,01109,"Pike County, Alabama",24174,29,8530,585,10169,768,3709,449,1766,263,19134,603,5336,653,9192,699,3030,399,1576,226,2555,470,1452,423,575,236,387,154,141,160,1734,373,1246,313,315,262,156,98,17,28,673,328,423,262,82,77,136,119,32,39,78,90,73,89,5,10,0,154,0,154
0500000US01111,01111,"Randolph County, Alabama",18107,56,4795,520,9659,853,2318,544,1335,253,15418,515,3728,497,8829,775,1591,417,1270,248,1313,356,441,225,373,192,434,233,65,56,637,281,478,257,149,109,10,21,0,154,685,281,103,102,299,199,283,171,0,154,54,64,45,59,9,16,0,154,0,154
0500000US01113,01113,"Russell County, Alabama",39188,78,10431,788,18676,1201,6738,775,3343,437,32420,1016,7678,947,16713,972,4949,649,3080,396,3862,874,1419,504,1308,560,895,331,240,142,750,405,452,330,139,112,136,125,23,37,2034,472,866,289,428,191,740,282,0,154,122,99,16,27,88,85,18,31,0,154
0500000US01115,01115,"St. Clair County, Alabama",60170,104,13771,964,35102,1722,7475,1217,3822,561,52797,1041,11852,985,31490,1475,6037,1050,3418,514,3291,737,671,310,1842,621,567,246,211,124,3063,866,948,382,1330,663,614,280,171,136,947,495,300,264,368,385,257,187,22,36,72,93,0,154,72,93,0,154,0,154
0500000US01117,01117,"Shelby County, Alabama",136806,71,32308,1205,83897,1798,14697,1138,5904,576,112641,1998,23018,1352,72924,1710,11378,964,5321,573,11851,1609,4557,957,5775,1140,1337,327,182,97,8412,1086,3340,660,3313,697,1526,449,233,129,3526,799,1243,423,1696,499,419,194,168,98,376,170,150,126,189,102,37,42,0,154
0500000US01121,01121,"Talladega County, Alabama",64573,67,17323,1008,32661,1461,9446,975,5143,519,56126,1090,14244,1093,29601,1353,7520,903,4761,520,4913,849,1655,550,1843,581,1116,368,299,174,2311,443,880,309,762,260,603,246,66,75,1139,411,478,267,455,237,189,115,17,28,84,71,66,72,0,154,18,30,0,154
0500000US01123,01123,"Tallapoosa County, Alabama",33148,40,7694,622,17838,970,4498,575,3118,386,27538,927,5719,601,15402,918,3472,548,2945,364,3517,845,1039,308,1629,668,736,274,113,116,1639,340,604,229,702,273,273,145,60,51,409,221,330,198,62,65,17,29,0,154,45,49,2,4,43,48,0,154,0,154
0500000US01125,01125,"Tuscaloosa County, Alabama",141328,173,51847,1694,65311,2233,16011,1135,8159,623,109184,1869,33205,1824,56044,1996,12704,1003,7231,574,17106,1609,8929,1208,5219,914,2357,635,601,206,7993,1037,5455,823,1857,571,600,185,81,67,5477,925,3412,747,1547,556,294,161,224,139,1568,705,846,650,644,430,56,55,22,34
0500000US01127,01127,"Walker County, Alabama",56053,52,11354,777,30373,1209,8984,752,5342,442,48468,914,9148,755,27449,1206,6826,632,5045,451,4999,886,1454,591,1893,555,1439,376,213,123,1503,452,550,229,415,248,454,176,84,67,1038,402,179,108,607,311,252,144,0,154,45,65,23,40,9,14,13,24,0,154
0500000US01133,01133,"Winston County, Alabama",19886,112,3850,694,11442,1151,3216,698,1378,383,16538,617,2641,681,10602,1113,2054,528,1241,361,2030,533,612,331,434,230,847,403,137,185,808,369,373,272,241,206,194,125,0,154,475,260,224,196,136,144,115,96,0,154,35,54,0,154,29,53,6,11,0,154
0500000US02020,02020,"Anchorage Municipality, Alaska",216725,106,66734,1543,113493,2223,29413,1532,7085,579,168915,2765,46258,1873,94083,2471,22384,1290,6190,532,29052,2108,13163,1429,10357,1278,4923,850,609,244,4862,918,2425,557,1671,595,714,283,52,68,11776,1498,4203,769,6177,1068,1224,386,172,111,2120,566,685,377,1205,464,168,167,62,56
0500000US02090,02090,"Fairbanks North Star Borough, Alaska",73325,272,25202,1073,36848,1417,9102,947,2173,378,54906,1243,16407,1107,30002,1272,6773,838,1724,321,8485,1030,3810,681,3111,664,1453,363,111,93,2460,661,1143,413,764,394,409,177,144,186,5966,946,3081,676,2280,491,411,227,194,158,1508,468,761,387,691,318,56,71,0,136
0500000US02110,02110,"Juneau City and Borough, Alaska",25263,160,8199,591,12701,764,3383,497,980,244,19650,879,5330,584,10735,810,2736,461,849,218,2704,578,1244,311,1039,427,385,220,36,29,989,379,502,199,404,274,83,80,0,136,1453,385,739,280,451,220,168,113,95,83,467,304,384,287,72,74,11,18,0,136
0500000US02122,02122,"Kenai Peninsula Borough, Alaska",41961,146,11669,566,22514,911,6170,560,1608,240,34718,831,8435,609,20333,939,4662,500,1288,215,3821,518,1664,343,1089,337,888,239,180,95,1532,351,712,197,480,205,317,146,23,39,1821,474,789,306,612,224,303,182,117,76,69,71,69,71,0,136,0,136,0,136
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",62130,52,20692,907,29081,1188,9779,836,2578,382,50641,1383,15719,1022,25253,1072,7474,811,2195,363,4531,833,1797,451,1363,487,1154,401,217,148,3498,656,1583,470,1267,353,594,195,54,53,3091,710,1280,369,1142,495,557,269,112,128,369,453,313,460,56,46,0,136,0,136
0500000US04001,04001,"Apache County, Arizona",51715,69,22067,1128,20575,1376,5954,786,3119,489,46971,745,20131,1173,18737,1298,5021,760,3082,482,1689,462,462,239,826,402,401,225,0,168,1070,293,488,216,357,199,211,126,14,25,1838,407,937,320,557,257,321,214,23,39,147,114,49,80,98,115,0,168,0,168
0500000US04003,04003,"Cochise County, Arizona",101359,147,25295,1069,55126,1660,14413,1222,6525,638,80912,1654,17493,1076,46390,1847,11031,1107,5998,636,8004,1231,3013,650,3223,731,1590,443,178,81,3286,838,1401,473,1147,445,683,287,55,44,7878,1196,2946,525,3640,775,998,335,294,173,1279,396,442,203,726,300,111,74,0,168
0500000US04005,04005,"Coconino County, Arizona",99818,279,38570,1475,46351,1760,11273,920,3624,539,77771,1589,25688,1844,40133,1790,8776,880,3174,486,11886,1426,6827,901,3354,813,1457,493,248,160,4623,909,2971,644,1254,518,288,188,110,127,4419,776,2245,580,1370,427,730,272,74,69,1119,709,839,539,240,260,22,40,18,29
0500000US04007,04007,"Gila County, Arizona",41641,185,11048,927,20049,1413,6752,1006,3792,440,35856,1043,9097,930,18055,1267,5187,868,3517,437,2904,906,1176,634,861,403,834,312,33,55,1858,531,511,234,819,416,342,242,186,142,951,365,236,196,279,189,380,244,56,72,72,113,28,48,35,65,9,16,0,168
0500000US04009,04009,"Graham County, Arizona",26405,41,8261,675,13112,919,3610,512,1422,266,22141,711,6959,666,11225,849,2660,413,1297,210,1861,578,146,104,1103,520,527,260,85,97,1691,424,943,265,462,238,266,133,20,38,513,178,145,93,191,112,157,91,20,33,199,152,68,94,131,116,0,168,0,168
0500000US04013,04013,"Maricopa County, Arizona",2897182,*****,888229,6597,1437695,9449,413303,7902,157955,3784,2272126,9447,624981,7823,1202572,8765,309605,5855,134968,3485,425386,9009,182832,5513,151528,5638,75717,3860,15309,1458,27837,2123,13176,1587,8863,1165,4819,746,979,249,139253,4919,54321,3306,58645,3417,20383,1730,5904,788,32580,2842,12919,1308,16087,2335,2779,1108,795,225
0500000US04015,04015,"Mohave County, Arizona",155438,173,32966,1564,84996,2856,25770,1845,11706,1033,122253,2321,22537,1507,71422,2612,18120,1590,10174,922,16386,1833,5239,1005,5504,1144,4751,802,892,291,2714,699,1478,495,795,400,407,271,34,44,13301,1973,3465,906,6738,1249,2492,556,606,233,784,416,247,210,537,311,0,168,0,168
0500000US04017,04017,"Navajo County, Arizona",82303,182,28481,1236,39784,1484,9237,941,4801,514,68752,1333,23163,1127,34293,1738,6771,706,4525,504,5939,1016,2457,599,2151,794,1250,380,81,81,5226,753,1975,499,2194,732,880,355,177,112,2162,741,855,412,1053,564,254,169,0,168,224,172,31,54,93,86,82,115,18,31
0500000US04019,04019,"Pima County, Arizona",759682,43,240279,3974,359991,5006,111041,3346,48371,1424,593448,4592,161710,3961,306291,4705,82758,2912,42689,1426,109587,4685,53882,3180,31911,2373,20035,1459,3759,589,14771,1307,8421,979,3604,784,2338,527,408,151,34116,2437,12526,1356,14963,1582,5243,826,1384,381,7760,1200,3740,851,3222,707,667,357,131,98
0500000US04021,04021,"Pinal County, Arizona",211170,98,54261,2092,120423,2886,26779,1742,9707,879,158928,2826,35149,2033,95959,3000,18981,1489,8839,832,18235,2250,7516,1286,7515,1587,2921,679,283,132,20774,2112,7755,1075,9425,1505,3371,645,223,158,10927,1222,2664,541,6622,940,1282,395,359,152,2306,714,1177,426,902,438,224,182,3,6
0500000US04025,04025,"Yavapai County, Arizona",172042,200,39815,1687,93150,3048,25570,1959,13507,1012,142598,2406,29965,1875,80320,2766,20122,1716,12191,988,15394,1865,4841,1079,7027,1476,2741,611,785,259,4929,930,1549,460,2233,598,982,336,165,146,8508,1157,3270,739,3258,763,1674,512,306,191,613,252,190,151,312,167,51,77,60,77
0500000US04027,04027,"Yuma County, Arizona",140882,176,32587,1563,83098,2383,15140,1426,10057,769,111126,2055,22459,1353,68531,2115,11369,1056,8767,735,15319,1674,5194,1003,7273,1079,2233,619,619,256,2989,617,1450,323,1016,457,487,188,36,42,9013,1248,2938,598,4566,934,928,350,581,260,2435,853,546,235,1712,759,123,103,54,50
0500000US05003,05003,"Ashley County, Arkansas",18136,98,3563,444,11029,813,2068,484,1476,266,15391,725,2541,423,9989,736,1534,407,1327,246,1760,605,624,261,747,431,362,199,27,45,322,147,101,81,67,78,91,62,63,75,642,299,297,181,205,184,81,88,59,88,21,33,0,151,21,33,0,151,0,151
0500000US05005,05005,"Baxter County, Arkansas",34639,163,4805,553,20996,1274,4873,812,3965,389,28546,838,3736,457,17726,1260,3539,670,3545,391,3108,648,750,327,1430,458,777,258,151,99,829,335,179,129,338,178,223,157,89,73,2100,537,140,94,1446,465,334,234,180,129,56,62,0,151,56,62,0,151,0,151
0500000US05007,05007,"Benton County, Arkansas",150018,357,31510,2143,93411,2733,17535,1379,7562,646,120334,2120,21749,1605,78298,2839,13345,1284,6942,636,16036,1561,5192,913,8054,1241,2405,537,385,174,3975,839,1146,463,2071,584,716,271,42,60,9057,1268,3158,842,4767,859,960,295,172,97,616,257,265,149,221,131,109,147,21,39
0500000US05009,05009,"Boone County, Arkansas",29309,193,5255,718,17240,994,4341,755,2473,360,23426,1053,3739,735,14908,984,2563,480,2216,362,3449,868,870,383,1438,471,1067,452,74,53,773,383,212,162,300,182,188,178,73,101,1637,562,410,280,594,267,523,389,110,86,24,41,24,41,0,151,0,151,0,151
0500000US05015,05015,"Carroll County, Arkansas",21956,56,4970,577,12285,932,2987,591,1714,359,18690,738,3843,524,10730,899,2563,565,1554,354,1892,700,775,377,892,515,194,116,31,37,768,337,235,166,350,228,141,135,42,47,571,237,117,99,278,159,89,93,87,108,35,43,0,151,35,43,0,151,0,151
0500000US05019,05019,"Clark County, Arkansas",19263,154,8322,538,8628,763,1209,347,1104,227,14769,794,5165,786,7527,716,1052,316,1025,219,988,301,524,213,347,196,59,51,58,61,1501,434,995,363,410,303,84,72,12,24,1866,678,1546,618,297,239,14,19,9,16,139,111,92,80,47,67,0,151,0,151
0500000US05023,05023,"Cleburne County, Arkansas",20991,33,3956,418,12318,700,2620,529,2097,311,17540,759,3265,500,10855,692,1624,375,1796,286,1751,601,535,281,448,268,542,258,226,156,1284,438,9,10,909,447,366,251,0,151,416,289,147,217,106,105,88,107,75,91,0,151,0,151,0,151,0,151,0,151
0500000US05027,05027,"Columbia County, Arkansas",19999,41,5650,526,9883,727,2629,466,1837,226,16624,611,3855,473,8912,700,2166,430,1691,225,2148,488,934,325,811,361,284,157,119,74,828,330,577,289,99,71,125,88,27,44,280,186,193,156,33,50,54,48,0,151,119,111,91,103,28,47,0,151,0,151
0500000US05029,05029,"Conway County, Arkansas",16598,128,3419,446,9666,660,1989,314,1524,296,14372,537,2770,456,8511,623,1741,296,1350,281,1142,383,479,252,512,255,119,101,32,38,581,256,50,62,365,204,47,40,119,138,419,211,120,94,219,153,57,58,23,38,84,95,0,151,59,59,25,41,0,151
0500000US05031,05031,"Craighead County, Arkansas",71261,143,19584,1029,35717,1589,10791,1229,5169,504,56581,1675,12405,1165,31702,1628,7787,1064,4687,433,8505,1399,3553,936,2559,673,2069,673,324,188,3393,764,2036,593,608,339,680,296,69,74,2513,832,1422,596,779,391,238,152,74,73,269,147,168,106,69,89,17,27,15,25
