GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD01_VD27,Estimate; Carpatho Rusyn
HD02_VD27,Margin of Error; Carpatho Rusyn
HD01_VD28,Estimate; Celtic
HD02_VD28,Margin of Error; Celtic
HD01_VD29,Estimate; Croatian
HD02_VD29,Margin of Error; Croatian
HD01_VD30,Estimate; Cypriot
HD02_VD30,Margin of Error; Cypriot
HD01_VD31,Estimate; Czech
HD02_VD31,Margin of Error; Czech
HD01_VD32,Estimate; Czechoslovakian
HD02_VD32,Margin of Error; Czechoslovakian
HD01_VD33,Estimate; Danish
HD02_VD33,Margin of Error; Danish
HD01_VD34,Estimate; Dutch
HD02_VD34,Margin of Error; Dutch
HD01_VD35,Estimate; Eastern European
HD02_VD35,Margin of Error; Eastern European
HD01_VD36,Estimate; English
HD02_VD36,Margin of Error; English
HD01_VD37,Estimate; Estonian
HD02_VD37,Margin of Error; Estonian
HD01_VD38,Estimate; European
HD02_VD38,Margin of Error; European
HD01_VD39,Estimate; Finnish
HD02_VD39,Margin of Error; Finnish
HD01_VD40,Estimate; French (except Basque)
HD02_VD40,Margin of Error; French (except Basque)
HD01_VD41,Estimate; French Canadian
HD02_VD41,Margin of Error; French Canadian
HD01_VD42,Estimate; German
HD02_VD42,Margin of Error; German
HD01_VD43,Estimate; German Russian
HD02_VD43,Margin of Error; German Russian
HD01_VD44,Estimate; Greek
HD02_VD44,Margin of Error; Greek
HD01_VD45,Estimate; Guyanese
HD02_VD45,Margin of Error; Guyanese
HD01_VD46,Estimate; Hungarian
HD02_VD46,Margin of Error; Hungarian
HD01_VD47,Estimate; Icelander
HD02_VD47,Margin of Error; Icelander
HD01_VD48,Estimate; Iranian
HD02_VD48,Margin of Error; Iranian
HD01_VD49,Estimate; Irish
HD02_VD49,Margin of Error; Irish
HD01_VD50,Estimate; Israeli
HD02_VD50,Margin of Error; Israeli
HD01_VD51,Estimate; Italian
HD02_VD51,Margin of Error; Italian
HD01_VD52,Estimate; Latvian
HD02_VD52,Margin of Error; Latvian
HD01_VD53,Estimate; Lithuanian
HD02_VD53,Margin of Error; Lithuanian
HD01_VD54,Estimate; Luxemburger
HD02_VD54,Margin of Error; Luxemburger
HD01_VD55,Estimate; Macedonian
HD02_VD55,Margin of Error; Macedonian
HD01_VD56,Estimate; Maltese
HD02_VD56,Margin of Error; Maltese
HD01_VD57,Estimate; New Zealander
HD02_VD57,Margin of Error; New Zealander
HD01_VD58,Estimate; Northern European
HD02_VD58,Margin of Error; Northern European
HD01_VD59,Estimate; Norwegian
HD02_VD59,Margin of Error; Norwegian
HD01_VD60,Estimate; Pennsylvania German
HD02_VD60,Margin of Error; Pennsylvania German
HD01_VD61,Estimate; Polish
HD02_VD61,Margin of Error; Polish
HD01_VD62,Estimate; Portuguese
HD02_VD62,Margin of Error; Portuguese
HD01_VD63,Estimate; Romanian
HD02_VD63,Margin of Error; Romanian
HD01_VD64,Estimate; Russian
HD02_VD64,Margin of Error; Russian
HD01_VD65,Estimate; Scandinavian
HD02_VD65,Margin of Error; Scandinavian
HD01_VD66,Estimate; Scotch-Irish
HD02_VD66,Margin of Error; Scotch-Irish
HD01_VD67,Estimate; Scottish
HD02_VD67,Margin of Error; Scottish
HD01_VD68,Estimate; Serbian
HD02_VD68,Margin of Error; Serbian
HD01_VD69,Estimate; Slavic
HD02_VD69,Margin of Error; Slavic
HD01_VD70,Estimate; Slovak
HD02_VD70,Margin of Error; Slovak
HD01_VD71,Estimate; Slovene
HD02_VD71,Margin of Error; Slovene
HD01_VD72,Estimate; Soviet Union
HD02_VD72,Margin of Error; Soviet Union
HD01_VD73,Estimate; Subsaharan African:
HD02_VD73,Margin of Error; Subsaharan African:
HD01_VD74,Estimate; Subsaharan African: - Cape Verdean
HD02_VD74,Margin of Error; Subsaharan African: - Cape Verdean
HD01_VD75,Estimate; Subsaharan African: - Ethiopian
HD02_VD75,Margin of Error; Subsaharan African: - Ethiopian
HD01_VD76,Estimate; Subsaharan African: - Ghanian
HD02_VD76,Margin of Error; Subsaharan African: - Ghanian
HD01_VD77,Estimate; Subsaharan African: - Kenyan
HD02_VD77,Margin of Error; Subsaharan African: - Kenyan
HD01_VD78,Estimate; Subsaharan African: - Liberian
HD02_VD78,Margin of Error; Subsaharan African: - Liberian
HD01_VD79,Estimate; Subsaharan African: - Nigerian
HD02_VD79,Margin of Error; Subsaharan African: - Nigerian
HD01_VD80,Estimate; Subsaharan African: - Senegalese
HD02_VD80,Margin of Error; Subsaharan African: - Senegalese
HD01_VD81,Estimate; Subsaharan African: - Sierra Leonean
HD02_VD81,Margin of Error; Subsaharan African: - Sierra Leonean
HD01_VD82,Estimate; Subsaharan African: - Somalian
HD02_VD82,Margin of Error; Subsaharan African: - Somalian
HD01_VD83,Estimate; Subsaharan African: - South African
HD02_VD83,Margin of Error; Subsaharan African: - South African
HD01_VD84,Estimate; Subsaharan African: - Sudanese
HD02_VD84,Margin of Error; Subsaharan African: - Sudanese
HD01_VD85,Estimate; Subsaharan African: - Ugandan
HD02_VD85,Margin of Error; Subsaharan African: - Ugandan
HD01_VD86,Estimate; Subsaharan African: - Zimbabwean
HD02_VD86,Margin of Error; Subsaharan African: - Zimbabwean
HD01_VD87,Estimate; Subsaharan African: - African
HD02_VD87,Margin of Error; Subsaharan African: - African
HD01_VD88,Estimate; Subsaharan African: - Other Subsaharan African
HD02_VD88,Margin of Error; Subsaharan African: - Other Subsaharan African
HD01_VD89,Estimate; Swedish
HD02_VD89,Margin of Error; Swedish
HD01_VD90,Estimate; Swiss
HD02_VD90,Margin of Error; Swiss
HD01_VD91,Estimate; Turkish
HD02_VD91,Margin of Error; Turkish
HD01_VD92,Estimate; Ukrainian
HD02_VD92,Margin of Error; Ukrainian
HD01_VD93,Estimate; Welsh
HD02_VD93,Margin of Error; Welsh
HD01_VD94,Estimate; West Indian (except Hispanic groups):
HD02_VD94,Margin of Error; West Indian (except Hispanic groups):
HD01_VD95,Estimate; West Indian (except Hispanic groups): - Bahamian
HD02_VD95,Margin of Error; West Indian (except Hispanic groups): - Bahamian
HD01_VD96,Estimate; West Indian (except Hispanic groups): - Barbadian
HD02_VD96,Margin of Error; West Indian (except Hispanic groups): - Barbadian
HD01_VD97,Estimate; West Indian (except Hispanic groups): - Belizean
HD02_VD97,Margin of Error; West Indian (except Hispanic groups): - Belizean
HD01_VD98,Estimate; West Indian (except Hispanic groups): - Bermudan
HD02_VD98,Margin of Error; West Indian (except Hispanic groups): - Bermudan
HD01_VD99,Estimate; West Indian (except Hispanic groups): - British West Indian
HD02_VD99,Margin of Error; West Indian (except Hispanic groups): - British West Indian
HD01_VD100,Estimate; West Indian (except Hispanic groups): - Dutch West Indian
HD02_VD100,Margin of Error; West Indian (except Hispanic groups): - Dutch West Indian
HD01_VD101,Estimate; West Indian (except Hispanic groups): - Haitian
HD02_VD101,Margin of Error; West Indian (except Hispanic groups): - Haitian
HD01_VD102,Estimate; West Indian (except Hispanic groups): - Jamaican
HD02_VD102,Margin of Error; West Indian (except Hispanic groups): - Jamaican
HD01_VD103,Estimate; West Indian (except Hispanic groups): - Trinidadian and Tobagonian
HD02_VD103,Margin of Error; West Indian (except Hispanic groups): - Trinidadian and Tobagonian
HD01_VD104,Estimate; West Indian (except Hispanic groups): - U.S. Virgin Islander
HD02_VD104,Margin of Error; West Indian (except Hispanic groups): - U.S. Virgin Islander
HD01_VD105,Estimate; West Indian (except Hispanic groups): - West Indian
HD02_VD105,Margin of Error; West Indian (except Hispanic groups): - West Indian
HD01_VD106,Estimate; West Indian (except Hispanic groups): - Other West Indian
HD02_VD106,Margin of Error; West Indian (except Hispanic groups): - Other West Indian
HD01_VD107,Estimate; Yugoslavian
HD02_VD107,Margin of Error; Yugoslavian
HD01_VD108,Estimate; Other groups
HD02_VD108,Margin of Error; Other groups
HD01_VD109,Estimate; Unclassified or not reported
HD02_VD109,Margin of Error; Unclassified or not reported
