GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01
0500000US05045,05045,"Faulkner County, Arkansas",25975,3653
0500000US05051,05051,"Garland County, Arkansas","2,500-",***
0500000US05055,05055,"Greene County, Arkansas",80303,62294
0500000US05057,05057,"Hempstead County, Arkansas",-,**
0500000US05059,05059,"Hot Spring County, Arkansas",-,**
0500000US05069,05069,"Jefferson County, Arkansas",28750,21239
0500000US05071,05071,"Johnson County, Arkansas",-,**
0500000US05083,05083,"Logan County, Arkansas",11650,10153
0500000US05085,05085,"Lonoke County, Arkansas",-,**
0500000US05091,05091,"Miller County, Arkansas",-,**
0500000US05093,05093,"Mississippi County, Arkansas",-,**
0500000US05103,05103,"Ouachita County, Arkansas",-,**
0500000US05107,05107,"Phillips County, Arkansas",-,**
0500000US05111,05111,"Poinsett County, Arkansas",-,**
0500000US05113,05113,"Polk County, Arkansas",-,**
0500000US05115,05115,"Pope County, Arkansas",9107,5298
0500000US05123,05123,"St. Francis County, Arkansas",-,**
0500000US05125,05125,"Saline County, Arkansas",-,**
0500000US05139,05139,"Union County, Arkansas",-,**
0500000US05143,05143,"Washington County, Arkansas",36658,10323
0500000US05145,05145,"White County, Arkansas",-,**
0500000US05149,05149,"Yell County, Arkansas",-,**
0500000US06001,06001,"Alameda County, California",28699,12954
0500000US06005,06005,"Amador County, California",-,**
0500000US06007,06007,"Butte County, California",26042,12026
0500000US06013,06013,"Contra Costa County, California",41450,19790
0500000US06019,06019,"Fresno County, California",20722,5332
0500000US06023,06023,"Humboldt County, California",19116,13101
0500000US06029,06029,"Kern County, California",19162,5168
0500000US06031,06031,"Kings County, California",50323,29233
0500000US06033,06033,"Lake County, California",46500,20120
0500000US06035,06035,"Lassen County, California",26510,2955
0500000US06037,06037,"Los Angeles County, California",33355,5054
0500000US06039,06039,"Madera County, California",23450,14481
0500000US06045,06045,"Mendocino County, California",19139,4738
0500000US06047,06047,"Merced County, California",11581,892
0500000US06055,06055,"Napa County, California",38976,24957
0500000US06059,06059,"Orange County, California",43996,18772
0500000US06061,06061,"Placer County, California",48846,45504
0500000US06063,06063,"Plumas County, California",-,**
0500000US06065,06065,"Riverside County, California",40080,6585
0500000US06067,06067,"Sacramento County, California",26206,5390
0500000US06069,06069,"San Benito County, California",33750,5863
0500000US06071,06071,"San Bernardino County, California",31828,10521
0500000US06073,06073,"San Diego County, California",31749,6371
0500000US06075,06075,"San Francisco County, California",19899,15697
0500000US06077,06077,"San Joaquin County, California",16322,5101
0500000US06081,06081,"San Mateo County, California",102615,79474
0500000US06085,06085,"Santa Clara County, California",51005,20957
0500000US06089,06089,"Shasta County, California",12692,6262
0500000US06093,06093,"Siskiyou County, California",11094,4333
0500000US06095,06095,"Solano County, California",69563,68549
0500000US06097,06097,"Sonoma County, California",21636,20549
0500000US06099,06099,"Stanislaus County, California",35054,12767
0500000US06101,06101,"Sutter County, California",35640,12991
0500000US06103,06103,"Tehama County, California",19182,3109
0500000US06107,06107,"Tulare County, California",28875,5918
0500000US06111,06111,"Ventura County, California",39299,18707
0500000US08001,08001,"Adams County, Colorado",27875,19775
0500000US08005,08005,"Arapahoe County, Colorado",29396,18965
0500000US08013,08013,"Boulder County, Colorado",50457,20573
0500000US08014,08014,"Broomfield County, Colorado",-,**
0500000US08029,08029,"Delta County, Colorado",-,**
0500000US08031,08031,"Denver County, Colorado",17410,12487
0500000US08035,08035,"Douglas County, Colorado",-,**
0500000US08037,08037,"Eagle County, Colorado",-,**
0500000US08039,08039,"Elbert County, Colorado",-,**
0500000US08041,08041,"El Paso County, Colorado",29974,12674
0500000US08043,08043,"Fremont County, Colorado",21224,5785
0500000US08045,08045,"Garfield County, Colorado",-,**
0500000US08059,08059,"Jefferson County, Colorado",45316,15030
0500000US08067,08067,"La Plata County, Colorado",30221,19743
0500000US08075,08075,"Logan County, Colorado","2,500-",***
0500000US08077,08077,"Mesa County, Colorado",5563,5484
0500000US08083,08083,"Montezuma County, Colorado",47639,8298
0500000US08085,08085,"Montrose County, Colorado",-,**
0500000US08087,08087,"Morgan County, Colorado",-,**
0500000US08101,08101,"Pueblo County, Colorado",14424,8134
0500000US08107,08107,"Routt County, Colorado",-,**
0500000US08117,08117,"Summit County, Colorado",-,**
0500000US08119,08119,"Teller County, Colorado",-,**
0500000US08123,08123,"Weld County, Colorado",24391,3113
0500000US09001,09001,"Fairfield County, Connecticut",36687,12498
0500000US09003,09003,"Hartford County, Connecticut",30511,3313
0500000US09005,09005,"Litchfield County, Connecticut",12772,9518
0500000US09007,09007,"Middlesex County, Connecticut",-,**
0500000US09011,09011,"New London County, Connecticut",38295,10974
0500000US09013,09013,"Tolland County, Connecticut",-,**
0500000US09015,09015,"Windham County, Connecticut",-,**
0500000US10001,10001,"Kent County, Delaware",13539,2689
0500000US10003,10003,"New Castle County, Delaware",24102,17921
0500000US10005,10005,"Sussex County, Delaware",25417,14788
0500000US11001,11001,"District of Columbia, District of Columbia",63929,42987
0500000US12003,12003,"Baker County, Florida",-,**
0500000US12005,12005,"Bay County, Florida",36845,4646
0500000US12007,12007,"Bradford County, Florida",-,**
0500000US12011,12011,"Broward County, Florida",73549,69310
0500000US12019,12019,"Clay County, Florida","2,500-",***
0500000US12021,12021,"Collier County, Florida",9615,5693
0500000US12023,12023,"Columbia County, Florida",-,**
0500000US12027,12027,"DeSoto County, Florida",-,**
0500000US12033,12033,"Escambia County, Florida",37560,16546
0500000US12035,12035,"Flagler County, Florida",-,**
0500000US12039,12039,"Gadsden County, Florida",45485,19410
0500000US12049,12049,"Hardee County, Florida",-,**
0500000US12051,12051,"Hendry County, Florida",-,**
0500000US12057,12057,"Hillsborough County, Florida",25977,10183
0500000US12061,12061,"Indian River County, Florida",23286,10619
0500000US12069,12069,"Lake County, Florida",9458,5663
0500000US12071,12071,"Lee County, Florida",53512,34104
0500000US12085,12085,"Martin County, Florida",25363,15568
0500000US12086,12086,"Miami-Dade County, Florida",25238,16537
0500000US12087,12087,"Monroe County, Florida",-,**
0500000US12089,12089,"Nassau County, Florida",-,**
0500000US12091,12091,"Okaloosa County, Florida",30061,14589
0500000US12093,12093,"Okeechobee County, Florida",25268,21542
0500000US12097,12097,"Osceola County, Florida",40250,19639
0500000US12099,12099,"Palm Beach County, Florida",42034,17077
0500000US12103,12103,"Pinellas County, Florida",25586,11611
0500000US12105,12105,"Polk County, Florida",31976,17390
0500000US12107,12107,"Putnam County, Florida",-,**
0500000US12109,12109,"St. Johns County, Florida",-,**
0500000US12111,12111,"St. Lucie County, Florida",-,**
0500000US12115,12115,"Sarasota County, Florida",27708,13180
0500000US12119,12119,"Sumter County, Florida",-,**
0500000US12121,12121,"Suwannee County, Florida",-,**
0500000US12123,12123,"Taylor County, Florida",-,**
0500000US12129,12129,"Wakulla County, Florida",-,**
0500000US12131,12131,"Walton County, Florida",-,**
0500000US12133,12133,"Washington County, Florida",70543,6006
0500000US13009,13009,"Baldwin County, Georgia",-,**
0500000US13013,13013,"Barrow County, Georgia",-,**
0500000US13029,13029,"Bryan County, Georgia",-,**
0500000US13031,13031,"Bulloch County, Georgia",-,**
0500000US13033,13033,"Burke County, Georgia",-,**
0500000US13035,13035,"Butts County, Georgia",-,**
0500000US13039,13039,"Camden County, Georgia",-,**
0500000US13047,13047,"Catoosa County, Georgia","2,500-",***
0500000US13055,13055,"Chattooga County, Georgia",-,**
0500000US13057,13057,"Cherokee County, Georgia",-,**
0500000US13059,13059,"Clarke County, Georgia",-,**
0500000US13069,13069,"Coffee County, Georgia",-,**
0500000US13071,13071,"Colquitt County, Georgia",-,**
0500000US13073,13073,"Columbia County, Georgia",-,**
0500000US13077,13077,"Coweta County, Georgia",-,**
0500000US13081,13081,"Crisp County, Georgia",-,**
0500000US13085,13085,"Dawson County, Georgia",-,**
0500000US13087,13087,"Decatur County, Georgia",-,**
0500000US13089,13089,"DeKalb County, Georgia",42885,37433
0500000US13091,13091,"Dodge County, Georgia",-,**
0500000US13095,13095,"Dougherty County, Georgia","2,500-",***
0500000US13097,13097,"Douglas County, Georgia",-,**
0500000US13103,13103,"Effingham County, Georgia",-,**
0500000US13105,13105,"Elbert County, Georgia",-,**
0500000US13107,13107,"Emanuel County, Georgia",-,**
0500000US13111,13111,"Fannin County, Georgia",-,**
0500000US13113,13113,"Fayette County, Georgia",-,**
0500000US13115,13115,"Floyd County, Georgia",-,**
0500000US13117,13117,"Forsyth County, Georgia",-,**
0500000US13119,13119,"Franklin County, Georgia",-,**
0500000US13121,13121,"Fulton County, Georgia",16205,15563
0500000US13123,13123,"Gilmer County, Georgia",-,**
0500000US13127,13127,"Glynn County, Georgia",-,**
0500000US13129,13129,"Gordon County, Georgia",-,**
0500000US13131,13131,"Grady County, Georgia",-,**
0500000US13135,13135,"Gwinnett County, Georgia",43451,930
0500000US13137,13137,"Habersham County, Georgia",-,**
0500000US13143,13143,"Haralson County, Georgia",-,**
0500000US13145,13145,"Harris County, Georgia",-,**
0500000US13147,13147,"Hart County, Georgia",-,**
0500000US13151,13151,"Henry County, Georgia",-,**
0500000US13157,13157,"Jackson County, Georgia",-,**
0500000US13169,13169,"Jones County, Georgia",-,**
0500000US13177,13177,"Lee County, Georgia",-,**
0500000US13185,13185,"Lowndes County, Georgia",-,**
0500000US13187,13187,"Lumpkin County, Georgia",-,**
0500000US13189,13189,"McDuffie County, Georgia",-,**
0500000US13195,13195,"Madison County, Georgia",-,**
0500000US13199,13199,"Meriwether County, Georgia",-,**
0500000US13205,13205,"Mitchell County, Georgia",-,**
0500000US13207,13207,"Monroe County, Georgia",-,**
0500000US13213,13213,"Murray County, Georgia",-,**
0500000US13217,13217,"Newton County, Georgia",-,**
0500000US13219,13219,"Oconee County, Georgia",-,**
0500000US13223,13223,"Paulding County, Georgia",30594,17888
0500000US13225,13225,"Peach County, Georgia",-,**
0500000US13227,13227,"Pickens County, Georgia",-,**
0500000US13233,13233,"Polk County, Georgia",-,**
0500000US13237,13237,"Putnam County, Georgia",-,**
0500000US13245,13245,"Richmond County, Georgia",42607,34248
0500000US13247,13247,"Rockdale County, Georgia",-,**
0500000US13255,13255,"Spalding County, Georgia",-,**
0500000US13257,13257,"Stephens County, Georgia",-,**
0500000US13261,13261,"Sumter County, Georgia",-,**
0500000US13267,13267,"Tattnall County, Georgia",-,**
0500000US13275,13275,"Thomas County, Georgia",-,**
0500000US13277,13277,"Tift County, Georgia",9306,5391
0500000US13279,13279,"Toombs County, Georgia",-,**
0500000US13285,13285,"Troup County, Georgia",-,**
0500000US13291,13291,"Union County, Georgia",-,**
0500000US13293,13293,"Upson County, Georgia",-,**
0500000US13295,13295,"Walker County, Georgia",-,**
0500000US13297,13297,"Walton County, Georgia",-,**
0500000US13299,13299,"Ware County, Georgia",-,**
0500000US13303,13303,"Washington County, Georgia",-,**
0500000US13305,13305,"Wayne County, Georgia",-,**
0500000US13311,13311,"White County, Georgia",-,**
0500000US13313,13313,"Whitfield County, Georgia",-,**
0500000US13321,13321,"Worth County, Georgia",-,**
0500000US15007,15007,"Kauai County, Hawaii",-,**
0500000US15009,15009,"Maui County, Hawaii",25750,4330
0500000US16001,16001,"Ada County, Idaho",27333,18697
0500000US16005,16005,"Bannock County, Idaho",39183,16554
0500000US16013,16013,"Blaine County, Idaho",-,**
0500000US16019,16019,"Bonneville County, Idaho",-,**
0500000US16027,16027,"Canyon County, Idaho",-,**
0500000US16031,16031,"Cassia County, Idaho",-,**
0500000US16039,16039,"Elmore County, Idaho",18271,12056
0500000US16051,16051,"Jefferson County, Idaho",27578,22415
0500000US16053,16053,"Jerome County, Idaho",-,**
0500000US16057,16057,"Latah County, Idaho",-,**
0500000US16065,16065,"Madison County, Idaho",35685,14508
0500000US16083,16083,"Twin Falls County, Idaho",31250,26544
0500000US17001,17001,"Adams County, Illinois","2,500-",***
0500000US17007,17007,"Boone County, Illinois",-,**
0500000US17011,17011,"Bureau County, Illinois",-,**
0500000US17021,17021,"Christian County, Illinois",-,**
0500000US17027,17027,"Clinton County, Illinois","2,500-",***
0500000US17029,17029,"Coles County, Illinois",-,**
0500000US17031,17031,"Cook County, Illinois",30208,13997
0500000US17037,17037,"DeKalb County, Illinois",-,**
0500000US17043,17043,"DuPage County, Illinois",49184,9829
0500000US17049,17049,"Effingham County, Illinois",-,**
0500000US17051,17051,"Fayette County, Illinois",-,**
0500000US17055,17055,"Franklin County, Illinois",22283,6583
0500000US17057,17057,"Fulton County, Illinois",-,**
0500000US17063,17063,"Grundy County, Illinois",-,**
0500000US17073,17073,"Henry County, Illinois",-,**
0500000US17075,17075,"Iroquois County, Illinois",-,**
0500000US17077,17077,"Jackson County, Illinois",-,**
0500000US17081,17081,"Jefferson County, Illinois",35750,17941
0500000US17083,17083,"Jersey County, Illinois",-,**
0500000US17085,17085,"Jo Daviess County, Illinois",-,**
0500000US17093,17093,"Kendall County, Illinois",16366,661
0500000US17095,17095,"Knox County, Illinois",-,**
0500000US17097,17097,"Lake County, Illinois",-,**
0500000US17099,17099,"LaSalle County, Illinois",-,**
0500000US17103,17103,"Lee County, Illinois",22813,2001
0500000US17105,17105,"Livingston County, Illinois",-,**
0500000US17107,17107,"Logan County, Illinois",-,**
0500000US17109,17109,"McDonough County, Illinois",-,**
0500000US17111,17111,"McHenry County, Illinois",-,**
0500000US17113,17113,"McLean County, Illinois",-,**
0500000US17115,17115,"Macon County, Illinois",21250,19500
0500000US17117,17117,"Macoupin County, Illinois",15714,8493
0500000US17121,17121,"Marion County, Illinois",20885,7243
0500000US17133,17133,"Monroe County, Illinois",-,**
0500000US17135,17135,"Montgomery County, Illinois",-,**
0500000US17137,17137,"Morgan County, Illinois",-,**
0500000US17141,17141,"Ogle County, Illinois",-,**
0500000US17143,17143,"Peoria County, Illinois",13598,3584
0500000US17145,17145,"Perry County, Illinois",-,**
0500000US17157,17157,"Randolph County, Illinois",-,**
0500000US17163,17163,"St. Clair County, Illinois",18625,8164
0500000US17165,17165,"Saline County, Illinois",-,**
0500000US17173,17173,"Shelby County, Illinois",-,**
0500000US17177,17177,"Stephenson County, Illinois",-,**
0500000US17179,17179,"Tazewell County, Illinois","2,500-",***
0500000US17183,17183,"Vermilion County, Illinois",-,**
0500000US17195,17195,"Whiteside County, Illinois",-,**
0500000US17197,17197,"Will County, Illinois",45417,5686
0500000US17199,17199,"Williamson County, Illinois",25809,4513
0500000US17201,17201,"Winnebago County, Illinois",45423,15619
0500000US17203,17203,"Woodford County, Illinois",-,**
0500000US18001,18001,"Adams County, Indiana",-,**
0500000US18003,18003,"Allen County, Indiana",13224,4190
0500000US18011,18011,"Boone County, Indiana",-,**
0500000US18017,18017,"Cass County, Indiana",-,**
0500000US18021,18021,"Clay County, Indiana",-,**
0500000US18023,18023,"Clinton County, Indiana",-,**
0500000US18027,18027,"Daviess County, Indiana",-,**
0500000US18029,18029,"Dearborn County, Indiana",-,**
0500000US18031,18031,"Decatur County, Indiana",-,**
0500000US18033,18033,"DeKalb County, Indiana",-,**
0500000US18035,18035,"Delaware County, Indiana",13056,10394
0500000US18037,18037,"Dubois County, Indiana",-,**
0500000US18041,18041,"Fayette County, Indiana",-,**
0500000US18043,18043,"Floyd County, Indiana",-,**
0500000US18047,18047,"Franklin County, Indiana",-,**
0500000US18049,18049,"Fulton County, Indiana",-,**
0500000US18051,18051,"Gibson County, Indiana",-,**
0500000US18055,18055,"Greene County, Indiana",-,**
0500000US18057,18057,"Hamilton County, Indiana",-,**
0500000US18059,18059,"Hancock County, Indiana",-,**
0500000US18061,18061,"Harrison County, Indiana",-,**
0500000US18063,18063,"Hendricks County, Indiana",-,**
0500000US18067,18067,"Howard County, Indiana",-,**
0500000US18069,18069,"Huntington County, Indiana",-,**
0500000US18071,18071,"Jackson County, Indiana",-,**
0500000US18073,18073,"Jasper County, Indiana",-,**
0500000US18075,18075,"Jay County, Indiana",-,**
0500000US18077,18077,"Jefferson County, Indiana",-,**
0500000US18079,18079,"Jennings County, Indiana",-,**
0500000US18081,18081,"Johnson County, Indiana","2,500-",***
0500000US18083,18083,"Knox County, Indiana",-,**
0500000US18085,18085,"Kosciusko County, Indiana",-,**
0500000US18087,18087,"LaGrange County, Indiana",-,**
0500000US18089,18089,"Lake County, Indiana",10970,1666
0500000US18091,18091,"LaPorte County, Indiana",-,**
0500000US18093,18093,"Lawrence County, Indiana",27500,17840
0500000US18097,18097,"Marion County, Indiana",67188,38205
0500000US18099,18099,"Marshall County, Indiana",-,**
0500000US18103,18103,"Miami County, Indiana",-,**
0500000US18107,18107,"Montgomery County, Indiana",-,**
0500000US18113,18113,"Noble County, Indiana",-,**
0500000US18119,18119,"Owen County, Indiana",-,**
0500000US18127,18127,"Porter County, Indiana",-,**
0500000US18129,18129,"Posey County, Indiana",-,**
0500000US18133,18133,"Putnam County, Indiana",-,**
0500000US18135,18135,"Randolph County, Indiana",-,**
0500000US18137,18137,"Ripley County, Indiana",-,**
0500000US18141,18141,"St. Joseph County, Indiana",25750,19200
0500000US18143,18143,"Scott County, Indiana",-,**
0500000US18145,18145,"Shelby County, Indiana",-,**
0500000US18147,18147,"Spencer County, Indiana",-,**
0500000US18149,18149,"Starke County, Indiana",32308,6706
0500000US18151,18151,"Steuben County, Indiana",-,**
0500000US18153,18153,"Sullivan County, Indiana",-,**
0500000US18157,18157,"Tippecanoe County, Indiana",-,**
0500000US18167,18167,"Vigo County, Indiana",-,**
0500000US18169,18169,"Wabash County, Indiana",-,**
0500000US18173,18173,"Warrick County, Indiana",-,**
0500000US18175,18175,"Washington County, Indiana",-,**
0500000US18177,18177,"Wayne County, Indiana",-,**
0500000US18179,18179,"Wells County, Indiana",-,**
0500000US18181,18181,"White County, Indiana",12500,9756
0500000US18183,18183,"Whitley County, Indiana",-,**
0500000US19011,19011,"Benton County, Iowa",-,**
0500000US19013,19013,"Black Hawk County, Iowa",42688,34279
0500000US19015,19015,"Boone County, Iowa","2,500-",***
0500000US19017,19017,"Bremer County, Iowa",-,**
0500000US19019,19019,"Buchanan County, Iowa",-,**
0500000US19027,19027,"Carroll County, Iowa",-,**
0500000US19033,19033,"Cerro Gordo County, Iowa",-,**
0500000US19045,19045,"Clinton County, Iowa",-,**
0500000US19049,19049,"Dallas County, Iowa",-,**
0500000US19057,19057,"Des Moines County, Iowa",-,**
0500000US19061,19061,"Dubuque County, Iowa",-,**
0500000US19065,19065,"Fayette County, Iowa",-,**
0500000US19087,19087,"Henry County, Iowa",-,**
0500000US19097,19097,"Jackson County, Iowa",-,**
0500000US19099,19099,"Jasper County, Iowa",-,**
0500000US19103,19103,"Johnson County, Iowa",-,**
0500000US19105,19105,"Jones County, Iowa",-,**
0500000US19111,19111,"Lee County, Iowa",-,**
0500000US19113,19113,"Linn County, Iowa",-,**
0500000US19123,19123,"Mahaska County, Iowa",-,**
0500000US19125,19125,"Marion County, Iowa",-,**
0500000US19127,19127,"Marshall County, Iowa",-,**
0500000US19139,19139,"Muscatine County, Iowa","2,500-",***
0500000US19149,19149,"Plymouth County, Iowa",-,**
0500000US19155,19155,"Pottawattamie County, Iowa",-,**
0500000US19167,19167,"Sioux County, Iowa",-,**
0500000US19179,19179,"Wapello County, Iowa",-,**
0500000US19181,19181,"Warren County, Iowa",-,**
0500000US19183,19183,"Washington County, Iowa",-,**
0500000US19187,19187,"Webster County, Iowa",-,**
0500000US19191,19191,"Winneshiek County, Iowa",-,**
0500000US19193,19193,"Woodbury County, Iowa",20843,12720
0500000US20009,20009,"Barton County, Kansas",30600,4404
0500000US20015,20015,"Butler County, Kansas",-,**
0500000US20037,20037,"Crawford County, Kansas",-,**
0500000US20051,20051,"Ellis County, Kansas",-,**
0500000US20055,20055,"Finney County, Kansas",10900,1433
0500000US20057,20057,"Ford County, Kansas",-,**
0500000US20059,20059,"Franklin County, Kansas",41042,31186
0500000US20061,20061,"Geary County, Kansas",-,**
0500000US20079,20079,"Harvey County, Kansas",32917,18695
0500000US20091,20091,"Johnson County, Kansas",42733,7088
0500000US20111,20111,"Lyon County, Kansas",-,**
0500000US20121,20121,"Miami County, Kansas",-,**
0500000US20161,20161,"Riley County, Kansas",-,**
0500000US20169,20169,"Saline County, Kansas",-,**
0500000US20173,20173,"Sedgwick County, Kansas",30000,14905
0500000US20191,20191,"Sumner County, Kansas",30515,26710
0500000US21005,21005,"Anderson County, Kentucky",-,**
0500000US21009,21009,"Barren County, Kentucky",-,**
0500000US21013,21013,"Bell County, Kentucky",-,**
0500000US21015,21015,"Boone County, Kentucky",-,**
0500000US21019,21019,"Boyd County, Kentucky",-,**
0500000US21021,21021,"Boyle County, Kentucky",-,**
0500000US21029,21029,"Bullitt County, Kentucky",-,**
0500000US21035,21035,"Calloway County, Kentucky",-,**
0500000US21037,21037,"Campbell County, Kentucky",-,**
0500000US21043,21043,"Carter County, Kentucky",-,**
0500000US21047,21047,"Christian County, Kentucky",-,**
0500000US21049,21049,"Clark County, Kentucky","2,500-",***
0500000US21051,21051,"Clay County, Kentucky",-,**
0500000US21071,21071,"Floyd County, Kentucky",-,**
0500000US21073,21073,"Franklin County, Kentucky",25450,6162
0500000US21081,21081,"Grant County, Kentucky",-,**
0500000US21083,21083,"Graves County, Kentucky",-,**
0500000US21085,21085,"Grayson County, Kentucky",-,**
0500000US21089,21089,"Greenup County, Kentucky",-,**
0500000US21095,21095,"Harlan County, Kentucky",-,**
0500000US21101,21101,"Henderson County, Kentucky",-,**
0500000US21111,21111,"Jefferson County, Kentucky",14938,12478
0500000US21113,21113,"Jessamine County, Kentucky",-,**
0500000US21115,21115,"Johnson County, Kentucky",-,**
0500000US21117,21117,"Kenton County, Kentucky",33724,29676
0500000US21121,21121,"Knox County, Kentucky",-,**
0500000US21125,21125,"Laurel County, Kentucky",-,**
0500000US21133,21133,"Letcher County, Kentucky",9250,5353
0500000US21137,21137,"Lincoln County, Kentucky",-,**
0500000US21141,21141,"Logan County, Kentucky",-,**
0500000US21145,21145,"McCracken County, Kentucky",-,**
0500000US21157,21157,"Marshall County, Kentucky",-,**
0500000US21163,21163,"Meade County, Kentucky",-,**
0500000US21167,21167,"Mercer County, Kentucky",-,**
0500000US21173,21173,"Montgomery County, Kentucky",-,**
0500000US21177,21177,"Muhlenberg County, Kentucky",-,**
0500000US21179,21179,"Nelson County, Kentucky",-,**
0500000US21183,21183,"Ohio County, Kentucky",-,**
0500000US21185,21185,"Oldham County, Kentucky",-,**
0500000US21193,21193,"Perry County, Kentucky",-,**
0500000US21195,21195,"Pike County, Kentucky",-,**
0500000US21199,21199,"Pulaski County, Kentucky",25776,20837
0500000US21205,21205,"Rowan County, Kentucky",-,**
0500000US21209,21209,"Scott County, Kentucky",-,**
0500000US21211,21211,"Shelby County, Kentucky",-,**
0500000US21217,21217,"Taylor County, Kentucky",-,**
0500000US21227,21227,"Warren County, Kentucky",21250,12242
0500000US21231,21231,"Wayne County, Kentucky",-,**
0500000US21235,21235,"Whitley County, Kentucky",-,**
0500000US21239,21239,"Woodford County, Kentucky",-,**
0500000US22001,22001,"Acadia Parish, Louisiana",-,**
0500000US22005,22005,"Ascension Parish, Louisiana",-,**
0500000US22007,22007,"Assumption Parish, Louisiana",-,**
0500000US22009,22009,"Avoyelles Parish, Louisiana",53452,1659
0500000US22011,22011,"Beauregard Parish, Louisiana",47426,7587
0500000US22019,22019,"Calcasieu Parish, Louisiana",-,**
0500000US22031,22031,"De Soto Parish, Louisiana",-,**
0500000US22037,22037,"East Feliciana Parish, Louisiana",-,**
0500000US22039,22039,"Evangeline Parish, Louisiana",-,**
0500000US22041,22041,"Franklin Parish, Louisiana",-,**
0500000US22045,22045,"Iberia Parish, Louisiana",-,**
0500000US22047,22047,"Iberville Parish, Louisiana",-,**
0500000US22051,22051,"Jefferson Parish, Louisiana",37650,31019
0500000US22053,22053,"Jefferson Davis Parish, Louisiana",-,**
0500000US22055,22055,"Lafayette Parish, Louisiana",32668,32028
0500000US22061,22061,"Lincoln Parish, Louisiana",-,**
0500000US22063,22063,"Livingston Parish, Louisiana",-,**
0500000US22067,22067,"Morehouse Parish, Louisiana",-,**
0500000US22069,22069,"Natchitoches Parish, Louisiana",11250,9725
0500000US22071,22071,"Orleans Parish, Louisiana",13199,1628
