GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD36,"Estimate; Male: - Other: - With earnings: - $17,500 to $19,999"
HD02_VD36,"Margin of Error; Male: - Other: - With earnings: - $17,500 to $19,999"
HD01_VD37,"Estimate; Male: - Other: - With earnings: - $20,000 to $22,499"
HD02_VD37,"Margin of Error; Male: - Other: - With earnings: - $20,000 to $22,499"
HD01_VD38,"Estimate; Male: - Other: - With earnings: - $22,500 to $24,999"
HD02_VD38,"Margin of Error; Male: - Other: - With earnings: - $22,500 to $24,999"
HD01_VD39,"Estimate; Male: - Other: - With earnings: - $25,000 to $29,999"
HD02_VD39,"Margin of Error; Male: - Other: - With earnings: - $25,000 to $29,999"
HD01_VD40,"Estimate; Male: - Other: - With earnings: - $30,000 to $34,999"
HD02_VD40,"Margin of Error; Male: - Other: - With earnings: - $30,000 to $34,999"
HD01_VD41,"Estimate; Male: - Other: - With earnings: - $35,000 to $39,999"
HD02_VD41,"Margin of Error; Male: - Other: - With earnings: - $35,000 to $39,999"
HD01_VD42,"Estimate; Male: - Other: - With earnings: - $40,000 to $44,999"
HD02_VD42,"Margin of Error; Male: - Other: - With earnings: - $40,000 to $44,999"
HD01_VD43,"Estimate; Male: - Other: - With earnings: - $45,000 to $49,999"
HD02_VD43,"Margin of Error; Male: - Other: - With earnings: - $45,000 to $49,999"
HD01_VD44,"Estimate; Male: - Other: - With earnings: - $50,000 to $54,999"
HD02_VD44,"Margin of Error; Male: - Other: - With earnings: - $50,000 to $54,999"
HD01_VD45,"Estimate; Male: - Other: - With earnings: - $55,000 to $64,999"
HD02_VD45,"Margin of Error; Male: - Other: - With earnings: - $55,000 to $64,999"
HD01_VD46,"Estimate; Male: - Other: - With earnings: - $65,000 to $74,999"
HD02_VD46,"Margin of Error; Male: - Other: - With earnings: - $65,000 to $74,999"
HD01_VD47,"Estimate; Male: - Other: - With earnings: - $75,000 to $99,999"
HD02_VD47,"Margin of Error; Male: - Other: - With earnings: - $75,000 to $99,999"
HD01_VD48,"Estimate; Male: - Other: - With earnings: - $100,000 or more"
HD02_VD48,"Margin of Error; Male: - Other: - With earnings: - $100,000 or more"
HD01_VD49,Estimate; Female:
HD02_VD49,Margin of Error; Female:
HD01_VD50,"Estimate; Female: - Worked full-time, year-round in the past 12 months:"
HD02_VD50,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months:"
HD01_VD51,"Estimate; Female: - Worked full-time, year-round in the past 12 months: - No earnings"
HD02_VD51,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - No earnings"
HD01_VD52,"Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings:"
HD02_VD52,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings:"
HD01_VD53,"Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $1 to $2,499 or loss"
HD02_VD53,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $1 to $2,499 or loss"
HD01_VD54,"Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $2,500 to $4,999"
HD02_VD54,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $2,500 to $4,999"
HD01_VD55,"Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $5,000 to $7,499"
HD02_VD55,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $5,000 to $7,499"
HD01_VD56,"Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $7,500 to $9,999"
HD02_VD56,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $7,500 to $9,999"
HD01_VD57,"Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $10,000 to $12,499"
HD02_VD57,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $10,000 to $12,499"
HD01_VD58,"Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $12,500 to $14,999"
HD02_VD58,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $12,500 to $14,999"
HD01_VD59,"Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $15,000 to $17,499"
HD02_VD59,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $15,000 to $17,499"
HD01_VD60,"Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $17,500 to $19,999"
HD02_VD60,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $17,500 to $19,999"
HD01_VD61,"Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $20,000 to $22,499"
HD02_VD61,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $20,000 to $22,499"
HD01_VD62,"Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $22,500 to $24,999"
HD02_VD62,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $22,500 to $24,999"
HD01_VD63,"Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $25,000 to $29,999"
HD02_VD63,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $25,000 to $29,999"
HD01_VD64,"Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $30,000 to $34,999"
HD02_VD64,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $30,000 to $34,999"
HD01_VD65,"Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $35,000 to $39,999"
HD02_VD65,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $35,000 to $39,999"
HD01_VD66,"Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $40,000 to $44,999"
HD02_VD66,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $40,000 to $44,999"
HD01_VD67,"Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $45,000 to $49,999"
HD02_VD67,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $45,000 to $49,999"
HD01_VD68,"Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $50,000 to $54,999"
HD02_VD68,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $50,000 to $54,999"
HD01_VD69,"Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $55,000 to $64,999"
HD02_VD69,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $55,000 to $64,999"
HD01_VD70,"Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $65,000 to $74,999"
HD02_VD70,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $65,000 to $74,999"
HD01_VD71,"Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $75,000 to $99,999"
HD02_VD71,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $75,000 to $99,999"
HD01_VD72,"Estimate; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $100,000 or more"
HD02_VD72,"Margin of Error; Female: - Worked full-time, year-round in the past 12 months: - With earnings: - $100,000 or more"
HD01_VD73,Estimate; Female: - Other:
HD02_VD73,Margin of Error; Female: - Other:
HD01_VD74,Estimate; Female: - Other: - No earnings
HD02_VD74,Margin of Error; Female: - Other: - No earnings
HD01_VD75,Estimate; Female: - Other: - With earnings:
HD02_VD75,Margin of Error; Female: - Other: - With earnings:
HD01_VD76,"Estimate; Female: - Other: - With earnings: - $1 to $2,499 or loss"
HD02_VD76,"Margin of Error; Female: - Other: - With earnings: - $1 to $2,499 or loss"
HD01_VD77,"Estimate; Female: - Other: - With earnings: - $2,500 to $4,999"
HD02_VD77,"Margin of Error; Female: - Other: - With earnings: - $2,500 to $4,999"
HD01_VD78,"Estimate; Female: - Other: - With earnings: - $5,000 to $7,499"
HD02_VD78,"Margin of Error; Female: - Other: - With earnings: - $5,000 to $7,499"
HD01_VD79,"Estimate; Female: - Other: - With earnings: - $7,500 to $9,999"
HD02_VD79,"Margin of Error; Female: - Other: - With earnings: - $7,500 to $9,999"
HD01_VD80,"Estimate; Female: - Other: - With earnings: - $10,000 to $12,499"
HD02_VD80,"Margin of Error; Female: - Other: - With earnings: - $10,000 to $12,499"
HD01_VD81,"Estimate; Female: - Other: - With earnings: - $12,500 to $14,999"
HD02_VD81,"Margin of Error; Female: - Other: - With earnings: - $12,500 to $14,999"
HD01_VD82,"Estimate; Female: - Other: - With earnings: - $15,000 to $17,499"
HD02_VD82,"Margin of Error; Female: - Other: - With earnings: - $15,000 to $17,499"
HD01_VD83,"Estimate; Female: - Other: - With earnings: - $17,500 to $19,999"
HD02_VD83,"Margin of Error; Female: - Other: - With earnings: - $17,500 to $19,999"
HD01_VD84,"Estimate; Female: - Other: - With earnings: - $20,000 to $22,499"
HD02_VD84,"Margin of Error; Female: - Other: - With earnings: - $20,000 to $22,499"
HD01_VD85,"Estimate; Female: - Other: - With earnings: - $22,500 to $24,999"
HD02_VD85,"Margin of Error; Female: - Other: - With earnings: - $22,500 to $24,999"
HD01_VD86,"Estimate; Female: - Other: - With earnings: - $25,000 to $29,999"
HD02_VD86,"Margin of Error; Female: - Other: - With earnings: - $25,000 to $29,999"
HD01_VD87,"Estimate; Female: - Other: - With earnings: - $30,000 to $34,999"
HD02_VD87,"Margin of Error; Female: - Other: - With earnings: - $30,000 to $34,999"
HD01_VD88,"Estimate; Female: - Other: - With earnings: - $35,000 to $39,999"
HD02_VD88,"Margin of Error; Female: - Other: - With earnings: - $35,000 to $39,999"
HD01_VD89,"Estimate; Female: - Other: - With earnings: - $40,000 to $44,999"
HD02_VD89,"Margin of Error; Female: - Other: - With earnings: - $40,000 to $44,999"
HD01_VD90,"Estimate; Female: - Other: - With earnings: - $45,000 to $49,999"
HD02_VD90,"Margin of Error; Female: - Other: - With earnings: - $45,000 to $49,999"
HD01_VD91,"Estimate; Female: - Other: - With earnings: - $50,000 to $54,999"
HD02_VD91,"Margin of Error; Female: - Other: - With earnings: - $50,000 to $54,999"
HD01_VD92,"Estimate; Female: - Other: - With earnings: - $55,000 to $64,999"
HD02_VD92,"Margin of Error; Female: - Other: - With earnings: - $55,000 to $64,999"
HD01_VD93,"Estimate; Female: - Other: - With earnings: - $65,000 to $74,999"
HD02_VD93,"Margin of Error; Female: - Other: - With earnings: - $65,000 to $74,999"
HD01_VD94,"Estimate; Female: - Other: - With earnings: - $75,000 to $99,999"
HD02_VD94,"Margin of Error; Female: - Other: - With earnings: - $75,000 to $99,999"
HD01_VD95,"Estimate; Female: - Other: - With earnings: - $100,000 or more"
HD02_VD95,"Margin of Error; Female: - Other: - With earnings: - $100,000 or more"
