GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_MOE_VC13,"Total; Margin of Error; Civilian employed population 16 years and over - Other services, except public administration"
HC02_EST_VC13,"Private for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Other services, except public administration"
HC02_MOE_VC13,"Private for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Other services, except public administration"
HC03_EST_VC13,"Self-employed in own incorporated business workers; Estimate; Civilian employed population 16 years and over - Other services, except public administration"
HC03_MOE_VC13,"Self-employed in own incorporated business workers; Margin of Error; Civilian employed population 16 years and over - Other services, except public administration"
HC04_EST_VC13,"Private not-for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Other services, except public administration"
HC04_MOE_VC13,"Private not-for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Other services, except public administration"
HC05_EST_VC13,"Local, state, and federal government workers; Estimate; Civilian employed population 16 years and over - Other services, except public administration"
HC05_MOE_VC13,"Local, state, and federal government workers; Margin of Error; Civilian employed population 16 years and over - Other services, except public administration"
HC06_EST_VC13,"Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Civilian employed population 16 years and over - Other services, except public administration"
HC06_MOE_VC13,"Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Civilian employed population 16 years and over - Other services, except public administration"
HC01_EST_VC14,Total; Estimate; Civilian employed population 16 years and over - Public administration
HC01_MOE_VC14,Total; Margin of Error; Civilian employed population 16 years and over - Public administration
HC02_EST_VC14,Private for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Public administration
HC02_MOE_VC14,Private for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Public administration
HC03_EST_VC14,Self-employed in own incorporated business workers; Estimate; Civilian employed population 16 years and over - Public administration
HC03_MOE_VC14,Self-employed in own incorporated business workers; Margin of Error; Civilian employed population 16 years and over - Public administration
HC04_EST_VC14,Private not-for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - Public administration
HC04_MOE_VC14,Private not-for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - Public administration
HC05_EST_VC14,"Local, state, and federal government workers; Estimate; Civilian employed population 16 years and over - Public administration"
HC05_MOE_VC14,"Local, state, and federal government workers; Margin of Error; Civilian employed population 16 years and over - Public administration"
HC06_EST_VC14,Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Civilian employed population 16 years and over - Public administration
HC06_MOE_VC14,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Civilian employed population 16 years and over - Public administration
HC01_EST_VC16,Total; Estimate; Civilian employed population 16 years and over - PERCENT IMPUTED - Industry
HC01_MOE_VC16,Total; Margin of Error; Civilian employed population 16 years and over - PERCENT IMPUTED - Industry
HC02_EST_VC16,Private for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - PERCENT IMPUTED - Industry
HC02_MOE_VC16,Private for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - PERCENT IMPUTED - Industry
HC03_EST_VC16,Self-employed in own incorporated business workers; Estimate; Civilian employed population 16 years and over - PERCENT IMPUTED - Industry
HC03_MOE_VC16,Self-employed in own incorporated business workers; Margin of Error; Civilian employed population 16 years and over - PERCENT IMPUTED - Industry
HC04_EST_VC16,Private not-for-profit wage and salary workers; Estimate; Civilian employed population 16 years and over - PERCENT IMPUTED - Industry
HC04_MOE_VC16,Private not-for-profit wage and salary workers; Margin of Error; Civilian employed population 16 years and over - PERCENT IMPUTED - Industry
HC05_EST_VC16,"Local, state, and federal government workers; Estimate; Civilian employed population 16 years and over - PERCENT IMPUTED - Industry"
HC05_MOE_VC16,"Local, state, and federal government workers; Margin of Error; Civilian employed population 16 years and over - PERCENT IMPUTED - Industry"
HC06_EST_VC16,Self-employed in own not incorporated business workers and unpaid family workers; Estimate; Civilian employed population 16 years and over - PERCENT IMPUTED - Industry
HC06_MOE_VC16,Self-employed in own not incorporated business workers and unpaid family workers; Margin of Error; Civilian employed population 16 years and over - PERCENT IMPUTED - Industry
