GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27
0500000US09003,09003,"Hartford County, Connecticut",8937,1707,4089,926,3883,895,2366,761,0,277,2366,761,1902,632,464,408,1517,556,206,186,0,277,0,277,0,277,206,186,4848,1287,4584,1228,3412,1013,0,277,3412,1013,3002,896,410,302,1172,493,264,169,85,100,85,100,0,277,179,148
0500000US09009,09009,"New Haven County, Connecticut",12099,2018,5809,1208,5242,1133,3514,931,0,277,3514,931,3250,872,264,184,1728,777,567,363,0,277,0,277,0,277,567,363,6290,1204,5943,1207,4543,1085,0,277,4543,1085,3983,1060,560,251,1400,623,347,258,125,129,125,129,0,277,222,229
0500000US12009,12009,"Brevard County, Florida",8295,1387,2999,740,2601,661,2207,674,0,305,2207,674,1977,667,230,197,394,313,398,257,37,62,37,62,0,305,361,221,5296,1192,5035,1234,2005,735,0,305,2005,735,1778,692,227,188,3030,1024,261,192,0,305,0,305,0,305,261,192
0500000US12011,12011,"Broward County, Florida",27335,4337,13923,2745,13416,2767,9905,2159,49,80,9856,2154,8145,1793,1711,819,3511,1556,507,303,54,86,54,86,0,305,453,293,13412,2298,12488,2242,9155,1776,0,305,9155,1776,8220,1643,935,460,3333,1194,924,547,266,397,266,397,0,305,658,372
0500000US12031,12031,"Duval County, Florida",8369,1832,3485,1183,3076,1085,2547,1025,33,58,2514,1004,2174,859,340,345,529,385,409,292,42,66,42,66,0,305,367,286,4884,1103,4366,1024,3415,859,65,107,3350,876,3208,856,142,137,951,516,518,339,162,179,162,179,0,305,356,233
0500000US12033,12033,"Escambia County, Florida",6287,1383,2988,683,2790,681,2168,625,454,281,1714,586,1320,561,394,395,622,446,198,147,0,305,0,305,0,305,198,147,3299,1110,2641,916,1391,700,341,193,1050,682,581,312,469,554,1250,602,658,359,26,46,0,305,26,46,632,362
0500000US12057,12057,"Hillsborough County, Florida",14277,2227,7321,1463,6461,1363,5078,1116,283,352,4795,1022,4278,995,517,327,1383,576,860,473,335,269,267,308,68,113,525,370,6956,1299,6368,1302,4173,1101,0,305,4173,1101,3734,988,439,310,2195,874,588,269,0,305,0,305,0,305,588,269
0500000US12086,12086,"Miami-Dade County, Florida",27653,3344,12673,2027,10452,1746,8658,1562,347,356,8311,1475,6265,1069,2046,1205,1794,541,2221,727,464,329,464,329,0,305,1757,636,14980,2034,11792,1881,8488,1549,0,305,8488,1549,7460,1443,1028,491,3304,887,3188,858,742,405,742,405,0,305,2446,690
0500000US12095,12095,"Orange County, Florida",13273,2133,6469,1186,5858,1073,5029,936,0,305,5029,936,3958,841,1071,478,829,369,611,411,92,112,46,77,46,75,519,391,6804,1336,6045,1230,4301,1019,0,305,4301,1019,3602,974,699,379,1744,693,759,368,160,129,160,129,0,305,599,344
0500000US12099,12099,"Palm Beach County, Florida",11545,1933,5931,1452,5086,1303,4359,1171,0,305,4359,1171,3754,1082,605,379,727,431,845,484,386,266,386,266,0,305,459,378,5614,1221,4828,1058,3460,765,0,305,3460,765,3051,709,409,347,1368,701,786,494,171,169,171,169,0,305,615,471
0500000US12103,12103,"Pinellas County, Florida",10148,1580,4446,1063,3959,1031,3292,1024,0,305,3292,1024,2695,888,597,376,667,360,487,262,101,168,101,168,0,305,386,205,5702,883,4878,869,3498,779,0,305,3498,779,3212,757,286,216,1380,521,824,379,0,305,0,305,0,305,824,379
0500000US15001,15001,"Hawaii County, Hawaii",30572,2879,14801,1724,13840,1672,10137,1365,0,275,10137,1365,7977,1129,2160,700,3703,1000,961,348,114,83,114,83,0,275,847,337,15771,1705,14583,1704,11386,1592,0,275,11386,1592,9843,1437,1543,673,3197,723,1188,395,396,220,351,211,45,70,792,300
0500000US15003,15003,"Honolulu County, Hawaii",137000,7094,70058,4489,63951,4439,50806,3704,2533,1017,48273,3679,43296,3402,4977,1189,13145,1728,6107,942,1454,567,1407,561,47,76,4653,800,66942,3815,59656,3525,43397,3244,1482,856,41915,3206,39564,3118,2351,766,16259,1718,7286,904,1295,500,1225,493,70,114,5991,978
0500000US15009,15009,"Maui County, Hawaii",23954,3476,12147,2215,11330,2077,9955,2038,0,275,9955,2038,9016,1958,939,451,1375,744,817,402,67,92,67,92,0,275,750,366,11807,2028,11313,2022,8994,1679,0,275,8994,1679,8586,1679,408,264,2319,950,494,256,159,167,159,167,0,275,335,200
0500000US17031,17031,"Cook County, Illinois",45336,3807,22012,2758,20773,2715,16794,2384,0,269,16794,2384,14584,2152,2210,877,3979,978,1239,432,291,217,229,187,62,103,948,346,23324,2044,21490,2066,15639,1759,0,269,15639,1759,13395,1694,2244,699,5851,1303,1834,571,518,250,463,242,55,90,1316,453
0500000US17043,17043,"DuPage County, Illinois",9013,1861,3874,936,3395,896,2795,814,0,269,2795,814,2700,834,95,116,600,332,479,291,219,222,219,222,0,269,260,251,5139,1289,4677,1200,2956,953,0,269,2956,953,2865,930,91,97,1721,742,462,288,197,190,197,190,0,269,265,229
0500000US18097,18097,"Marion County, Indiana",10092,2075,5553,1226,5216,1226,3611,966,20,36,3591,960,2711,858,880,531,1605,692,337,282,127,93,95,78,32,54,210,262,4539,1556,3993,1508,3422,1325,0,269,3422,1325,2890,1203,532,465,571,311,546,402,40,68,40,68,0,269,506,394
0500000US20173,20173,"Sedgwick County, Kansas",8842,1800,4361,1126,4180,1120,2946,863,73,124,2873,849,2346,745,527,374,1234,688,181,128,48,57,48,57,0,244,133,118,4481,1349,4277,1338,2755,1123,58,98,2697,1122,2344,1025,353,354,1522,713,204,123,17,28,17,28,0,244,187,124
0500000US21111,21111,"Jefferson County, Kentucky",6703,1422,2578,712,2289,703,1853,587,0,273,1853,587,1547,601,306,306,436,309,289,180,112,122,112,122,0,273,177,136,4125,1052,3692,1049,3125,938,0,273,3125,938,2456,803,669,470,567,359,433,292,108,126,108,126,0,273,325,242
0500000US24031,24031,"Montgomery County, Maryland",14357,2712,6507,1400,5972,1222,4847,1221,45,75,4802,1214,4546,1120,256,202,1125,494,535,416,318,350,269,342,49,79,217,206,7850,1873,7158,1775,5136,1518,0,285,5136,1518,4807,1536,329,304,2022,639,692,404,216,270,216,270,0,285,476,302
0500000US24033,24033,"Prince George's County, Maryland",11987,1979,5987,1392,5807,1386,4666,1252,65,109,4601,1260,4066,1038,535,492,1141,581,180,164,0,285,0,285,0,285,180,164,6000,1068,5663,1034,4166,884,0,285,4166,884,3854,878,312,247,1497,632,337,225,0,285,0,285,0,285,337,225
0500000US25005,25005,"Bristol County, Massachusetts",6730,1363,3468,880,3305,877,2576,791,112,182,2464,768,1929,691,535,480,729,328,163,114,30,48,0,283,30,48,133,122,3262,946,3014,947,2148,766,0,283,2148,766,1835,667,313,310,866,495,248,182,85,84,85,84,0,283,163,156
0500000US25017,25017,"Middlesex County, Massachusetts",14965,2018,7064,1357,6482,1302,4934,1094,0,283,4934,1094,4166,982,768,454,1548,560,582,329,93,148,93,148,0,283,489,307,7901,1341,7290,1261,5201,1117,0,283,5201,1117,4509,978,692,437,2089,697,611,371,68,85,68,85,0,283,543,377
0500000US26049,26049,"Genesee County, Michigan",4940,1261,1639,600,1558,606,893,418,0,244,893,418,638,359,255,206,665,344,81,90,0,244,0,244,0,244,81,90,3301,988,3039,987,2321,828,0,244,2321,828,1959,790,362,289,718,471,262,174,0,244,0,244,0,244,262,174
0500000US26099,26099,"Macomb County, Michigan",6891,1264,3411,791,3217,713,2174,579,0,244,2174,579,1868,508,306,260,1043,505,194,157,0,244,0,244,0,244,194,157,3480,777,3059,755,1820,635,0,244,1820,635,1404,534,416,259,1239,562,421,223,35,61,35,61,0,244,386,230
0500000US26125,26125,"Oakland County, Michigan",10546,2037,5108,1301,4977,1309,3689,998,0,244,3689,998,3002,773,687,641,1288,571,131,128,0,244,0,244,0,244,131,128,5438,1126,4915,1044,3186,812,0,244,3186,812,2711,739,475,342,1729,760,523,262,72,80,72,80,0,244,451,243
0500000US26163,26163,"Wayne County, Michigan",17734,2999,9194,1802,8545,1696,5497,1216,0,244,5497,1216,4154,1238,1343,536,3048,1138,649,382,104,126,62,107,42,69,545,339,8540,1722,7753,1627,4890,970,0,244,4890,970,4380,872,510,339,2863,1065,787,388,49,80,49,80,0,244,738,379
0500000US27053,27053,"Hennepin County, Minnesota",14542,2183,6941,1377,6830,1391,5165,1346,0,213,5165,1346,3912,1090,1253,734,1665,506,111,117,70,96,70,96,0,213,41,67,7601,1428,7085,1400,4487,1061,0,213,4487,1061,3881,988,606,299,2598,783,516,319,0,213,0,213,0,213,516,319
0500000US29095,29095,"Jackson County, Missouri",10562,2080,5760,1528,5638,1529,4411,1289,0,259,4411,1289,4154,1196,257,225,1227,806,122,118,0,259,0,259,0,259,122,118,4802,926,4509,886,3009,779,0,259,3009,779,2671,760,338,196,1500,462,293,272,0,259,0,259,0,259,293,272
0500000US29189,29189,"St. Louis County, Missouri",9049,1297,4151,1093,3799,1091,3144,1061,0,259,3144,1061,2606,1021,538,342,655,334,352,224,112,138,112,138,0,259,240,175,4898,1068,4335,1005,3236,910,0,259,3236,910,3195,897,41,70,1099,484,563,323,60,90,60,90,0,259,503,323
0500000US32003,32003,"Clark County, Nevada",36672,3691,17860,1772,16856,1738,13494,1762,222,217,13272,1790,11858,1764,1414,645,3362,832,1004,429,336,313,246,277,90,148,668,317,18812,2481,17004,2391,11474,1868,229,312,11245,1860,9136,1721,2109,622,5530,1115,1808,757,310,231,207,195,103,130,1498,693
0500000US34013,34013,"Essex County, New Jersey",22777,4242,12899,2988,12169,2902,10287,2463,0,279,10287,2463,8772,2256,1515,789,1882,943,730,505,221,269,154,249,67,116,509,375,9878,2331,8934,2329,6682,1853,0,279,6682,1853,5446,1591,1236,623,2252,815,944,521,0,279,0,279,0,279,944,521
0500000US34017,34017,"Hudson County, New Jersey",10269,2470,5507,1975,5311,1945,4374,1707,0,279,4374,1707,3475,1508,899,480,937,526,196,161,54,91,0,279,54,91,142,131,4762,1194,4262,1197,3069,1076,0,279,3069,1076,2602,917,467,397,1193,479,500,288,38,62,38,62,0,279,462,279
0500000US34023,34023,"Middlesex County, New Jersey",8134,1859,3896,950,3665,925,2752,795,0,279,2752,795,2229,706,523,370,913,455,231,202,37,68,0,279,37,68,194,187,4238,1308,3629,1062,2665,1009,0,279,2665,1009,2359,941,306,206,964,470,609,596,0,279,0,279,0,279,609,596
0500000US35001,35001,"Bernalillo County, New Mexico",13124,2269,6680,1508,6083,1475,4654,1151,162,252,4492,1195,3715,979,777,560,1429,731,597,316,113,131,113,131,0,283,484,296,6444,1390,5956,1301,4343,953,0,283,4343,953,4201,917,142,218,1613,904,488,305,50,83,50,83,0,283,438,303
0500000US36005,36005,"Bronx County, New York",26550,3458,10400,2149,9371,2081,5991,1703,0,277,5991,1703,4563,1480,1428,862,3380,1091,1029,485,229,213,188,183,41,70,800,367,16150,2017,14733,1913,8372,1503,0,277,8372,1503,6621,1384,1751,912,6361,1346,1417,480,95,108,95,108,0,277,1322,463
0500000US36029,36029,"Erie County, New York",7117,1270,3767,877,3478,829,2219,586,0,277,2219,586,1673,513,546,364,1259,581,289,203,105,127,105,127,0,277,184,167,3350,720,2788,653,1349,510,0,277,1349,510,1177,495,172,169,1439,499,562,294,54,91,54,91,0,277,508,285
0500000US36047,36047,"Kings County, New York",24099,3133,12209,1863,11250,1783,8587,1536,106,126,8481,1545,7348,1382,1133,504,2663,905,959,353,404,247,404,247,0,277,555,262,11890,2003,10641,1872,7249,1565,44,73,7205,1562,6258,1487,947,559,3392,944,1249,416,185,177,124,148,61,100,1064,398
0500000US36055,36055,"Monroe County, New York",5873,1423,2561,955,2398,937,1524,735,0,277,1524,735,1242,678,282,287,874,528,163,141,0,277,0,277,0,277,163,141,3312,1057,3109,1044,1794,668,0,277,1794,668,1333,576,461,359,1315,685,203,151,0,277,0,277,0,277,203,151
0500000US36061,36061,"New York County, New York",38209,5296,18593,3106,17002,3176,12465,2742,180,306,12285,2718,10190,2293,2095,991,4537,1522,1591,675,510,520,510,520,0,277,1081,491,19616,3147,16344,2758,11635,2195,0,277,11635,2195,9919,2105,1716,835,4709,1204,3272,1357,473,325,473,325,0,277,2799,1279
0500000US36081,36081,"Queens County, New York",38493,4214,17532,2323,15569,2164,13211,1951,0,277,13211,1951,11412,1766,1799,623,2358,667,1963,635,539,277,502,269,37,60,1424,559,20961,2651,18355,2433,12002,1850,0,277,12002,1850,10298,1609,1704,728,6353,1545,2606,686,408,266,351,246,57,94,2198,671
0500000US36103,36103,"Suffolk County, New York",12887,2338,5907,1448,5653,1398,4002,1364,0,277,4002,1364,3417,1123,585,437,1651,557,254,318,0,277,0,277,0,277,254,318,6980,1641,5987,1481,4213,1060,0,277,4213,1060,3864,1044,349,311,1774,882,993,439,262,244,262,244,0,277,731,375
0500000US36119,36119,"Westchester County, New York",10464,2310,5291,1411,4978,1321,3758,1119,0,277,3758,1119,3664,1115,94,107,1220,561,313,233,113,175,113,175,0,277,200,164,5173,1274,4402,1136,2897,767,0,277,2897,767,2550,742,347,266,1505,731,771,480,37,63,37,63,0,277,734,469
0500000US37051,37051,"Cumberland County, North Carolina",11046,2320,5575,1537,5405,1504,4765,1550,2058,939,2707,1391,2231,1331,476,373,640,395,170,179,0,287,0,287,0,287,170,179,5471,1576,5287,1477,3363,1293,477,389,2886,1193,2271,946,615,555,1924,956,184,239,0,287,0,287,0,287,184,239
0500000US39035,39035,"Cuyahoga County, Ohio",9607,1446,4215,753,3618,748,2556,766,103,178,2453,752,1938,713,515,282,1062,494,597,350,58,93,0,267,58,93,539,342,5392,1176,4943,1095,2944,931,0,267,2944,931,2457,771,487,382,1999,635,449,257,0,267,0,267,0,267,449,257
0500000US39049,39049,"Franklin County, Ohio",12977,1815,5711,1002,5570,1004,3924,916,0,267,3924,916,3533,852,391,372,1646,618,141,137,0,267,0,267,0,267,141,137,7266,1280,7078,1291,5219,1221,0,267,5219,1221,4595,1164,624,323,1859,650,188,147,0,267,0,267,0,267,188,147
0500000US39151,39151,"Stark County, Ohio",3150,971,1246,622,1078,561,818,473,0,267,818,473,536,426,282,240,260,237,168,156,0,267,0,267,0,267,168,156,1904,651,1656,632,863,479,0,267,863,479,422,303,441,384,793,396,248,190,0,267,0,267,0,267,248,190
0500000US40109,40109,"Oklahoma County, Oklahoma",25335,2935,12925,2030,12000,1962,9573,1703,574,547,8999,1717,8387,1642,612,336,2427,756,925,363,74,97,74,97,0,251,851,357,12410,1672,11439,1568,6863,1479,0,251,6863,1479,5898,1263,965,505,4576,1216,971,341,70,110,70,110,0,251,901,325
0500000US40143,40143,"Tulsa County, Oklahoma",21385,2140,10018,1141,9494,1109,7448,1060,0,251,7448,1060,6581,1098,867,431,2046,773,524,204,167,141,167,141,0,251,357,151,11367,1609,9673,1578,7127,1258,0,251,7127,1258,6182,1131,945,533,2546,915,1694,344,228,231,180,215,48,79,1466,341
0500000US41039,41039,"Lane County, Oregon",8644,1684,4202,1026,3896,1004,2882,916,0,275,2882,916,2387,901,495,299,1014,476,306,197,0,275,0,275,0,275,306,197,4442,1005,3919,940,1779,755,0,275,1779,755,1661,710,118,154,2140,726,523,269,91,144,91,144,0,275,432,257
0500000US41051,41051,"Multnomah County, Oregon",17345,2173,8353,1267,7897,1309,6192,1150,0,275,6192,1150,5081,1109,1111,573,1705,626,456,329,247,286,182,259,65,113,209,166,8992,1427,8285,1364,7082,1265,0,275,7082,1265,5971,1159,1111,543,1203,483,707,374,142,148,89,108,53,97,565,368
