GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39
0500000US06001,06001,"Alameda County, California",252678,843,129015,659,60076,2794,0,197,60076,2794,1176,646,7004,1576,13974,1939,17936,2336,11318,1440,8668,1437,68939,2857,29610,2218,39329,2677,15754,1932,11035,1559,5541,1277,4427,1087,1644,744,928,443,123663,663,39905,2474,0,197,39905,2474,1116,430,7408,1482,8725,1591,10508,1523,7300,1266,4848,836,83758,2641,49769,2925,33989,2320,17395,1927,8870,1421,3082,804,2641,708,1489,589,512,425
0500000US06007,06007,"Butte County, California",23346,279,11963,196,4235,756,0,197,4235,756,127,190,662,272,1396,752,1008,444,874,507,168,143,7728,784,2873,598,4855,911,3214,754,773,387,558,318,278,224,32,57,0,197,11383,220,2492,532,0,197,2492,532,252,198,582,328,852,376,563,337,121,129,122,159,8891,601,5130,937,3761,717,2620,656,643,329,373,237,93,120,0,197,32,57
0500000US06013,06013,"Contra Costa County, California",188292,987,94246,718,43674,2505,0,197,43674,2505,566,453,5741,1569,10203,1911,10941,1681,8177,1706,8046,1425,50572,2457,22234,2155,28338,2490,11760,2029,7155,1570,3224,960,4041,1244,1420,678,738,437,94046,690,25351,2293,0,197,25351,2293,406,263,4141,1196,5898,1347,6981,1337,4170,1127,3755,1041,68695,2333,41769,3015,26926,2610,12916,1718,7461,1478,3567,985,1563,746,748,516,671,337
0500000US06017,06017,"El Dorado County, California",15418,238,7761,319,2537,718,0,197,2537,718,62,102,402,264,829,451,957,490,61,74,226,159,5224,749,2256,627,2968,766,1427,728,845,563,494,305,111,142,53,87,38,67,7657,343,2171,584,0,197,2171,584,0,197,417,258,383,256,662,365,220,238,489,306,5486,659,3224,769,2262,629,803,374,1244,517,187,201,28,50,0,197,0,197
0500000US06019,06019,"Fresno County, California",329844,1345,167246,967,65740,2970,0,197,65740,2970,2175,780,14401,2219,16770,2051,18904,2237,8880,1560,4610,1213,101506,3240,47808,2775,53698,3348,27908,2242,16372,2780,5211,1193,2309,756,1258,628,640,379,162598,774,39549,2985,0,197,39549,2985,1970,727,8997,1586,9923,1604,10567,1682,5717,1358,2375,791,123049,3051,76339,3636,46710,3156,26837,2325,13909,1784,2924,773,1940,785,669,397,431,321
0500000US06025,06025,"Imperial County, California",104153,701,51161,468,16598,1563,0,197,16598,1563,904,533,1665,625,4265,1137,4561,1089,3176,807,2027,805,34563,1458,23136,1550,11427,1432,5799,1154,2899,848,1376,653,669,446,492,390,192,257,52992,506,11137,1486,0,197,11137,1486,487,363,2017,638,3415,1111,3152,765,1669,641,397,225,41855,1619,26484,1753,15371,1374,9566,1329,3769,840,767,443,879,572,328,376,62,96
0500000US06029,06029,"Kern County, California",287349,1372,151679,983,64096,3346,0,197,64096,3346,2062,662,12924,1947,16866,2302,15939,2011,9230,1697,7075,1437,87583,3500,45182,2671,42401,2928,18531,2113,13397,2073,5687,1675,2833,773,893,551,1060,617,135670,889,36415,2622,0,197,36415,2622,1964,875,11339,1746,9581,1559,9077,1726,2821,931,1633,785,99255,2663,60121,2783,39134,2474,24455,2256,10928,1773,2424,817,259,156,763,467,305,268
0500000US06031,06031,"Kings County, California",54642,532,31588,323,11139,1215,0,197,11139,1215,285,268,1911,748,3421,824,3726,825,1337,753,459,339,20449,1228,11905,1156,8544,1492,5103,1118,1507,575,819,375,813,691,232,206,70,89,23054,401,7501,1087,0,197,7501,1087,403,364,2355,786,2737,907,1180,701,606,432,220,227,15553,1150,10416,1175,5137,923,3129,748,1526,445,301,208,35,42,67,111,79,91
0500000US06037,06037,"Los Angeles County, California",3504748,2428,1739649,2041,832667,10087,0,197,832667,10087,18290,2174,195620,5790,192516,5996,230259,6515,119653,5039,76329,4128,906982,9908,474378,7183,432604,8930,185251,7295,135103,5184,53636,4225,34509,2899,16034,1871,8071,1353,1765099,1797,523741,8701,0,197,523741,8701,19443,2209,133624,5422,125312,4688,140832,5984,67133,4385,37397,3146,1241358,8803,800367,9467,440991,8957,231184,7272,129745,4856,42458,3162,22846,2203,9970,1598,4788,951
0500000US06039,06039,"Madera County, California",56384,564,28335,383,11764,1663,0,197,11764,1663,779,573,2550,907,3392,1405,3636,1237,1185,527,222,173,16571,1696,7034,1199,9537,1795,3718,1040,4484,1398,336,273,593,399,76,128,330,451,28049,459,4975,1225,0,197,4975,1225,109,96,1154,507,1609,884,1567,581,505,365,31,57,23074,1244,14731,1703,8343,1723,4332,1067,3252,1171,122,138,300,393,224,372,113,146
0500000US06041,06041,"Marin County, California",29273,181,15673,309,7194,1031,0,197,7194,1031,0,197,1318,823,1659,800,2234,826,719,412,1264,548,8479,1083,4037,979,4442,988,2588,818,962,484,487,356,131,159,227,230,47,85,13600,318,4543,787,0,197,4543,787,346,383,959,492,1113,475,1241,593,426,288,458,307,9057,851,3607,822,5450,795,3283,734,1420,568,384,336,65,66,88,103,210,237
0500000US06047,06047,"Merced County, California",98608,733,50681,497,21566,1966,0,197,21566,1966,120,148,3115,1072,5249,1527,7166,1165,4012,1065,1904,804,29115,1971,15221,1740,13894,1721,5201,1116,4910,1244,2377,978,754,416,392,340,260,281,47927,462,12323,1748,0,197,12323,1748,426,274,2764,1009,3831,1181,3560,1390,1453,693,289,211,35604,1752,22054,1837,13550,1884,8345,1615,3645,1056,915,475,425,298,39,66,181,237
0500000US06053,06053,"Monterey County, California",164928,905,86665,526,33201,2438,0,197,33201,2438,823,494,5983,1308,9541,1520,8960,1269,5183,1107,2711,814,53464,2567,22158,2069,31306,2743,9465,1810,14974,2087,3635,1044,2225,791,649,510,358,226,78263,670,23772,2177,0,197,23772,2177,878,448,5664,1233,7332,1431,4896,1112,3772,1006,1230,693,54491,2362,28769,2100,25722,2474,12490,1669,10546,1745,1356,485,736,278,452,292,142,138
0500000US06055,06055,"Napa County, California",32129,316,17105,150,8079,1572,0,197,8079,1572,0,197,748,391,1515,709,3414,1253,1660,700,742,400,9026,1586,3265,648,5761,1734,1883,578,3281,1766,307,231,255,222,35,59,0,197,15024,275,5306,999,0,197,5306,999,379,319,961,506,1340,670,1662,565,804,396,160,138,9718,1002,4755,972,4963,1038,2375,664,1896,734,259,161,433,295,0,197,0,197
0500000US06059,06059,"Orange County, California",743622,1916,374256,1342,196182,4638,0,197,196182,4638,3658,1030,43726,3573,46595,3685,50403,3357,28185,2618,23615,2391,178074,4600,82104,3748,95970,5173,41149,3651,26143,2609,13715,2074,9499,1607,2648,956,2816,921,369366,1190,117128,4718,0,197,117128,4718,3485,987,30536,4072,26917,2736,31904,2783,15191,1898,9095,1273,252238,4920,148960,4644,103278,4700,50888,3346,33302,3335,8458,1535,6128,1410,2756,876,1746,898
0500000US06061,06061,"Placer County, California",32854,351,16452,243,7621,1025,0,197,7621,1025,189,252,529,458,1444,715,2368,760,2123,790,968,450,8831,1055,4269,723,4562,974,1627,526,1208,549,1064,551,295,201,226,171,142,138,16402,256,4830,817,0,197,4830,817,0,197,1184,632,1352,626,735,334,935,418,624,396,11572,828,6900,1005,4672,933,2828,973,1163,602,99,104,380,314,25,44,177,167
0500000US06065,06065,"Riverside County, California",722171,1602,361430,1312,162088,4709,0,197,162088,4709,3291,808,25458,2256,37308,3430,49662,3359,28889,3034,17480,2471,199342,5083,106377,4004,92965,4367,43742,3745,27195,3305,10457,1695,8012,1316,2682,862,877,424,360741,1441,90691,4726,0,197,90691,4726,3722,1119,18516,2401,25514,3196,26414,2837,11058,1653,5467,1130,270050,4762,172369,5086,97681,4819,54402,3574,26615,2618,8749,1569,5199,1151,1907,664,809,361
0500000US06067,06067,"Sacramento County, California",219422,930,110095,710,46370,2861,0,197,46370,2861,1717,839,7432,1379,9128,1542,13113,1794,9665,1751,5315,1121,63725,2971,33693,2863,30032,2622,14315,1867,8832,1632,3118,886,2747,852,627,371,393,272,109327,737,32985,2128,0,197,32985,2128,620,375,5101,1158,6680,1377,12207,1724,5055,1016,3322,825,76342,2244,45987,2537,30355,2355,17476,1925,6810,1104,2892,849,2160,617,783,495,234,245
0500000US06071,06071,"San Bernardino County, California",727684,2116,363985,1175,161703,4797,50,83,161653,4781,3558,1037,23894,2704,34204,3306,46584,3155,32377,3866,21036,2822,202282,4747,112627,3881,89655,4914,43004,4100,23555,2721,9707,1892,9726,1730,2614,1008,1049,552,363699,1737,95678,4467,0,197,95678,4467,3063,976,20651,2582,24023,2851,29694,3692,12924,1748,5323,974,268021,5182,178686,4868,89335,4579,48434,3544,25749,2436,8270,1708,3582,884,2311,750,989,460
0500000US06073,06073,"San Diego County, California",743653,1704,365595,1087,173346,5791,0,197,173346,5791,3334,1051,25589,3046,44219,3343,49098,4333,29630,2804,21476,2255,192249,5805,98198,4235,94051,4550,38828,3361,27968,2723,13397,1819,8647,1381,3432,1086,1779,710,378058,1546,111167,5020,0,197,111167,5020,4701,1153,20189,2420,29653,2855,32316,3282,16191,2036,8117,1338,266891,5346,162606,5431,104285,5240,52833,3996,31657,3184,10620,1787,5918,1204,2304,912,953,459
0500000US06075,06075,"San Francisco County, California",103754,454,55359,386,25757,2322,0,197,25757,2322,727,556,3379,1213,3699,1162,8401,1914,4112,1095,5439,1214,29602,2371,14604,1437,14998,2062,6622,1344,3789,1084,2010,901,1734,746,411,411,432,344,48395,300,15750,1733,0,197,15750,1733,735,462,1786,674,2081,690,4406,1195,3271,888,3471,1211,32645,1758,18893,1527,13752,1774,6152,1331,3669,1100,1779,655,1228,535,788,668,136,169
0500000US06077,06077,"San Joaquin County, California",186535,945,95089,644,39697,2662,0,197,39697,2662,836,417,5990,1453,8315,1737,13039,1843,7624,1700,3893,1244,55392,2690,26792,2125,28600,2591,12200,1621,6947,2064,3795,1175,3036,919,1997,860,625,462,91446,702,21246,1702,0,197,21246,1702,975,372,3389,781,4886,1151,7299,1158,3008,665,1689,713,70200,1847,40856,2237,29344,2106,18358,1641,6366,1441,3038,1191,1138,526,0,197,444,327
0500000US06079,06079,"San Luis Obispo County, California",42525,403,23054,220,11011,897,0,197,11011,897,112,136,1367,680,2114,787,4077,1122,1722,712,1619,747,12043,928,5098,842,6945,1105,3046,732,2217,916,760,410,360,295,330,267,232,220,19471,312,5446,1001,0,197,5446,1001,330,375,1663,672,1575,836,1137,560,405,327,336,316,14025,1006,6903,1090,7122,1025,3534,750,1902,725,1074,562,482,415,55,93,75,123
0500000US06081,06081,"San Mateo County, California",137521,770,69577,541,34343,2245,0,197,34343,2245,740,751,3676,1014,8454,1659,11489,1855,6174,1247,3810,1049,35234,2202,12850,1580,22384,2339,7978,1368,6913,1435,3541,1052,2628,1491,605,424,719,463,67944,474,23479,2354,0,197,23479,2354,841,481,4086,982,4868,1565,7307,1554,3649,901,2728,781,44465,2461,24138,2164,20327,2009,9182,1713,5689,1304,3017,1028,1550,594,450,271,439,329
0500000US06083,06083,"Santa Barbara County, California",132315,719,68833,531,33023,1945,0,197,33023,1945,563,318,6893,1349,9229,1628,8180,1479,4822,947,3336,924,35810,2100,16943,1862,18867,1954,7372,1442,7683,1624,2022,602,1231,518,347,266,212,189,63482,521,18015,1687,0,197,18015,1687,1076,474,4377,879,4057,1092,4720,946,2540,694,1245,529,45467,1736,24934,1793,20533,2206,11155,1821,6105,1099,818,467,1365,533,667,432,423,545
0500000US06085,06085,"Santa Clara County, California",349419,1308,178337,833,86953,3364,0,197,86953,3364,1349,654,13884,2371,17317,2424,24127,2439,15965,2020,14311,1864,91384,3566,45567,2774,45817,3224,19850,2742,11834,1716,7081,1699,4807,1218,1721,775,524,265,171082,941,52606,2753,0,197,52606,2753,1614,625,7259,1417,10380,1608,15786,2404,11422,1855,6145,1204,118476,2898,67786,3022,50690,2712,23961,2290,14659,2095,6022,1432,4038,1021,1243,597,767,550
0500000US06087,06087,"Santa Cruz County, California",62126,406,31501,371,13270,1780,0,197,13270,1780,688,506,2421,1059,3052,1266,3461,940,2125,826,1523,755,18231,1830,7199,1166,11032,1818,4677,1307,2882,816,1505,908,1402,704,398,267,168,161,30625,318,8384,1468,0,197,8384,1468,395,332,2141,925,1777,602,2321,735,912,402,838,470,22241,1453,10801,1315,11440,1501,4311,1047,4250,1178,1642,691,1000,441,237,251,0,197
0500000US06089,06089,"Shasta County, California",10714,262,5185,178,1971,568,0,197,1971,568,0,197,210,210,209,164,624,379,672,414,256,320,3214,581,1371,439,1843,482,748,402,464,396,163,144,122,118,308,234,38,63,5529,299,1609,586,0,197,1609,586,0,197,153,141,541,363,509,396,130,151,276,296,3920,678,2507,638,1413,588,1026,539,166,176,148,176,0,197,73,117,0,197
0500000US06095,06095,"Solano County, California",72979,408,37930,238,15394,1760,0,197,15394,1760,298,309,2061,829,3848,1083,4559,1062,2433,826,2195,713,22536,1829,11752,1510,10784,1710,3851,987,4721,1331,1494,722,486,261,198,182,34,61,35049,356,9756,1264,0,197,9756,1264,135,130,1343,604,2724,644,2954,850,1998,646,602,292,25293,1269,13986,1423,11307,1274,5049,1051,3649,822,932,430,1007,508,250,198,420,372
0500000US06097,06097,"Sonoma County, California",86552,688,45616,480,23461,2102,0,197,23461,2102,346,285,5918,1392,6050,1573,6187,1462,3650,1152,1310,553,22155,2242,9068,1457,13087,2007,5092,1215,3573,1025,2543,887,1461,798,263,255,155,166,40936,541,10995,1559,0,197,10995,1559,804,554,1751,865,3283,973,3341,876,1256,517,560,336,29941,1618,16285,1682,13656,1717,6524,1288,3984,1077,1967,907,949,497,168,176,64,114
0500000US06099,06099,"Stanislaus County, California",151430,941,76730,612,34663,1936,0,197,34663,1936,960,474,5174,1394,6830,1516,12737,1885,6279,1292,2683,916,42067,1947,20701,1949,21366,2173,9486,1332,5960,1272,3222,1095,1765,875,483,316,450,367,74700,821,16329,1960,0,197,16329,1960,757,571,3281,1047,4277,937,5282,1390,1887,579,845,516,58371,2070,35301,2193,23070,2117,13704,1885,5933,1254,2033,782,1141,524,87,87,172,151
0500000US06101,06101,"Sutter County, California",18693,310,9443,265,4978,763,0,197,4978,763,305,258,643,334,1091,588,2356,697,465,247,118,121,4465,771,1458,383,3007,783,1818,562,658,426,295,280,233,258,0,197,3,8,9250,350,1930,516,0,197,1930,516,0,197,437,238,395,285,620,348,235,173,243,272,7320,699,4650,811,2670,532,1659,450,663,477,269,278,79,96,0,197,0,197
0500000US06107,06107,"Tulare County, California",182090,1386,93118,980,35952,2672,0,197,35952,2672,1616,758,6280,1144,8507,1548,11049,1637,4957,1634,3543,1334,57166,3121,28008,2283,29158,2960,18553,2824,6283,1237,2383,810,1359,626,374,241,206,184,88972,780,23079,2030,0,197,23079,2030,1220,475,6252,1291,6372,1338,5602,1076,2647,758,986,696,65893,2145,39435,2435,26458,2530,17722,2106,6391,1362,1386,447,392,228,363,357,204,200
0500000US06111,06111,"Ventura County, California",241329,1231,122550,655,60526,3012,0,197,60526,3012,1878,865,9137,1720,15088,2346,16567,1965,10482,1662,7374,1370,62024,3078,26857,2229,35167,2914,15769,2094,12115,1934,4429,1137,1523,572,943,371,388,307,118779,837,40116,2695,0,197,40116,2695,1872,778,7518,1214,9872,1822,11082,1474,5844,1132,3928,868,78663,2809,42780,2132,35883,2238,18393,2037,11419,1572,3605,834,1312,615,803,382,351,266
0500000US06113,06113,"Yolo County, California",45087,400,22348,278,10465,1154,0,197,10465,1154,66,117,1922,972,2469,874,3709,877,1444,566,855,465,11883,1163,5751,768,6132,1096,2782,751,1949,717,582,361,662,450,44,81,113,169,22739,316,6061,1104,64,108,5997,1092,47,87,420,316,2005,720,2308,863,851,436,366,230,16678,1202,9925,1386,6753,1160,3798,882,1685,667,833,495,359,349,0,197,78,95
0500000US08001,08001,"Adams County, Colorado",116974,788,59896,548,30912,1776,0,189,30912,1776,727,510,3561,1049,9792,1533,10004,1550,4903,1130,1925,676,28984,1879,11174,1277,17810,1831,7503,1410,4356,1097,3897,1171,1799,711,195,220,60,98,57078,570,19476,2030,0,189,19476,2030,664,392,5466,1054,4123,976,6966,1254,1856,769,401,262,37602,2277,21929,2191,15673,1796,9037,1729,4711,1090,1470,637,338,265,117,157,0,189
0500000US08005,08005,"Arapahoe County, Colorado",72771,566,36289,443,20816,1424,0,189,20816,1424,156,133,3794,1206,4785,1060,6717,1131,2697,859,2667,696,15473,1509,5527,921,9946,1326,4378,990,2159,785,2158,822,852,491,234,246,165,175,36482,407,13722,1349,0,189,13722,1349,487,380,2545,827,3007,987,5268,1121,1752,586,663,322,22760,1391,12024,1192,10736,1341,5984,1179,2872,846,1040,502,448,294,341,376,51,85
