GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23,HD01_VD24,HD02_VD24,HD01_VD25,HD02_VD25,HD01_VD26,HD02_VD26,HD01_VD27,HD02_VD27,HD01_VD28,HD02_VD28,HD01_VD29,HD02_VD29,HD01_VD30,HD02_VD30,HD01_VD31,HD02_VD31,HD01_VD32,HD02_VD32,HD01_VD33,HD02_VD33,HD01_VD34,HD02_VD34,HD01_VD35,HD02_VD35,HD01_VD36,HD02_VD36,HD01_VD37,HD02_VD37,HD01_VD38,HD02_VD38,HD01_VD39,HD02_VD39,HD01_VD40,HD02_VD40,HD01_VD41,HD02_VD41,HD01_VD42,HD02_VD42,HD01_VD43,HD02_VD43,HD01_VD44,HD02_VD44,HD01_VD45,HD02_VD45,HD01_VD46,HD02_VD46,HD01_VD47,HD02_VD47,HD01_VD48,HD02_VD48,HD01_VD49,HD02_VD49
0500000US01019,01019,"Cherokee County, Alabama",25107,150,12504,190,2465,240,123,65,123,65,0,119,256,119,252,118,4,6,506,133,472,126,34,43,778,218,677,178,101,146,499,131,470,133,29,31,221,104,210,103,11,18,82,69,82,69,0,119,10039,266,12603,166,2557,227,186,106,136,81,50,61,114,56,114,56,0,119,382,118,369,116,13,13,680,138,676,138,4,6,621,123,504,133,117,79,464,142,452,144,12,16,110,64,68,49,42,51,10046,226
0500000US01021,01021,"Chilton County, Alabama",41343,154,20435,127,4694,246,305,101,112,55,193,96,194,90,151,72,43,47,1293,184,1282,186,11,10,1357,239,1270,247,87,71,1148,187,1094,179,54,53,332,143,320,141,12,18,65,49,42,42,23,25,15741,240,20908,165,4764,298,347,104,165,60,182,94,243,86,202,76,41,37,1145,175,1049,174,96,61,1191,174,1156,174,35,33,1086,149,976,138,110,68,593,174,437,147,156,88,159,88,148,88,11,16,16144,288
0500000US01023,01023,"Choctaw County, Alabama",13562,110,6552,110,1609,143,86,67,86,67,0,119,120,61,64,41,56,48,313,96,230,91,83,49,499,126,422,125,77,59,455,100,400,103,55,44,125,77,125,77,0,119,11,17,11,17,0,119,4943,102,7010,107,1665,160,104,66,78,64,26,29,57,43,30,35,27,34,472,132,355,112,117,67,215,86,139,76,76,46,407,109,298,116,109,51,316,106,255,94,61,60,94,77,68,57,26,42,5345,140
0500000US01025,01025,"Clarke County, Alabama",25613,168,12188,153,3524,206,271,99,257,102,14,20,71,62,71,62,0,119,822,187,804,186,18,13,895,173,845,176,50,38,1016,164,895,159,121,75,399,131,348,117,51,65,50,50,26,31,24,38,8664,238,13425,130,3702,250,202,98,59,61,143,87,164,102,104,77,60,49,742,185,721,186,21,23,717,166,609,149,108,92,1220,179,1146,188,74,53,594,195,526,198,68,61,63,63,63,63,0,119,9723,276
0500000US01027,01027,"Clay County, Alabama",13580,70,6630,85,1515,117,80,56,22,26,58,48,64,46,43,45,21,20,424,89,411,89,13,17,387,92,344,91,43,51,381,71,362,73,19,22,142,72,135,74,7,13,37,45,6,9,31,44,5115,137,6950,97,1541,120,111,57,48,31,63,55,105,56,105,56,0,119,407,131,393,128,14,24,405,107,368,105,37,36,290,46,200,72,90,59,179,80,179,80,0,119,44,40,39,38,5,10,5409,125
0500000US01029,01029,"Cleburne County, Alabama",14278,126,7098,102,1611,130,135,80,85,59,50,53,44,36,44,36,0,119,536,131,536,131,0,119,389,134,373,138,16,27,357,77,345,75,12,19,150,88,150,88,0,119,0,119,0,119,0,119,5487,113,7180,94,1630,144,134,79,134,79,0,119,92,82,92,82,0,119,314,105,307,103,7,12,378,100,370,100,8,14,467,84,437,87,30,36,208,86,170,71,38,51,37,39,37,39,0,119,5550,130
0500000US01031,01031,"Coffee County, Alabama",46361,158,22848,134,5483,281,272,82,148,61,124,60,314,96,312,95,2,6,1285,151,1192,156,93,54,1276,150,1234,143,42,36,1378,128,1336,142,42,64,833,223,669,177,164,93,125,54,90,47,35,30,17365,319,23513,109,5795,245,288,111,192,108,96,52,222,64,211,63,11,15,1475,179,1426,186,49,38,1244,177,1230,177,14,11,1183,89,1172,91,11,12,1217,208,1133,191,84,58,166,67,141,57,25,25,17718,233
0500000US01033,01033,"Colbert County, Alabama",52739,153,25285,145,6029,276,304,111,170,82,134,66,329,108,318,107,11,19,1356,217,1280,211,76,42,1611,217,1568,218,43,28,1478,244,1392,242,86,50,833,201,793,200,40,36,118,84,109,80,9,14,19256,313,27454,131,6058,272,374,129,305,115,69,53,275,106,275,106,0,119,1391,193,1357,191,34,37,1211,209,1118,200,93,52,1549,157,1465,162,84,56,1132,198,1072,203,60,42,126,60,106,55,20,25,21396,278
0500000US01035,01035,"Conecuh County, Alabama",12800,82,6331,226,1524,244,37,52,37,52,0,119,7,17,5,7,2,14,518,188,518,188,0,119,422,148,377,144,45,39,477,210,425,197,52,49,41,47,41,47,0,119,22,34,22,34,0,119,4807,118,6469,230,1486,275,40,51,24,47,16,24,42,68,42,68,0,119,379,165,367,161,12,23,302,91,274,94,28,32,356,168,239,147,117,72,343,172,295,142,48,63,24,31,24,31,0,119,4983,217
0500000US01037,01037,"Coosa County, Alabama",11191,54,5538,91,1187,104,54,49,0,119,54,49,68,42,68,42,0,119,260,122,247,121,13,24,370,124,352,126,18,25,384,75,360,85,24,34,51,34,51,34,0,119,0,119,0,119,0,119,4351,50,5653,84,1161,138,27,31,9,11,18,30,72,59,72,59,0,119,295,83,275,88,20,23,229,82,215,79,14,22,240,84,240,84,0,119,292,123,292,123,0,119,6,11,6,11,0,119,4492,139
0500000US01039,01039,"Covington County, Alabama",36427,194,17696,121,4138,275,310,127,187,75,123,96,225,116,183,104,42,66,878,182,813,167,65,87,946,169,867,159,79,65,1164,159,1143,158,21,25,542,177,455,166,87,67,73,58,39,34,34,55,13558,283,18731,159,4097,236,405,180,232,112,173,141,203,119,203,119,0,119,859,156,758,149,101,92,945,170,930,171,15,24,872,121,831,131,41,42,768,162,755,162,13,16,45,41,41,39,4,8,14634,215
0500000US01041,01041,"Crenshaw County, Alabama",13400,78,6509,88,1700,137,31,34,20,27,11,22,89,55,83,53,6,7,393,108,390,109,3,4,427,98,393,99,34,36,491,74,460,69,31,35,200,111,200,111,0,119,69,62,69,62,0,119,4809,163,6891,113,1581,115,70,48,70,48,0,119,155,61,124,55,31,31,392,93,354,94,38,33,288,77,255,74,33,24,334,57,274,64,60,32,275,85,266,86,9,14,67,60,42,48,25,23,5310,139
0500000US01043,01043,"Cullman County, Alabama",77094,252,38245,174,9437,346,549,174,302,117,247,123,484,138,476,136,8,13,2004,243,1767,234,237,99,2387,272,2264,282,123,72,2021,206,1888,184,133,98,1821,344,1729,349,92,76,171,74,99,53,72,48,28808,409,38849,213,9398,373,433,150,116,80,317,129,490,137,436,135,54,42,2148,228,1982,231,166,74,1853,208,1629,206,224,116,2091,212,1899,227,192,98,2237,331,2065,323,172,114,146,88,101,57,45,53,29451,409
0500000US01045,01045,"Dale County, Alabama",47565,170,23389,128,5931,255,371,113,202,75,169,79,383,131,299,107,84,82,1384,190,1225,184,159,111,1448,208,1252,176,196,110,1236,145,1172,140,64,36,967,191,874,180,93,49,142,78,105,70,37,30,17458,282,24176,144,6274,258,413,121,250,117,163,56,302,110,266,104,36,28,1387,163,1162,158,225,91,1099,163,1033,168,66,42,1435,145,1309,161,126,66,1388,220,1213,230,175,84,250,94,242,95,8,9,17902,290
0500000US01047,01047,"Dallas County, Alabama",42252,229,19365,180,5735,281,418,147,324,141,94,65,465,172,414,180,51,47,1310,206,1228,208,82,57,1379,246,1211,212,168,99,1359,156,1241,158,118,57,786,284,530,159,256,173,18,21,0,119,18,21,13630,254,22887,158,6545,299,282,121,212,112,70,64,396,123,396,123,0,119,1523,194,1419,181,104,59,1136,206,979,184,157,82,1558,147,1406,165,152,63,1417,228,1229,239,188,92,233,87,184,80,49,47,16342,293
0500000US01049,01049,"DeKalb County, Alabama",67074,254,33137,312,7968,336,449,149,333,137,116,63,560,173,560,173,0,119,2153,240,2018,237,135,74,1997,304,1964,306,33,23,1889,195,1834,205,55,30,796,177,748,173,48,50,124,72,70,50,54,60,25169,324,33937,238,8002,385,237,97,165,90,72,47,526,136,512,136,14,16,1685,253,1608,252,77,46,2152,261,2081,253,71,56,1743,157,1640,153,103,69,1487,308,1449,306,38,31,172,106,152,103,20,23,25935,414
0500000US01051,01051,"Elmore County, Alabama",74915,225,36981,192,9459,321,623,162,284,111,339,118,579,162,450,149,129,106,2072,247,1818,248,254,76,2240,271,1877,263,363,125,2513,222,2031,211,482,180,1092,220,953,219,139,100,340,120,250,102,90,50,27522,363,37934,172,9552,589,539,172,167,104,372,156,478,158,437,151,41,33,2240,230,1903,248,337,128,1947,241,1711,247,236,79,2358,422,1806,183,552,384,1740,280,1370,256,370,170,250,102,167,79,83,47,28382,599
0500000US01053,01053,"Escambia County, Alabama",36504,180,18758,168,3957,247,184,86,105,75,79,57,318,136,254,107,64,79,847,194,835,192,12,17,1084,182,960,187,124,74,1036,170,832,132,204,132,438,184,386,177,52,44,50,31,33,26,17,19,14801,238,17746,172,4512,200,124,63,71,52,53,45,317,136,281,130,36,40,851,176,820,182,31,40,1155,197,1076,210,79,71,1162,192,1118,195,44,38,745,189,694,187,51,56,158,70,127,57,31,40,13234,188
0500000US01055,01055,"Etowah County, Alabama",100445,258,48474,209,12009,350,809,185,375,123,434,143,711,176,613,156,98,68,2653,251,2409,258,244,87,2863,285,2486,303,377,124,2906,308,2692,309,214,92,1822,277,1607,269,215,92,245,99,167,80,78,64,36465,338,51971,174,11530,424,612,139,273,95,339,108,857,179,724,153,133,90,2660,279,2340,268,320,111,2325,255,2142,273,183,83,2641,196,2462,194,179,67,2062,333,1917,318,145,72,373,137,363,136,10,13,40441,445
0500000US01057,01057,"Fayette County, Alabama",16901,124,8209,102,1955,132,127,68,83,60,44,43,105,70,105,70,0,119,454,99,442,99,12,18,538,130,538,130,0,119,534,88,479,78,55,55,194,121,180,122,14,25,3,5,0,119,3,5,6254,117,8692,97,1843,146,93,77,88,76,5,10,126,81,108,75,18,26,327,100,322,95,5,13,538,99,521,99,17,27,430,86,345,97,85,59,320,121,291,122,29,32,9,13,9,13,0,119,6849,154
0500000US01059,01059,"Franklin County, Alabama",30104,182,14974,186,3478,280,184,97,29,35,155,91,147,68,147,68,0,119,999,165,999,165,0,119,828,130,826,130,2,3,770,120,770,120,0,119,435,145,402,134,33,34,115,61,104,60,11,19,11496,260,15130,134,3368,161,136,74,104,60,32,39,327,121,327,121,0,119,861,145,853,143,8,15,754,142,718,141,36,38,820,131,797,134,23,27,420,127,387,125,33,30,50,37,50,37,0,119,11762,210
0500000US01061,01061,"Geneva County, Alabama",25593,142,12400,122,2564,142,63,46,52,43,11,18,188,105,188,105,0,119,600,169,575,167,25,34,941,186,892,185,49,41,466,109,444,106,22,34,296,115,289,113,7,13,10,12,4,6,6,10,9836,169,13193,131,2992,214,190,113,117,74,73,77,138,95,138,95,0,119,558,165,553,166,5,8,766,171,762,171,4,6,781,111,747,102,34,37,453,132,383,125,70,65,106,104,106,104,0,119,10201,210
0500000US01063,01063,"Greene County, Alabama",8853,96,4243,85,1212,102,81,64,81,64,0,119,46,36,44,36,2,5,295,106,286,108,9,17,402,103,327,106,75,64,296,72,273,70,23,21,81,64,68,60,13,21,11,18,11,18,0,119,3031,87,4610,59,1174,120,67,51,67,51,0,119,21,19,13,12,8,13,146,87,109,85,37,34,406,96,371,92,35,43,281,77,272,82,9,14,177,92,160,88,17,21,76,57,76,57,0,119,3436,108
0500000US01065,01065,"Hale County, Alabama",15753,93,7506,88,1951,155,174,86,125,74,49,52,38,31,38,31,0,119,476,99,404,88,72,71,567,107,523,101,44,38,497,103,482,106,15,19,193,100,158,86,35,40,6,10,6,10,0,119,5555,152,8247,69,2473,199,165,94,152,91,13,21,62,38,62,38,0,119,467,108,452,105,15,26,621,120,542,115,79,55,618,120,562,110,56,57,464,144,382,153,82,81,76,57,43,47,33,38,5774,194
0500000US01067,01067,"Henry County, Alabama",16721,111,7888,175,1783,184,101,64,73,58,28,26,103,61,92,59,11,17,428,85,364,99,64,55,445,97,392,100,53,44,418,124,345,118,73,47,254,137,241,130,13,21,34,35,34,35,0,119,6105,180,8833,152,2075,186,92,79,54,73,38,36,116,76,81,64,35,43,515,106,380,104,135,80,321,102,226,88,95,61,609,124,555,116,54,46,388,135,331,117,57,49,34,40,21,34,13,23,6758,166
0500000US01069,01069,"Houston County, Alabama",94923,171,45366,148,11385,215,720,97,301,71,419,70,738,120,576,115,162,52,2960,183,2601,181,359,83,2807,179,2422,193,385,80,2631,147,2284,146,347,77,1311,165,1138,147,173,57,218,58,154,45,64,34,33981,187,49557,113,11770,238,596,81,214,52,382,71,716,108,571,96,145,56,2646,180,2217,166,429,79,2717,186,2312,189,405,87,2617,152,2310,150,307,57,2059,180,1747,174,312,77,419,80,352,80,67,26,37787,269
0500000US01071,01071,"Jackson County, Alabama",51494,148,25266,160,5937,285,281,115,133,57,148,91,409,120,405,119,4,6,1480,184,1394,192,86,61,1427,212,1364,206,63,41,1428,193,1221,198,207,141,849,198,816,192,33,28,63,46,52,50,11,16,19329,276,26228,155,5888,306,291,128,88,52,203,109,196,84,158,77,38,33,1402,207,1365,210,37,33,1468,189,1387,191,81,62,1300,145,1165,140,135,91,1169,224,1101,209,68,61,62,41,55,38,7,13,20340,283
0500000US01073,01073,"Jefferson County, Alabama",630637,677,297788,493,81143,1267,5576,502,2358,307,3218,403,5076,544,4179,494,897,274,16282,708,14790,719,1492,268,18099,693,16656,740,1443,237,18752,615,16589,668,2163,344,13739,1002,9494,756,4245,698,3619,513,2467,407,1152,277,216645,1248,332849,486,88055,1228,5437,483,2494,309,2943,401,4539,449,3692,471,847,201,16820,667,15101,620,1719,303,16838,691,15130,729,1708,311,17377,600,15683,641,1694,304,21318,1110,15835,889,5483,744,5726,565,4212,508,1514,268,244794,1227
0500000US01075,01075,"Lamar County, Alabama",14347,104,6849,87,1531,136,162,91,99,84,63,69,48,45,48,45,0,119,471,119,471,119,0,119,390,112,390,112,0,119,247,57,239,56,8,13,210,88,182,80,28,30,3,5,3,5,0,119,5318,112,7498,88,1630,126,75,71,5,7,70,69,120,80,118,80,2,5,447,114,447,114,0,119,397,131,394,132,3,5,371,88,363,86,8,13,189,78,179,74,10,16,31,35,31,35,0,119,5868,116
