GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07
0500000US12073,12073,"Leon County, Florida",2138,359,205,222,205,222,0,300,1933,406,870,277,1063,374
0500000US12081,12081,"Manatee County, Florida",1173,432,244,197,244,197,0,300,929,402,592,327,337,264
0500000US12086,12086,"Miami-Dade County, Florida",10168,597,657,398,453,271,204,248,9511,747,5961,640,3550,732
0500000US12091,12091,"Okaloosa County, Florida",1805,395,235,232,235,232,0,300,1570,463,1166,435,404,286
0500000US12095,12095,"Orange County, Florida",12988,774,682,399,682,399,0,300,12306,854,8440,843,3866,717
0500000US12097,12097,"Osceola County, Florida",2226,283,84,149,84,149,0,300,2142,357,1125,374,1017,356
0500000US12099,12099,"Palm Beach County, Florida",8159,565,311,220,240,202,71,85,7848,594,5626,594,2222,528
0500000US12103,12103,"Pinellas County, Florida",7558,646,357,250,290,223,67,107,7201,668,4661,740,2540,600
0500000US12115,12115,"Sarasota County, Florida",1595,234,115,156,115,156,0,300,1480,295,734,268,746,396
0500000US12117,12117,"Seminole County, Florida",4765,307,239,178,180,159,59,96,4526,323,3631,503,895,426
0500000US13063,13063,"Clayton County, Georgia",3578,338,40,71,40,71,0,292,3538,344,2297,470,1241,388
0500000US13067,13067,"Cobb County, Georgia",8843,338,597,443,549,433,48,80,8246,495,5031,857,3215,852
0500000US13089,13089,"DeKalb County, Georgia",8435,439,235,178,235,178,0,292,8200,472,3299,592,4901,816
0500000US13113,13113,"Fayette County, Georgia",1359,361,72,92,72,92,0,292,1287,365,853,310,434,219
0500000US13121,13121,"Fulton County, Georgia",12913,450,315,195,315,195,0,292,12598,488,8004,865,4594,810
0500000US13135,13135,"Gwinnett County, Georgia",21531,596,1549,493,1549,493,0,292,19982,739,12794,1180,7188,1333
0500000US13151,13151,"Henry County, Georgia",1976,519,121,147,121,147,0,292,1855,512,1134,527,721,321
0500000US15001,15001,"Hawaii County, Hawaii",10519,1085,730,490,261,275,469,408,9789,1096,4860,776,4929,936
0500000US15003,15003,"Honolulu County, Hawaii",95597,2910,4497,870,4015,876,482,269,91100,2861,48219,2442,42881,2731
0500000US15009,15009,"Maui County, Hawaii",9638,1229,538,450,311,265,227,264,9100,1158,4511,951,4589,801
0500000US17019,17019,"Champaign County, Illinois",5113,348,179,181,179,181,0,261,4934,397,1741,570,3193,469
0500000US17031,17031,"Cook County, Illinois",84825,1278,4194,1223,3359,988,835,593,80631,1774,46324,2159,34307,2072
0500000US17043,17043,"DuPage County, Illinois",26232,822,1607,585,1468,539,139,219,24625,1004,16778,1277,7847,1053
0500000US17089,17089,"Kane County, Illinois",4498,560,261,252,261,252,0,261,4237,606,2693,701,1544,461
0500000US17097,17097,"Lake County, Illinois",12333,605,1097,465,1097,465,0,261,11236,733,7949,640,3287,763
0500000US17111,17111,"McHenry County, Illinois",2715,503,178,204,178,204,0,261,2537,550,1347,492,1190,678
0500000US17113,17113,"McLean County, Illinois",1833,307,149,151,149,151,0,261,1684,326,918,337,766,362
0500000US17197,17197,"Will County, Illinois",8604,423,704,441,704,441,0,261,7900,599,5784,859,2116,932
0500000US18003,18003,"Allen County, Indiana",2152,464,75,103,75,103,0,263,2077,483,1187,355,890,521
0500000US18057,18057,"Hamilton County, Indiana",3350,289,242,278,242,278,0,263,3108,420,1982,440,1126,376
0500000US18063,18063,"Hendricks County, Indiana",746,206,64,82,64,82,0,263,682,215,466,185,216,133
0500000US18097,18097,"Marion County, Indiana",4625,609,129,173,30,47,99,163,4496,619,2552,550,1944,757
0500000US18105,18105,"Monroe County, Indiana",2634,382,233,234,233,234,0,263,2401,477,774,413,1627,659
0500000US19103,19103,"Johnson County, Iowa",1887,384,166,185,166,185,0,221,1721,405,906,378,815,457
0500000US19113,19113,"Linn County, Iowa",1347,248,74,98,74,98,0,221,1273,248,589,315,684,341
0500000US19153,19153,"Polk County, Iowa",3538,381,282,268,245,261,37,62,3256,459,1998,435,1258,343
0500000US20045,20045,"Douglas County, Kansas",1984,285,164,240,164,240,0,237,1820,331,916,410,904,389
0500000US20091,20091,"Johnson County, Kansas",6245,227,638,341,638,341,0,237,5607,373,3998,575,1609,521
0500000US20173,20173,"Sedgwick County, Kansas",5120,477,253,228,253,228,0,237,4867,562,2787,601,2080,520
0500000US21067,21067,"Fayette County, Kentucky",3591,475,43,65,43,65,0,267,3548,483,2204,494,1344,335
0500000US21111,21111,"Jefferson County, Kentucky",3373,438,387,227,387,227,0,267,2986,453,1846,427,1140,353
0500000US22033,22033,"East Baton Rouge Parish, Louisiana",3157,269,74,73,74,73,0,267,3083,282,1637,293,1446,288
0500000US22051,22051,"Jefferson Parish, Louisiana",4248,300,517,414,517,414,0,267,3731,484,2125,494,1606,597
0500000US24003,24003,"Anne Arundel County, Maryland",4806,405,365,243,365,243,0,277,4441,406,2813,522,1628,449
0500000US24005,24005,"Baltimore County, Maryland",9727,317,617,305,617,305,0,277,9110,458,5802,799,3308,750
0500000US24027,24027,"Howard County, Maryland",9576,561,457,370,457,370,0,277,9119,643,6047,629,3072,596
0500000US24031,24031,"Montgomery County, Maryland",36332,707,2985,960,2908,986,77,128,33347,1126,20807,1600,12540,1320
0500000US24033,24033,"Prince George's County, Maryland",9000,748,444,257,332,213,112,171,8556,773,4751,670,3805,614
0500000US24510,24510,"Baltimore city, Maryland",4097,502,147,167,147,167,0,277,3950,554,1508,552,2442,527
0500000US25009,25009,"Essex County, Massachusetts",5728,833,236,228,151,185,85,136,5492,809,3415,633,2077,751
0500000US25015,25015,"Hampshire County, Massachusetts",2905,179,139,143,139,143,0,277,2766,205,492,361,2274,431
0500000US25017,25017,"Middlesex County, Massachusetts",39177,1010,2280,796,2280,796,0,277,36897,1257,22863,1275,14034,1380
0500000US25021,25021,"Norfolk County, Massachusetts",16260,606,1096,614,1000,597,96,167,15164,756,9070,1087,6094,1004
0500000US25023,25023,"Plymouth County, Massachusetts",2475,413,303,231,161,167,142,208,2172,354,1351,371,821,443
0500000US25025,25025,"Suffolk County, Massachusetts",16913,758,426,262,370,244,56,92,16487,799,5386,857,11101,961
0500000US25027,25027,"Worcester County, Massachusetts",9405,474,545,373,425,339,120,197,8860,537,5090,770,3770,821
0500000US26025,26025,"Calhoun County, Michigan",909,254,164,158,119,100,45,74,745,315,454,180,291,253
0500000US26049,26049,"Genesee County, Michigan",1197,163,171,154,171,154,0,235,1026,225,653,272,373,244
0500000US26065,26065,"Ingham County, Michigan",4128,424,68,107,68,107,0,235,4060,442,1820,402,2240,433
0500000US26077,26077,"Kalamazoo County, Michigan",1951,284,288,325,288,325,0,235,1663,397,550,314,1113,452
0500000US26081,26081,"Kent County, Michigan",4215,430,102,132,102,132,0,235,4113,457,2134,479,1979,442
0500000US26099,26099,"Macomb County, Michigan",8068,318,297,258,230,188,67,110,7771,405,5637,511,2134,456
0500000US26125,26125,"Oakland County, Michigan",19212,579,1740,600,1602,575,138,160,17472,733,12601,1025,4871,919
0500000US26139,26139,"Ottawa County, Michigan",1710,487,64,80,64,80,0,235,1646,479,821,274,825,499
0500000US26161,26161,"Washtenaw County, Michigan",10618,287,377,286,377,286,0,235,10241,409,5632,591,4609,527
0500000US26163,26163,"Wayne County, Michigan",13221,567,911,480,864,477,47,79,12310,716,9236,897,3074,775
0500000US27003,27003,"Anoka County, Minnesota",4081,403,613,369,578,354,35,65,3468,401,2519,578,949,471
0500000US27037,27037,"Dakota County, Minnesota",5136,458,211,189,187,182,24,40,4925,455,3285,510,1640,337
0500000US27053,27053,"Hennepin County, Minnesota",18735,508,1119,508,1020,500,99,113,17616,693,10270,1021,7346,926
0500000US27109,27109,"Olmsted County, Minnesota",1946,337,354,236,354,236,0,208,1592,351,1277,279,315,279
0500000US27123,27123,"Ramsey County, Minnesota",10940,490,725,356,671,348,54,90,10215,564,5547,765,4668,637
0500000US27139,27139,"Scott County, Minnesota",2388,331,322,273,322,273,0,208,2066,417,1239,417,827,554
0500000US27163,27163,"Washington County, Minnesota",3446,415,542,298,542,298,0,208,2904,460,1811,509,1093,392
0500000US29095,29095,"Jackson County, Missouri",2606,410,290,218,290,218,0,253,2316,443,975,316,1341,490
0500000US29183,29183,"St. Charles County, Missouri",2182,359,236,184,236,184,0,253,1946,421,1676,478,270,199
0500000US29189,29189,"St. Louis County, Missouri",8897,472,393,322,251,247,142,214,8504,580,5469,700,3035,679
0500000US29510,29510,"St. Louis city, Missouri",1650,274,209,265,209,265,0,253,1441,297,347,226,1094,265
0500000US31055,31055,"Douglas County, Nebraska",4353,200,153,155,153,155,0,213,4200,251,3056,489,1144,486
0500000US31109,31109,"Lancaster County, Nebraska",2684,300,414,282,414,282,0,213,2270,458,1030,266,1240,375
0500000US32003,32003,"Clark County, Nevada",35785,985,2121,874,1911,849,210,198,33664,1290,19074,1511,14590,1553
0500000US32031,32031,"Washoe County, Nevada",5497,507,472,292,472,292,0,292,5025,617,2754,583,2271,612
0500000US33011,33011,"Hillsborough County, New Hampshire",3204,397,104,115,104,115,0,251,3100,455,2018,567,1082,553
0500000US34001,34001,"Atlantic County, New Jersey",5462,346,482,314,482,314,0,273,4980,405,3099,421,1881,551
0500000US34003,34003,"Bergen County, New Jersey",38360,870,2747,927,2631,894,116,186,35613,1312,23804,1490,11809,1393
0500000US34005,34005,"Burlington County, New Jersey",5269,498,152,145,152,145,0,273,5117,546,3868,620,1249,524
0500000US34007,34007,"Camden County, New Jersey",6539,343,642,399,506,361,136,200,5897,515,4041,619,1856,568
0500000US34013,34013,"Essex County, New Jersey",10125,431,459,275,422,257,37,68,9666,503,5769,621,3897,631
0500000US34017,34017,"Hudson County, New Jersey",18979,742,598,388,598,388,0,273,18381,819,9938,1175,8443,1170
0500000US34021,34021,"Mercer County, New Jersey",9839,323,390,279,269,217,121,163,9449,397,6686,991,2763,1013
0500000US34023,34023,"Middlesex County, New Jersey",43108,584,3092,828,3002,835,90,147,40016,979,28781,1361,11235,1263
0500000US34025,34025,"Monmouth County, New Jersey",9412,543,299,245,75,122,224,276,9113,662,6359,647,2754,481
0500000US34027,34027,"Morris County, New Jersey",12128,695,1122,618,1079,612,43,72,11006,871,7714,751,3292,718
0500000US34031,34031,"Passaic County, New Jersey",6199,439,516,337,396,270,120,186,5683,547,3873,627,1810,652
0500000US34035,34035,"Somerset County, New Jersey",11898,493,454,334,454,334,0,273,11444,578,7859,855,3585,792
0500000US34039,34039,"Union County, New Jersey",7286,663,442,404,442,404,0,273,6844,801,4236,733,2608,493
0500000US35001,35001,"Bernalillo County, New Mexico",4100,386,187,153,187,153,0,279,3913,390,1924,458,1989,497
0500000US36001,36001,"Albany County, New York",3932,423,209,227,209,227,0,269,3723,529,1950,465,1773,363
0500000US36005,36005,"Bronx County, New York",13221,778,282,235,282,235,0,269,12939,793,6877,799,6062,1039
0500000US36007,36007,"Broome County, New York",2605,592,0,269,0,269,0,269,2605,592,1729,568,876,313
0500000US36027,36027,"Dutchess County, New York",3379,331,370,268,370,268,0,269,3009,400,1924,315,1085,364
0500000US36029,36029,"Erie County, New York",5790,334,159,134,159,134,0,269,5631,348,2830,579,2801,632
0500000US36047,36047,"Kings County, New York",62115,1002,2595,828,2448,808,147,145,59520,1377,33390,1948,26130,1887
0500000US36055,36055,"Monroe County, New York",6998,420,529,286,431,250,98,162,6469,514,3487,644,2982,618
0500000US36059,36059,"Nassau County, New York",27048,622,1901,769,1901,769,0,269,25147,925,15829,1268,9318,1003
0500000US36061,36061,"New York County, New York",62803,1053,1650,673,1528,641,122,143,61153,1351,25643,2588,35510,2625
0500000US36067,36067,"Onondaga County, New York",4340,479,136,171,136,171,0,269,4204,470,1866,649,2338,786
0500000US36071,36071,"Orange County, New York",2679,239,279,311,279,311,0,269,2400,385,1533,365,867,419
0500000US36081,36081,"Queens County, New York",136449,1785,6993,1270,6301,1216,692,408,129456,2003,73633,2426,55823,2554
0500000US36085,36085,"Richmond County, New York",9631,563,51,83,51,83,0,269,9580,559,5923,695,3657,746
0500000US36087,36087,"Rockland County, New York",4918,416,217,262,217,262,0,269,4701,570,3048,557,1653,560
0500000US36093,36093,"Schenectady County, New York",1528,332,268,241,104,130,164,233,1260,336,615,334,645,301
0500000US36103,36103,"Suffolk County, New York",15641,424,637,611,346,359,291,407,15004,756,9651,606,5353,704
0500000US36119,36119,"Westchester County, New York",15821,504,1130,437,1130,437,0,269,14691,674,10002,943,4689,975
0500000US37023,37023,"Burke County, North Carolina",811,171,0,281,0,281,0,281,811,171,411,102,400,143
0500000US37051,37051,"Cumberland County, North Carolina",1752,173,252,254,98,115,154,238,1500,307,1341,294,159,130
0500000US37063,37063,"Durham County, North Carolina",3208,217,530,289,530,289,0,281,2678,358,1494,407,1184,478
0500000US37119,37119,"Mecklenburg County, North Carolina",9802,352,1034,668,927,650,107,132,8768,705,6137,852,2631,617
0500000US37135,37135,"Orange County, North Carolina",2668,288,97,156,97,156,0,281,2571,337,1233,353,1338,337
0500000US37183,37183,"Wake County, North Carolina",10931,639,468,317,468,317,0,281,10463,726,7299,915,3164,939
0500000US39017,39017,"Butler County, Ohio",2070,357,357,319,357,319,0,261,1713,412,1324,368,389,258
0500000US39035,39035,"Cuyahoga County, Ohio",8621,569,265,218,207,199,58,94,8356,591,4934,710,3422,682
0500000US39041,39041,"Delaware County, Ohio",2101,183,238,177,238,177,0,261,1863,253,1489,213,374,189
0500000US39049,39049,"Franklin County, Ohio",13437,529,1145,534,914,430,231,294,12292,751,6369,928,5923,965
0500000US39061,39061,"Hamilton County, Ohio",4349,369,61,99,61,99,0,261,4288,388,2439,477,1849,499
0500000US39095,39095,"Lucas County, Ohio",1839,181,309,253,309,253,0,261,1530,285,1278,273,252,232
0500000US39153,39153,"Summit County, Ohio",3331,369,597,377,597,377,0,261,2734,558,1198,477,1536,474
0500000US39165,39165,"Warren County, Ohio",2286,230,125,151,125,151,0,261,2161,277,1551,365,610,299
0500000US40109,40109,"Oklahoma County, Oklahoma",7012,589,290,284,245,271,45,81,6722,598,3838,592,2884,689
0500000US40143,40143,"Tulsa County, Oklahoma",2898,510,167,241,167,241,0,244,2731,394,2125,439,606,337
0500000US41005,41005,"Clackamas County, Oregon",4075,469,62,108,62,108,0,269,4013,433,2025,444,1988,398
0500000US41047,41047,"Marion County, Oregon",2491,408,60,128,60,128,0,269,2431,455,1211,357,1220,378
0500000US41051,41051,"Multnomah County, Oregon",13012,766,515,294,403,261,112,140,12497,862,6470,862,6027,1160
0500000US41067,41067,"Washington County, Oregon",13762,688,1158,625,1035,578,123,171,12604,901,8499,1035,4105,899
0500000US42003,42003,"Allegheny County, Pennsylvania",8089,579,433,265,433,265,0,240,7656,587,4859,650,2797,748
0500000US42011,42011,"Berks County, Pennsylvania",1179,224,212,234,212,234,0,240,967,296,575,260,392,226
0500000US42017,42017,"Bucks County, Pennsylvania",6080,479,443,363,443,363,0,240,5637,460,4132,525,1505,489
0500000US42027,42027,"Centre County, Pennsylvania",2937,456,285,327,285,327,0,240,2652,586,618,338,2034,539
0500000US42029,42029,"Chester County, Pennsylvania",5342,211,269,263,269,263,0,240,5073,325,3480,442,1593,441
0500000US42041,42041,"Cumberland County, Pennsylvania",1574,322,93,92,93,92,0,240,1481,341,702,342,779,316
0500000US42045,42045,"Delaware County, Pennsylvania",6797,425,464,293,464,293,0,240,6333,499,4169,489,2164,485
0500000US42071,42071,"Lancaster County, Pennsylvania",2362,235,92,119,92,119,0,240,2270,264,1652,282,618,281
0500000US42077,42077,"Lehigh County, Pennsylvania",3206,355,398,364,398,364,0,240,2808,474,2075,457,733,418
0500000US42091,42091,"Montgomery County, Pennsylvania",11731,351,769,308,678,303,91,107,10962,462,7387,586,3575,584
0500000US42101,42101,"Philadelphia County, Pennsylvania",22887,689,1568,701,1173,670,395,333,21319,1070,9552,1098,11767,1099
0500000US42129,42129,"Westmoreland County, Pennsylvania",927,127,292,227,292,227,0,240,635,286,364,161,271,219
0500000US44007,44007,"Providence County, Rhode Island",6824,502,195,193,121,156,74,117,6629,580,1901,496,4728,653
0500000US47037,47037,"Davidson County, Tennessee",4648,484,282,238,282,238,0,279,4366,463,2827,551,1539,475
0500000US47149,47149,"Rutherford County, Tennessee",2081,505,157,181,157,181,0,279,1924,543,1445,557,479,257
0500000US47157,47157,"Shelby County, Tennessee",5280,305,301,244,301,244,0,279,4979,352,2919,572,2060,542
0500000US48027,48027,"Bell County, Texas",2469,373,68,109,68,109,0,281,2401,369,1540,316,861,290
0500000US48029,48029,"Bexar County, Texas",10225,687,270,201,270,201,0,281,9955,735,6060,928,3895,973
0500000US48039,48039,"Brazoria County, Texas",4067,292,371,255,371,255,0,281,3696,381,2306,396,1390,408
0500000US48041,48041,"Brazos County, Texas",2149,232,87,107,87,107,0,281,2062,221,704,324,1358,296
0500000US48085,48085,"Collin County, Texas",22403,735,1591,594,1481,582,110,143,20812,980,14662,1180,6150,1143
0500000US48113,48113,"Dallas County, Texas",28359,639,1622,610,1520,607,102,122,26737,907,16920,1245,9817,1371
0500000US48121,48121,"Denton County, Texas",11229,662,836,458,836,458,0,281,10393,792,6615,1170,3778,949
0500000US48141,48141,"El Paso County, Texas",2608,269,209,209,209,209,0,281,2399,269,1507,313,892,343
0500000US48157,48157,"Fort Bend County, Texas",22943,411,1225,930,1225,930,0,281,21718,992,12367,1632,9351,1654
0500000US48167,48167,"Galveston County, Texas",2523,282,89,104,89,104,0,281,2434,309,1383,354,1051,417
0500000US48201,48201,"Harris County, Texas",57800,1455,3253,968,2715,809,538,444,54547,1806,33512,1865,21035,1643
0500000US48245,48245,"Jefferson County, Texas",1678,196,259,174,180,190,79,119,1419,240,1131,219,288,231
0500000US48339,48339,"Montgomery County, Texas",2670,418,280,314,280,314,0,281,2390,518,1769,554,621,395
0500000US48439,48439,"Tarrant County, Texas",20793,700,1102,511,994,461,108,134,19691,901,12463,1206,7228,916
0500000US48453,48453,"Travis County, Texas",15972,602,1082,583,1024,572,58,97,14890,870,8378,825,6512,862
0500000US48491,48491,"Williamson County, Texas",4713,546,206,186,206,186,0,281,4507,649,2431,364,2076,764
0500000US49035,49035,"Salt Lake County, Utah",8819,615,753,430,677,380,76,122,8066,665,4312,766,3754,692
0500000US49049,49049,"Utah County, Utah",2758,397,545,236,545,236,0,255,2213,420,1192,420,1021,349
0500000US51003,51003,"Albemarle County, Virginia",1591,228,73,97,73,97,0,279,1518,238,845,262,673,232
0500000US51013,51013,"Arlington County, Virginia",5880,354,105,137,105,137,0,279,5775,391,2811,645,2964,622
0500000US51041,51041,"Chesterfield County, Virginia",2303,312,232,228,232,228,0,279,2071,425,1283,426,788,407
0500000US51059,51059,"Fairfax County, Virginia",46609,842,2173,669,2071,648,102,168,44436,1019,27199,1710,17237,1560
0500000US51061,51061,"Fauquier County, Virginia",336,120,51,24,51,24,0,279,285,103,142,51,143,52
0500000US51087,51087,"Henrico County, Virginia",4106,369,424,225,382,220,42,71,3682,414,2823,440,859,312
0500000US51107,51107,"Loudoun County, Virginia",12021,360,1129,547,1129,547,0,279,10892,712,7262,1443,3630,1665
0500000US51153,51153,"Prince William County, Virginia",8434,580,690,454,690,454,0,279,7744,801,5901,879,1843,814
0500000US51700,51700,"Newport News city, Virginia",2149,445,252,205,252,205,0,279,1897,447,1087,466,810,414
0500000US51710,51710,"Norfolk city, Virginia",1799,207,66,64,66,64,0,279,1733,212,1204,246,529,248
0500000US51810,51810,"Virginia Beach city, Virginia",6799,483,387,231,387,231,0,279,6412,487,4604,478,1808,365
0500000US53011,53011,"Clark County, Washington",5381,417,154,236,154,236,0,267,5227,468,3081,516,2146,584
0500000US53033,53033,"King County, Washington",72533,1726,2956,750,2622,764,334,248,69577,1772,39254,2182,30323,2344
0500000US53035,53035,"Kitsap County, Washington",3201,436,278,234,212,205,66,100,2923,428,2028,420,895,349
0500000US53053,53053,"Pierce County, Washington",13176,797,873,427,721,413,152,155,12303,862,6624,864,5679,979
0500000US53061,53061,"Snohomish County, Washington",17543,746,1510,639,1280,552,230,264,16033,943,9303,1151,6730,1374
0500000US53063,53063,"Spokane County, Washington",3661,436,327,318,327,318,0,267,3334,488,1549,448,1785,535
0500000US53067,53067,"Thurston County, Washington",4328,523,52,87,52,87,0,267,4276,520,2278,482,1998,445
0500000US54061,54061,"Monongalia County, West Virginia",533,174,110,102,110,102,0,261,423,234,119,115,304,200
