GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19,HD01_VD20,HD02_VD20,HD01_VD21,HD02_VD21,HD01_VD22,HD02_VD22,HD01_VD23,HD02_VD23
0500000US02020,02020,"Anchorage Municipality, Alaska",26021,*****,13188,305,4330,305,4173,250,157,263,0,147,157,263,8858,*****,6817,733,2041,732,1499,679,542,424,12833,305,4805,305,4805,305,0,147,0,147,0,147,8028,*****,5603,945,2425,945,1476,767,949,542
0500000US02170,02170,"Matanuska-Susitna Borough, Alaska",4251,*****,2362,186,988,166,988,166,0,147,0,147,0,147,1374,106,1107,196,267,183,160,148,107,112,1889,186,641,166,641,166,0,147,0,147,0,147,1248,105,1050,203,198,162,198,162,0,147
0500000US04001,04001,"Apache County, Arizona",4500,*****,2111,284,638,151,638,151,0,203,0,203,0,203,1473,265,820,490,653,445,35,68,618,466,2389,284,967,151,864,267,103,125,0,203,103,125,1422,264,709,483,713,521,0,203,713,521
0500000US04003,04003,"Cochise County, Arizona",43895,*****,21923,*****,7089,*****,6393,529,696,529,0,203,696,529,14834,*****,10426,765,4408,765,1459,446,2949,799,21972,*****,6995,*****,6847,143,148,143,50,82,98,118,14977,*****,9922,963,5055,962,2237,628,2818,797
0500000US04005,04005,"Coconino County, Arizona",18922,*****,9761,439,3273,439,3162,453,111,170,0,203,111,170,6488,*****,4696,840,1792,840,514,453,1278,805,9161,439,2780,438,2562,512,218,224,0,203,218,224,6381,*****,4443,757,1938,757,985,556,953,511
0500000US04013,04013,"Maricopa County, Arizona",1203221,*****,605809,*****,222837,*****,210214,2207,12623,2208,1236,748,11387,2107,382972,*****,217221,6899,165751,6899,40709,3603,125042,6494,597412,*****,214375,*****,204864,1940,9511,1940,409,249,9102,1927,383037,*****,214166,5268,168871,5268,47077,3242,121794,5699
0500000US04015,04015,"Mohave County, Arizona",31467,*****,17388,504,5933,504,5908,508,25,46,0,203,25,46,11455,*****,7325,767,4130,768,1702,772,2428,1017,14079,504,3956,504,3723,515,233,363,233,363,0,203,10123,*****,6291,1322,3832,1322,2518,1380,1314,760
0500000US04017,04017,"Navajo County, Arizona",11792,*****,6371,251,2049,251,2049,251,0,203,0,203,0,203,4322,*****,3263,577,1059,577,616,522,443,186,5421,251,1944,250,1944,250,0,203,0,203,0,203,3477,*****,2988,407,489,407,175,269,314,354
0500000US04019,04019,"Pima County, Arizona",355741,*****,174340,*****,58287,*****,56251,721,2036,720,255,244,1781,659,116053,*****,78794,2963,37259,2963,13852,1851,23407,2656,181401,*****,56054,*****,53963,884,2091,885,90,116,2001,861,125347,*****,81862,3231,43485,3231,16703,1834,26782,2718
0500000US04021,04021,"Pinal County, Arizona",112963,*****,60835,*****,19822,*****,19272,360,550,360,5,11,545,360,41013,*****,26253,2209,14760,2209,3773,1141,10987,1908,52128,*****,18903,*****,18408,433,495,433,54,91,441,390,33225,*****,24344,1701,8881,1700,3445,1205,5436,1156
0500000US04025,04025,"Yavapai County, Arizona",30045,*****,15891,534,5941,534,5381,739,560,568,0,203,560,568,9950,*****,5460,1140,4490,1140,729,498,3761,1064,14154,535,4523,535,3723,1088,800,1126,0,203,800,1126,9631,*****,4774,1233,4857,1234,461,301,4396,1298
0500000US04027,04027,"Yuma County, Arizona",123022,*****,61995,*****,20988,*****,19576,598,1412,598,123,197,1289,561,41007,*****,20487,1704,20520,1704,8461,1585,12059,1623,61027,*****,20238,*****,18594,916,1644,917,37,64,1607,908,40789,*****,17338,1744,23451,1743,8345,1323,15106,1833
0500000US05007,05007,"Benton County, Arkansas",37934,*****,19706,*****,7536,*****,6841,494,695,494,0,192,695,494,12170,*****,3239,895,8931,895,3463,1376,5468,1266,18228,*****,7314,*****,6669,514,645,514,114,184,531,475,10914,*****,3625,873,7289,873,2141,728,5148,1033
0500000US05031,05031,"Craighead County, Arkansas",4667,*****,2807,404,1156,279,957,345,199,233,96,200,103,134,1651,224,379,353,1272,306,320,345,952,408,1860,404,712,279,292,258,420,322,0,192,420,322,1148,224,302,311,846,316,248,265,598,419
0500000US05119,05119,"Pulaski County, Arkansas",23088,*****,12891,941,4846,744,3866,639,980,846,0,192,980,846,8045,526,2908,1152,5137,1003,1320,852,3817,1253,10197,941,3602,743,3516,738,86,141,0,192,86,141,6595,526,2547,1097,4048,1268,898,721,3150,1416
0500000US05131,05131,"Sebastian County, Arkansas",16745,*****,8218,618,2779,571,2722,548,57,79,0,192,57,79,5439,224,2067,585,3372,496,496,452,2876,678,8527,618,4156,571,4059,555,97,133,0,192,97,133,4371,223,1238,655,3133,701,748,505,2385,727
0500000US05143,05143,"Washington County, Arkansas",34832,*****,17879,444,7455,*****,6803,267,652,267,0,192,652,267,10424,443,1829,534,8595,676,1296,635,7299,945,16953,443,6987,*****,6440,526,547,526,208,365,339,387,9966,444,2581,590,7385,714,1379,561,6006,797
0500000US06001,06001,"Alameda County, California",358007,*****,181981,*****,56424,*****,53699,900,2725,900,164,166,2561,900,125557,*****,55903,3231,69654,3231,17543,1929,52111,3609,176026,*****,54283,*****,51108,1163,3175,1163,86,141,3089,1162,121743,*****,62350,3015,59393,3015,16503,1545,42890,3152
0500000US06007,06007,"Butte County, California",33642,*****,17266,*****,5615,*****,5615,2,0,203,0,203,0,203,11651,*****,7906,726,3745,726,1353,465,2392,667,16376,*****,5262,*****,4941,329,321,329,21,38,300,329,11114,*****,8064,944,3050,944,1560,584,1490,619
0500000US06013,06013,"Contra Costa County, California",272904,*****,137654,*****,46058,*****,42219,1384,3839,1384,531,440,3308,1314,91596,*****,41595,2925,50001,2926,14625,1980,35376,3185,135250,*****,44092,*****,40536,1228,3556,1228,286,304,3270,1182,91158,*****,43783,2646,47375,2646,15504,2091,31871,2679
0500000US06017,06017,"El Dorado County, California",22661,*****,11616,677,4144,676,4144,676,0,203,0,203,0,203,7472,*****,4395,896,3077,896,1114,640,1963,894,11045,677,3707,676,3641,703,66,130,66,130,0,203,7338,*****,4314,1011,3024,1011,690,430,2334,1039
0500000US06019,06019,"Fresno County, California",492592,*****,250665,*****,89456,*****,86426,936,3030,937,125,145,2905,929,161209,*****,94268,3807,66941,3807,15765,2209,51176,3512,241927,*****,86189,*****,82131,1164,4058,1164,0,203,4058,1164,155738,*****,96317,3341,59421,3342,15628,2033,43793,3140
0500000US06023,06023,"Humboldt County, California",14089,*****,6944,327,2116,327,2093,332,23,40,0,203,23,40,4828,*****,2932,675,1896,674,649,345,1247,618,7145,326,2483,327,2418,327,65,102,0,203,65,102,4662,*****,3536,509,1126,509,608,316,518,403
0500000US06025,06025,"Imperial County, California",144486,*****,72079,*****,23170,*****,21067,987,2103,987,545,356,1558,911,48909,*****,24604,1943,24305,1942,10623,1569,13682,1863,72407,*****,21979,*****,20995,464,984,464,435,339,549,377,50428,*****,21477,1992,28951,1992,13691,1854,15260,2107
0500000US06029,06029,"Kern County, California",439674,*****,229056,*****,81661,*****,77240,1375,4421,1375,714,550,3707,1230,147395,*****,75200,4368,72195,4368,17566,2450,54629,4272,210618,*****,79455,*****,75219,1366,4236,1366,234,195,4002,1327,131163,*****,70502,3522,60661,3521,16826,2151,43835,3489
0500000US06031,06031,"Kings County, California",79551,*****,43888,*****,13705,*****,13439,217,266,217,0,203,266,217,30183,*****,16216,1826,13967,1826,2224,723,11743,1775,35663,*****,13479,*****,13401,144,78,143,0,203,78,143,22184,*****,13909,1068,8275,1068,2543,656,5732,1019
0500000US06033,06033,"Lake County, California",11770,*****,5902,519,2113,427,2113,427,0,203,0,203,0,203,3789,300,2044,457,1745,385,639,389,1106,483,5868,520,2140,427,1822,433,318,260,125,194,193,196,3728,300,1512,649,2216,587,1385,811,831,473
0500000US06037,06037,"Los Angeles County, California",4834936,*****,2418247,*****,737889,*****,698627,3350,39262,3350,3358,1131,35904,3351,1680358,*****,738992,11115,941366,11114,313061,7745,628305,13165,2416689,*****,708596,*****,672832,3668,35764,3668,3511,907,32253,3532,1708093,*****,750019,9274,958074,9274,379126,8150,578948,10832
0500000US06039,06039,"Madera County, California",84923,*****,42816,*****,15757,*****,14684,486,1073,487,120,120,953,471,27059,*****,11318,1433,15741,1434,2883,912,12858,1618,42107,*****,15140,*****,14245,570,895,570,208,206,687,479,26967,*****,14982,1405,11985,1405,3241,1069,8744,1324
0500000US06041,06041,"Marin County, California",40650,*****,22487,729,7459,729,7430,724,29,51,0,203,29,51,15028,*****,6627,1391,8401,1391,1920,779,6481,1220,18163,730,5338,730,4893,830,445,452,213,268,232,330,12825,*****,5313,811,7512,812,2735,773,4777,885
0500000US06045,06045,"Mendocino County, California",20524,*****,10858,637,3924,638,3295,752,629,448,361,364,268,315,6934,*****,3011,1103,3923,1103,1469,805,2454,803,9666,638,3702,638,3094,585,608,308,247,334,361,285,5964,*****,2057,667,3907,667,1250,487,2657,753
0500000US06047,06047,"Merced County, California",149418,*****,76511,*****,28086,*****,27096,426,990,427,110,137,880,406,48425,*****,25075,1947,23350,1947,6594,1410,16756,1830,72907,*****,26797,*****,25176,805,1621,805,213,269,1408,755,46110,*****,22827,2206,23283,2206,6505,1328,16778,2019
0500000US06053,06053,"Monterey County, California",243635,*****,127262,*****,43280,*****,40978,760,2302,760,431,358,1871,634,83982,*****,37063,2770,46919,2770,10453,1837,36466,2839,116373,*****,40944,*****,38218,1087,2726,1087,350,312,2376,1012,75429,*****,32922,2524,42507,2524,10124,1877,32383,2914
0500000US06055,06055,"Napa County, California",46807,*****,24408,*****,8136,*****,7401,664,735,665,411,650,324,325,16272,*****,7392,1235,8880,1236,3553,1131,5327,1289,22399,*****,7654,*****,7325,320,329,320,0,203,329,320,14745,*****,5877,976,8868,976,3396,839,5472,1115
0500000US06057,06057,"Nevada County, California",8862,*****,4516,924,1580,840,1580,840,0,203,0,203,0,203,2936,396,1489,528,1447,562,523,326,924,626,4346,924,1253,840,1253,840,0,203,0,203,0,203,3093,395,1760,431,1333,530,965,609,368,384
0500000US06059,06059,"Orange County, California",1065977,*****,538100,*****,176786,*****,166406,1862,10380,1862,683,470,9697,1795,361314,*****,164237,5688,197077,5688,56656,3749,140421,5509,527877,*****,169329,*****,158437,1911,10892,1911,937,657,9955,1792,358548,*****,164514,4762,194034,4762,63681,3351,130353,4656
0500000US06061,06061,"Placer County, California",49090,*****,24496,*****,8461,*****,7907,359,554,359,318,380,236,204,16035,*****,10466,1366,5569,1366,1536,654,4033,1404,24594,*****,8433,*****,7788,558,645,558,0,203,645,558,16161,*****,11177,1178,4984,1178,1422,566,3562,1220
0500000US06065,06065,"Riverside County, California",1075767,*****,541466,*****,189311,*****,180258,1721,9053,1721,867,599,8186,1605,352155,*****,183541,5064,168614,5064,62902,4221,105712,5256,534301,*****,182939,*****,175371,1492,7568,1491,629,354,6939,1359,351362,*****,191699,5176,159663,5175,63445,4515,96218,4523
0500000US06067,06067,"Sacramento County, California",325428,*****,164142,*****,57724,*****,55104,1002,2620,1002,205,242,2415,930,106418,*****,62823,2873,43595,2872,14582,1536,29013,2681,161286,*****,55127,*****,53249,781,1878,782,136,132,1742,752,106159,*****,66161,2606,39998,2607,13924,1784,26074,2681
0500000US06071,06071,"San Bernardino County, California",1066337,*****,534989,*****,185564,*****,178933,1446,6631,1446,594,378,6037,1344,349425,*****,206766,5665,142659,5665,54675,4371,87984,5307,531348,*****,177186,*****,171952,1328,5234,1329,410,399,4824,1300,354162,*****,208102,5550,146060,5550,60574,3771,85486,4814
0500000US06073,06073,"San Diego County, California",1057428,*****,526314,*****,170131,*****,160228,2101,9903,2102,1869,747,8034,1828,356183,*****,191188,5959,164995,5960,55635,3948,109360,5669,531114,*****,163562,*****,153199,2020,10363,2020,1570,757,8793,1907,367552,*****,184725,5688,182827,5688,67962,3654,114865,6369
0500000US06075,06075,"San Francisco County, California",128395,*****,68178,*****,13418,*****,12884,406,534,406,0,203,534,406,54760,*****,27618,2482,27142,2482,11635,1973,15507,2548,60217,*****,12715,*****,11482,833,1233,833,519,425,714,783,47502,*****,24184,2203,23318,2203,10715,1671,12603,1949
0500000US06077,06077,"San Joaquin County, California",282392,*****,144064,*****,52814,*****,49311,1201,3503,1202,387,388,3116,1120,91250,*****,44153,2889,47097,2889,12297,1568,34800,3107,138328,*****,50494,*****,48493,680,2001,680,43,72,1958,686,87834,*****,47280,2815,40554,2816,11309,1686,29245,2942
0500000US06079,06079,"San Luis Obispo County, California",60076,*****,31305,495,9136,495,8131,749,1005,667,0,203,1005,667,22169,*****,14071,1450,8098,1451,2125,811,5973,1541,28771,495,9595,495,9050,501,545,409,168,271,377,358,19176,*****,9973,1449,9203,1449,2983,968,6220,1372
0500000US06081,06081,"San Mateo County, California",189660,*****,96059,*****,28559,*****,26465,852,2094,852,280,298,1814,728,67500,*****,26657,3224,40843,3224,15104,2019,25739,3409,93601,*****,27600,*****,25407,771,2193,771,495,418,1698,628,66001,*****,27028,2442,38973,2442,17562,1974,21411,2326
0500000US06083,06083,"Santa Barbara County, California",192114,*****,99003,*****,32462,*****,30804,682,1658,682,188,175,1470,656,66541,*****,26595,2747,39946,2747,10463,1923,29483,2579,93111,*****,31213,*****,29535,807,1678,808,230,192,1448,768,61898,*****,31869,2532,30029,2531,8210,1695,21819,2351
0500000US06085,06085,"Santa Clara County, California",498101,*****,253257,*****,81403,*****,76731,1319,4672,1318,219,219,4453,1320,171854,*****,84024,5176,87830,5176,27200,2516,60630,4805,244844,*****,78205,*****,72843,1550,5362,1550,27,45,5335,1554,166639,*****,85155,4136,81484,4136,30667,2574,50817,4126
0500000US06087,06087,"Santa Cruz County, California",88768,*****,44950,*****,14567,*****,14172,323,395,323,56,96,339,308,30383,*****,14842,1469,15541,1469,4608,1287,10933,1684,43818,*****,14079,*****,12985,832,1094,832,0,203,1094,832,29739,*****,14802,1573,14937,1572,4906,1186,10031,1531
0500000US06089,06089,"Shasta County, California",16333,*****,8572,116,3420,116,3183,248,237,240,157,218,80,101,5152,*****,3176,566,1976,566,785,381,1191,466,7761,116,2431,116,2370,152,61,105,0,203,61,105,5330,*****,3719,607,1611,607,967,563,644,351
0500000US06095,06095,"Solano County, California",107118,*****,55058,*****,18574,*****,17397,642,1177,643,66,113,1111,638,36484,*****,18443,1651,18041,1651,5622,1153,12419,1819,52060,*****,17897,*****,16637,670,1260,669,117,151,1143,695,34163,*****,17534,1840,16629,1840,5545,1284,11084,1746
0500000US06097,06097,"Sonoma County, California",127986,*****,66558,*****,22502,*****,20228,1090,2274,1090,0,203,2274,1090,44056,*****,18490,2196,25566,2196,7843,1623,17723,2214,61428,*****,21724,*****,19335,1061,2389,1061,272,330,2117,1007,39704,*****,16522,2017,23182,2017,8160,1483,15022,2063
0500000US06099,06099,"Stanislaus County, California",228480,*****,115764,*****,42107,*****,40284,812,1823,812,49,81,1774,798,73657,*****,37727,2380,35930,2379,9713,1817,26217,2441,112716,*****,40771,*****,39251,570,1520,569,89,147,1431,550,71945,*****,37404,2153,34541,2153,12588,1871,21953,2344
0500000US06101,06101,"Sutter County, California",28198,*****,14526,*****,5313,*****,5051,298,262,298,166,235,96,160,9213,*****,3879,1051,5334,1051,1436,567,3898,1026,13672,*****,5116,*****,4647,566,469,566,0,203,469,566,8556,*****,3900,799,4656,799,1440,557,3216,829
0500000US06107,06107,"Tulare County, California",283051,*****,144607,*****,55079,*****,53127,837,1952,837,113,109,1839,824,89528,*****,44439,3000,45089,3000,11014,1649,34075,3137,138444,*****,52806,*****,50171,1107,2635,1107,119,121,2516,1108,85638,*****,46808,2386,38830,2386,10584,1429,28246,2389
0500000US06111,06111,"Ventura County, California",348723,*****,176716,*****,58350,*****,55329,1147,3021,1147,252,170,2769,1117,118366,*****,57259,3111,61107,3111,19848,1940,41259,3405,172007,*****,56113,*****,52565,908,3548,908,319,242,3229,904,115894,*****,58902,2803,56992,2804,24771,1896,32221,2554
0500000US06113,06113,"Yolo County, California",64010,*****,31901,*****,10348,*****,10094,256,254,256,0,203,254,256,21553,*****,9592,1579,11961,1579,4651,1348,7310,1335,32109,*****,10190,*****,9669,407,521,407,0,203,521,407,21919,*****,10730,1447,11189,1447,4804,1088,6385,1421
0500000US06115,06115,"Yuba County, California",19698,*****,10060,196,3983,196,3740,277,243,206,0,203,243,206,6077,*****,3194,653,2883,654,1096,427,1787,575,9638,196,3811,196,3692,164,119,117,0,203,119,117,5827,*****,3197,633,2630,634,1382,620,1248,493
0500000US08001,08001,"Adams County, Colorado",180907,*****,92667,*****,34028,*****,31294,1251,2734,1251,0,195,2734,1251,58639,*****,36555,2373,22084,2373,3915,878,18169,2330,88240,*****,32199,*****,30758,709,1441,709,0,195,1441,709,56041,*****,33645,2129,22396,2129,5660,1171,16736,2116
0500000US08005,08005,"Arapahoe County, Colorado",112777,*****,57080,*****,21638,*****,20214,579,1424,579,395,401,1029,482,35442,*****,17338,2127,18104,2127,4029,1139,14075,2137,55697,*****,20156,*****,18945,528,1211,527,323,295,888,469,35541,*****,19930,1538,15611,1538,3920,1064,11691,1519
0500000US08013,08013,"Boulder County, Colorado",42472,*****,21047,501,7217,501,6535,342,682,556,39,65,643,553,13830,*****,8418,933,5412,933,1625,650,3787,1122,21425,501,7870,501,6781,646,1089,732,264,312,825,678,13555,*****,8655,1031,4900,1031,1924,815,2976,797
0500000US08031,08031,"Denver County, Colorado",200805,*****,102789,*****,34167,*****,31700,842,2467,842,151,198,2316,818,68622,*****,38164,2643,30458,2642,7485,1321,22973,2597,98016,*****,32689,*****,29297,894,3392,894,245,247,3147,912,65327,*****,39550,2286,25777,2286,5238,1348,20539,2125
0500000US08035,08035,"Douglas County, Colorado",24824,*****,12515,251,4987,251,4844,307,143,187,143,187,0,195,7528,*****,5663,671,1865,671,747,319,1118,635,12309,251,4195,251,4195,251,0,195,0,195,0,195,8114,*****,6156,697,1958,698,531,282,1427,636
0500000US08041,08041,"El Paso County, Colorado",104339,*****,52784,*****,19562,*****,19513,78,49,78,0,195,49,78,33222,*****,26256,1550,6966,1550,2711,1117,4255,1318,51555,*****,18662,*****,18457,200,205,200,48,80,157,186,32893,*****,25030,1388,7863,1388,3401,970,4462,1250
0500000US08059,08059,"Jefferson County, Colorado",82897,*****,41083,*****,13735,*****,13345,313,390,314,111,148,279,267,27348,*****,20963,1347,6385,1347,2074,860,4311,1109,41814,*****,13359,*****,13066,201,293,200,46,77,247,190,28455,*****,22650,1069,5805,1069,2256,698,3549,910
0500000US08069,08069,"Larimer County, Colorado",34590,*****,17639,*****,6149,*****,5631,404,518,404,0,195,518,404,11490,*****,8104,1028,3386,1028,952,624,2434,891,16951,*****,5785,*****,5499,316,286,316,0,195,286,316,11166,*****,7990,917,3176,917,820,357,2356,874
0500000US08077,08077,"Mesa County, Colorado",20390,*****,9711,479,2909,479,2902,479,7,15,0,195,7,15,6802,*****,5782,662,1020,662,229,220,791,618,10679,478,4249,478,4125,476,124,202,0,195,124,202,6430,*****,5669,481,761,481,157,149,604,482
0500000US08101,08101,"Pueblo County, Colorado",68243,*****,33739,*****,10636,*****,10415,277,221,277,0,195,221,277,23103,*****,19955,998,3148,998,677,357,2471,977,34504,*****,10145,*****,10145,3,0,195,0,195,0,195,24359,*****,22264,777,2095,777,560,399,1535,737
0500000US08123,08123,"Weld County, Colorado",76702,*****,39254,*****,14466,*****,14280,194,186,194,0,195,186,194,24788,*****,17566,1107,7222,1107,3302,991,3920,1021,37448,*****,13925,*****,13409,522,516,521,275,436,241,305,23523,*****,15637,1381,7886,1381,3954,1068,3932,1056
0500000US09001,09001,"Fairfield County, Connecticut",171301,*****,87317,*****,26817,*****,24813,734,2004,734,97,112,1907,729,60500,*****,20952,2754,39548,2755,8119,1312,31429,3141,83984,*****,25190,*****,22488,929,2702,929,364,332,2338,902,58794,*****,25298,2300,33496,2300,9817,1537,23679,2581
0500000US09003,09003,"Hartford County, Connecticut",149469,*****,73497,*****,24992,*****,24428,449,564,449,34,57,530,431,48505,*****,36410,2091,12095,2091,3380,987,8715,1667,75972,*****,24137,*****,23308,581,829,581,119,121,710,564,51835,*****,40796,1881,11039,1882,4704,984,6335,1751
0500000US09005,09005,"Litchfield County, Connecticut",9677,*****,4002,496,1185,484,732,315,453,407,37,68,416,416,2817,142,890,496,1927,463,157,181,1770,492,5675,496,2216,484,2147,479,69,121,0,201,69,121,3459,142,1247,486,2212,497,275,276,1937,588
0500000US09007,09007,"Middlesex County, Connecticut",9075,*****,4069,526,1205,500,835,351,370,360,197,243,173,284,2864,212,1885,801,979,765,53,70,926,770,5006,526,1818,500,1658,551,160,254,0,201,160,254,3188,213,2485,371,703,374,418,281,285,275
0500000US09009,09009,"New Haven County, Connecticut",141688,*****,70494,*****,24246,*****,22841,918,1405,918,120,202,1285,890,46248,*****,32508,2132,13740,2131,3076,740,10664,2087,71194,*****,23231,*****,22835,287,396,287,0,201,396,287,47963,*****,35058,1922,12905,1922,5148,1255,7757,1654
0500000US09011,09011,"New London County, Connecticut",26393,*****,13655,253,4659,253,4659,253,0,201,0,201,0,201,8996,*****,6917,858,2079,858,1209,598,870,566,12738,253,4202,254,4202,254,0,201,0,201,0,201,8536,*****,6035,797,2501,797,1680,700,821,328
0500000US09015,09015,"Windham County, Connecticut",12306,*****,6073,359,1951,92,1850,81,101,124,54,92,47,80,4122,339,2003,625,2119,611,277,279,1842,516,6233,359,2386,93,2313,162,73,131,0,201,73,131,3847,339,2821,705,1026,574,391,420,635,390
0500000US10001,10001,"Kent County, Delaware",11218,*****,5611,500,2075,358,2075,358,0,189,0,189,0,189,3536,343,1676,868,1860,904,452,322,1408,935,5607,500,1879,357,1799,317,80,149,0,189,80,149,3728,342,3130,479,598,335,242,250,356,256
