GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HD01_VD01,Estimate; Total:
HD02_VD31,Margin of Error; Male: - 65 to 69 years:
HD01_VD32,Estimate; Male: - 65 to 69 years: - In labor force:
HD02_VD32,Margin of Error; Male: - 65 to 69 years: - In labor force:
HD01_VD33,Estimate; Male: - 65 to 69 years: - In labor force: - Employed
HD02_VD33,Margin of Error; Male: - 65 to 69 years: - In labor force: - Employed
HD01_VD34,Estimate; Male: - 65 to 69 years: - In labor force: - Unemployed
HD02_VD34,Margin of Error; Male: - 65 to 69 years: - In labor force: - Unemployed
HD01_VD35,Estimate; Male: - 65 to 69 years: - Not in labor force
HD02_VD35,Margin of Error; Male: - 65 to 69 years: - Not in labor force
HD01_VD36,Estimate; Male: - 70 years and over:
HD02_VD36,Margin of Error; Male: - 70 years and over:
HD01_VD37,Estimate; Male: - 70 years and over: - In labor force:
HD02_VD37,Margin of Error; Male: - 70 years and over: - In labor force:
HD01_VD38,Estimate; Male: - 70 years and over: - In labor force: - Employed
HD02_VD38,Margin of Error; Male: - 70 years and over: - In labor force: - Employed
HD01_VD39,Estimate; Male: - 70 years and over: - In labor force: - Unemployed
HD02_VD39,Margin of Error; Male: - 70 years and over: - In labor force: - Unemployed
HD01_VD40,Estimate; Male: - 70 years and over: - Not in labor force
HD02_VD40,Margin of Error; Male: - 70 years and over: - Not in labor force
HD01_VD41,Estimate; Female:
HD02_VD41,Margin of Error; Female:
HD01_VD42,Estimate; Female: - 16 to 19 years:
HD02_VD42,Margin of Error; Female: - 16 to 19 years:
HD01_VD43,Estimate; Female: - 16 to 19 years: - In labor force:
HD02_VD43,Margin of Error; Female: - 16 to 19 years: - In labor force:
HD01_VD44,Estimate; Female: - 16 to 19 years: - In labor force: - In Armed Forces
HD02_VD44,Margin of Error; Female: - 16 to 19 years: - In labor force: - In Armed Forces
HD01_VD45,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian:
HD02_VD45,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian:
HD01_VD46,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian: - Employed
HD02_VD46,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian: - Employed
HD01_VD47,Estimate; Female: - 16 to 19 years: - In labor force: - Civilian: - Unemployed
HD02_VD47,Margin of Error; Female: - 16 to 19 years: - In labor force: - Civilian: - Unemployed
HD01_VD48,Estimate; Female: - 16 to 19 years: - Not in labor force
HD02_VD48,Margin of Error; Female: - 16 to 19 years: - Not in labor force
HD01_VD49,Estimate; Female: - 20 to 24 years:
HD02_VD49,Margin of Error; Female: - 20 to 24 years:
HD01_VD50,Estimate; Female: - 20 to 24 years: - In labor force:
HD02_VD50,Margin of Error; Female: - 20 to 24 years: - In labor force:
HD01_VD51,Estimate; Female: - 20 to 24 years: - In labor force: - In Armed Forces
HD02_VD51,Margin of Error; Female: - 20 to 24 years: - In labor force: - In Armed Forces
HD01_VD52,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian:
HD02_VD52,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian:
HD01_VD53,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian: - Employed
HD02_VD53,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian: - Employed
HD01_VD54,Estimate; Female: - 20 to 24 years: - In labor force: - Civilian: - Unemployed
HD02_VD54,Margin of Error; Female: - 20 to 24 years: - In labor force: - Civilian: - Unemployed
HD01_VD55,Estimate; Female: - 20 to 24 years: - Not in labor force
HD02_VD55,Margin of Error; Female: - 20 to 24 years: - Not in labor force
HD01_VD56,Estimate; Female: - 25 to 54 years:
HD02_VD56,Margin of Error; Female: - 25 to 54 years:
HD01_VD57,Estimate; Female: - 25 to 54 years: - In labor force:
HD02_VD57,Margin of Error; Female: - 25 to 54 years: - In labor force:
HD01_VD58,Estimate; Female: - 25 to 54 years: - In labor force: - In Armed Forces
HD02_VD58,Margin of Error; Female: - 25 to 54 years: - In labor force: - In Armed Forces
HD01_VD59,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian:
HD02_VD59,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian:
HD01_VD60,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian: - Employed
HD02_VD60,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian: - Employed
HD01_VD61,Estimate; Female: - 25 to 54 years: - In labor force: - Civilian: - Unemployed
HD02_VD61,Margin of Error; Female: - 25 to 54 years: - In labor force: - Civilian: - Unemployed
HD01_VD62,Estimate; Female: - 25 to 54 years: - Not in labor force
HD02_VD62,Margin of Error; Female: - 25 to 54 years: - Not in labor force
HD01_VD63,Estimate; Female: - 55 to 64 years:
HD02_VD63,Margin of Error; Female: - 55 to 64 years:
HD01_VD64,Estimate; Female: - 55 to 64 years: - In labor force:
HD02_VD64,Margin of Error; Female: - 55 to 64 years: - In labor force:
HD01_VD65,Estimate; Female: - 55 to 64 years: - In labor force: - In Armed Forces
HD02_VD65,Margin of Error; Female: - 55 to 64 years: - In labor force: - In Armed Forces
HD01_VD66,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian:
HD02_VD66,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian:
HD01_VD67,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian: - Employed
HD02_VD67,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian: - Employed
HD01_VD68,Estimate; Female: - 55 to 64 years: - In labor force: - Civilian: - Unemployed
HD02_VD68,Margin of Error; Female: - 55 to 64 years: - In labor force: - Civilian: - Unemployed
HD01_VD69,Estimate; Female: - 55 to 64 years: - Not in labor force
HD02_VD69,Margin of Error; Female: - 55 to 64 years: - Not in labor force
HD01_VD70,Estimate; Female: - 65 to 69 years:
HD02_VD70,Margin of Error; Female: - 65 to 69 years:
HD01_VD71,Estimate; Female: - 65 to 69 years: - In labor force:
HD02_VD71,Margin of Error; Female: - 65 to 69 years: - In labor force:
HD01_VD72,Estimate; Female: - 65 to 69 years: - In labor force: - Employed
HD02_VD72,Margin of Error; Female: - 65 to 69 years: - In labor force: - Employed
HD01_VD73,Estimate; Female: - 65 to 69 years: - In labor force: - Unemployed
HD02_VD73,Margin of Error; Female: - 65 to 69 years: - In labor force: - Unemployed
HD01_VD74,Estimate; Female: - 65 to 69 years: - Not in labor force
HD02_VD74,Margin of Error; Female: - 65 to 69 years: - Not in labor force
HD01_VD75,Estimate; Female: - 70 years and over:
HD02_VD75,Margin of Error; Female: - 70 years and over:
HD01_VD76,Estimate; Female: - 70 years and over: - In labor force:
HD02_VD76,Margin of Error; Female: - 70 years and over: - In labor force:
HD01_VD77,Estimate; Female: - 70 years and over: - In labor force: - Employed
HD02_VD77,Margin of Error; Female: - 70 years and over: - In labor force: - Employed
HD01_VD78,Estimate; Female: - 70 years and over: - In labor force: - Unemployed
HD02_VD78,Margin of Error; Female: - 70 years and over: - In labor force: - Unemployed
HD01_VD79,Estimate; Female: - 70 years and over: - Not in labor force
HD02_VD79,Margin of Error; Female: - 70 years and over: - Not in labor force
