GEO.id,GEO.id2,GEO.display-label,HD01_VD01,HD02_VD01,HD01_VD02,HD02_VD02,HD01_VD03,HD02_VD03,HD01_VD04,HD02_VD04,HD01_VD05,HD02_VD05,HD01_VD06,HD02_VD06,HD01_VD07,HD02_VD07,HD01_VD08,HD02_VD08,HD01_VD09,HD02_VD09,HD01_VD10,HD02_VD10,HD01_VD11,HD02_VD11,HD01_VD12,HD02_VD12,HD01_VD13,HD02_VD13,HD01_VD14,HD02_VD14,HD01_VD15,HD02_VD15,HD01_VD16,HD02_VD16,HD01_VD17,HD02_VD17,HD01_VD18,HD02_VD18,HD01_VD19,HD02_VD19
0500000US06001,06001,"Alameda County, California",5738,1408,1001,503,210,283,162,270,48,80,0,292,791,352,40,68,751,347,0,292,4737,1343,2374,727,645,419,1276,494,453,204,2363,859,719,578,1542,550,102,119
0500000US06019,06019,"Fresno County, California",9015,1840,1573,891,796,538,74,105,699,479,23,29,777,534,140,148,553,418,84,122,7442,1747,3645,1017,967,516,2492,779,186,159,3797,1094,1032,605,2563,637,202,192
0500000US06023,06023,"Humboldt County, California",5853,1051,1084,688,532,390,220,288,312,191,0,292,552,365,211,179,341,245,0,292,4769,936,2536,572,330,200,1970,492,236,174,2233,609,448,253,1595,501,190,156
0500000US06029,06029,"Kern County, California",7864,2000,1780,1561,845,938,548,585,297,420,0,292,935,660,400,364,438,342,97,114,6084,1331,2908,804,1292,599,1503,443,113,129,3176,831,751,440,2331,548,94,111
0500000US06037,06037,"Los Angeles County, California",44934,4232,6233,1725,2558,995,565,382,1849,801,144,170,3675,1169,577,504,2455,844,643,340,38701,4007,20023,2754,3328,1301,14675,2191,2020,544,18678,2045,3996,995,12431,1531,2251,809
0500000US06059,06059,"Orange County, California",14604,1781,905,664,419,343,140,173,279,269,0,292,486,427,48,79,438,383,0,292,13699,1836,6437,1233,1007,572,4770,872,660,237,7262,1216,1594,724,4994,888,674,403
0500000US06065,06065,"Riverside County, California",18636,2836,3137,1703,1221,775,504,431,700,536,17,30,1916,1039,903,620,1004,582,9,16,15499,2445,7762,1328,1744,769,5568,989,450,275,7737,1627,1417,898,5563,984,757,337
0500000US06067,06067,"Sacramento County, California",9844,2169,1888,1149,951,687,556,488,395,342,0,292,937,703,372,511,565,349,0,292,7956,1862,4141,1069,1200,590,2578,850,363,276,3815,1449,467,301,3003,1193,345,271
0500000US06071,06071,"San Bernardino County, California",19523,2928,5044,1977,2183,1392,1160,732,1023,723,0,292,2861,1219,1005,648,1693,748,163,177,14479,2883,6321,1533,1062,665,4547,1311,712,316,8158,1970,1791,777,5489,1638,878,374
0500000US06073,06073,"San Diego County, California",18639,2454,4107,1409,1376,653,665,520,672,342,39,65,2731,1086,880,665,1755,643,96,112,14532,2465,7804,1353,1101,543,6148,1062,555,288,6728,1612,1432,723,4552,965,744,358
0500000US06107,06107,"Tulare County, California",4694,1081,1185,837,611,549,203,271,325,306,83,95,574,332,159,264,404,199,11,19,3509,894,2157,672,756,332,1141,446,260,255,1352,458,272,197,816,349,264,172
0500000US08031,08031,"Denver County, Colorado",5938,1270,1716,1012,901,500,204,315,631,364,66,111,815,687,102,158,613,566,100,120,4222,1368,2216,787,701,552,1515,591,0,275,2006,797,464,398,1260,638,282,227
0500000US17031,17031,"Cook County, Illinois",7963,2179,1040,538,691,397,0,265,691,397,0,265,349,266,0,265,279,237,70,115,6923,2084,2851,1166,495,448,2227,871,129,126,4072,1182,898,553,3007,987,167,174
0500000US22109,22109,"Terrebonne Parish, Louisiana",5569,322,2395,769,691,387,399,237,198,182,94,116,1704,584,642,381,1062,288,0,269,3174,814,2382,559,717,425,1485,346,180,190,792,452,273,211,519,315,0,269
0500000US26073,26073,"Isabella County, Michigan",1668,268,360,200,176,129,60,57,116,94,0,237,184,125,20,27,164,117,0,237,1308,215,726,199,356,87,325,138,45,37,582,124,179,44,345,123,58,49
0500000US26163,26163,"Wayne County, Michigan",4756,1116,749,398,282,240,0,237,282,240,0,237,467,337,34,54,291,220,142,220,4007,1127,2104,652,328,197,1613,572,163,181,1903,622,418,290,1384,470,101,127
0500000US27053,27053,"Hennepin County, Minnesota",7283,1653,2063,1437,932,845,801,806,131,176,0,211,1131,720,368,321,763,521,0,211,5220,1311,2939,770,687,516,2168,616,84,125,2281,886,597,384,1443,675,241,209
0500000US30111,30111,"Yellowstone County, Montana",5925,979,2570,1424,770,470,384,203,386,354,0,233,1800,1137,986,901,741,424,73,121,3355,1197,1734,789,609,572,1107,490,18,30,1621,612,231,284,1305,512,85,97
0500000US32003,32003,"Clark County, Nevada",12282,2135,1718,1309,827,781,651,713,176,209,0,298,891,600,382,328,446,321,63,103,10564,2061,5336,1100,1193,759,4045,752,98,162,5228,1277,1310,624,3511,769,407,206
0500000US35001,35001,"Bernalillo County, New Mexico",27168,1877,6455,2530,3241,1317,1671,803,1457,712,113,136,3214,1550,1211,759,1838,873,165,195,20713,2660,9753,1612,2325,891,7042,1158,386,216,10960,1489,2359,854,7827,941,774,224
0500000US35031,35031,"McKinley County, New Mexico",49967,1979,15497,3807,7195,1660,2672,939,3821,951,702,278,8302,2415,3370,1180,4129,1481,803,292,34470,3799,16637,1721,5797,1121,9907,1116,933,276,17833,2301,4594,1087,11633,1498,1606,292
0500000US35043,35043,"Sandoval County, New Mexico",14463,976,2713,952,1382,616,401,233,877,423,104,123,1331,575,488,382,735,314,108,122,11750,1404,5387,847,1659,569,3307,448,421,125,6363,757,1649,547,4070,359,644,122
0500000US35045,35045,"San Juan County, New Mexico",43326,1111,14102,3337,6283,1790,2482,1091,3380,999,421,222,7819,1842,3277,994,3815,1118,727,261,29224,3498,14738,1835,4232,1114,9557,1096,949,222,14486,2031,3778,1034,9570,1312,1138,260
0500000US35049,35049,"Santa Fe County, New Mexico",4225,565,831,678,567,440,205,282,312,223,50,83,264,279,17,29,223,277,24,31,3394,618,1537,354,379,133,961,334,197,137,1857,447,467,158,1332,339,58,77
0500000US36029,36029,"Erie County, New York",4416,1133,1025,653,494,401,131,239,363,328,0,273,531,398,62,108,383,318,86,144,3391,998,1740,803,454,414,1195,633,91,106,1651,457,250,265,845,305,556,309
0500000US37155,37155,"Robeson County, North Carolina",45627,1401,11060,3181,3857,1310,2342,1040,1071,592,444,317,7203,2225,2326,1084,4356,1321,521,302,34567,3523,17875,1802,4118,1107,12569,1158,1188,317,16692,2180,4316,1017,10868,1324,1508,365
0500000US40027,40027,"Cleveland County, Oklahoma",8079,1429,1628,1046,871,538,265,299,606,381,0,246,757,588,253,312,457,339,47,80,6451,1255,3511,717,1071,421,2216,507,224,175,2940,787,565,275,2037,655,338,199
0500000US40031,40031,"Comanche County, Oklahoma",4936,607,1867,745,926,434,511,332,367,263,48,76,941,430,331,237,520,277,90,91,3069,797,1075,500,322,347,658,295,95,84,1994,569,708,304,931,360,355,124
0500000US40101,40101,"Muskogee County, Oklahoma",10873,967,2200,987,1135,519,929,463,160,157,46,74,1065,574,410,320,588,352,67,104,8673,1373,3989,764,1167,464,2501,449,321,151,4684,837,1292,500,3029,516,363,220
0500000US40109,40109,"Oklahoma County, Oklahoma",19107,2596,4128,2067,1680,762,805,460,839,421,36,62,2448,1476,1114,903,1304,734,30,52,14979,1922,7164,1172,2399,614,4391,919,374,173,7815,1341,2251,677,4986,933,578,174
0500000US40125,40125,"Pottawatomie County, Oklahoma",9190,752,2172,1027,1298,629,520,322,689,395,89,144,874,500,374,310,430,244,70,75,7018,1160,3311,752,1334,406,1849,480,128,122,3707,595,925,375,2385,362,397,204
0500000US40131,40131,"Rogers County, Oklahoma",9235,1162,1351,739,379,373,129,180,215,262,35,59,972,579,134,225,783,481,55,92,7884,1164,3821,667,1090,387,2570,516,161,149,4063,832,1714,462,1961,545,388,164
0500000US40143,40143,"Tulsa County, Oklahoma",24822,2026,5410,1717,2760,959,1295,590,1362,558,103,113,2650,949,1080,625,1423,507,147,149,19412,2029,9193,1236,2627,686,5832,869,734,159,10219,1205,2279,484,6762,795,1178,439
0500000US40145,40145,"Wagoner County, Oklahoma",5400,991,935,607,481,361,275,222,206,182,0,246,454,299,214,221,221,173,19,36,4465,1178,2306,791,948,312,1261,577,97,105,2159,518,506,224,1483,408,170,106
0500000US41039,41039,"Lane County, Oregon",5477,1318,1157,569,196,164,0,273,196,164,0,273,961,548,67,127,817,486,77,126,4320,1269,2495,800,519,486,1848,501,128,145,1825,633,414,201,1130,584,281,220
0500000US41047,41047,"Marion County, Oregon",9022,3197,4238,2432,1860,1168,458,413,1390,874,12,22,2378,1417,913,763,1339,858,126,188,4784,1962,2993,1586,521,310,2460,1511,12,21,1791,844,727,463,1006,609,58,74
0500000US41051,41051,"Multnomah County, Oregon",12656,3894,4747,2748,1504,1003,1161,836,343,337,0,273,3243,1901,1752,1435,1450,675,41,70,7909,3015,4751,1852,871,1058,3758,1730,122,121,3158,1621,1126,1134,1958,741,74,95
0500000US41067,41067,"Washington County, Oregon",13624,4316,2675,2100,1242,920,887,736,355,369,0,273,1433,1423,819,930,614,539,0,273,10949,3678,6347,2082,1613,948,4705,1477,29,56,4602,2080,1585,1403,2971,997,46,78
0500000US42101,42101,"Philadelphia County, Pennsylvania",3493,948,1161,526,413,301,0,242,342,298,71,119,748,447,0,242,748,447,0,242,2332,770,1210,581,339,284,612,410,259,268,1122,446,442,296,606,276,74,123
0500000US46099,46099,"Minnehaha County, South Dakota",3326,467,1453,627,428,323,158,134,270,283,0,221,1025,460,279,283,746,324,0,221,1873,709,1193,503,509,291,661,303,23,45,680,406,208,177,448,309,24,45
0500000US46103,46103,"Pennington County, South Dakota",6553,834,1662,717,304,270,127,116,177,203,0,221,1358,593,251,248,1067,460,40,65,4891,972,2358,592,791,441,1567,316,0,221,2533,605,973,389,1219,414,341,231
0500000US48029,48029,"Bexar County, Texas",9405,1727,2007,1200,672,480,330,330,342,250,0,287,1335,910,605,558,730,474,0,287,7398,1900,3719,1108,557,346,2968,925,194,192,3679,1076,846,454,2187,678,646,396
0500000US48113,48113,"Dallas County, Texas",11538,2648,1787,1206,427,348,332,313,95,158,0,287,1360,916,394,541,966,573,0,287,9751,2555,4983,1663,1140,693,3405,1326,438,258,4768,1246,726,396,3261,912,781,377
0500000US48201,48201,"Harris County, Texas",13245,2714,2877,1547,1308,839,625,527,683,470,0,287,1569,887,224,370,1109,560,236,220,10368,2062,6300,1483,1479,651,4576,1274,245,292,4068,942,831,517,3050,641,187,155
0500000US48439,48439,"Tarrant County, Texas",8227,1669,1121,663,355,300,280,275,75,125,0,287,766,531,142,172,624,477,0,287,7106,1547,3578,853,534,310,2831,735,213,174,3528,908,788,378,2624,659,116,180
0500000US53009,53009,"Clallam County, Washington",3863,497,1010,657,571,448,331,391,240,193,0,269,439,288,0,269,439,288,0,269,2853,628,1625,390,432,227,1046,260,147,156,1228,373,385,228,715,244,128,155
0500000US53027,53027,"Grays Harbor County, Washington",2607,758,349,313,28,46,0,269,28,46,0,269,321,298,0,269,305,295,16,30,2258,666,1039,512,159,159,738,485,142,95,1219,436,361,322,652,346,206,113
0500000US53033,53033,"King County, Washington",12018,2178,2577,1025,1282,633,73,122,1199,626,10,19,1295,610,168,206,1014,542,113,132,9441,1930,4914,1152,1231,674,3617,964,66,92,4527,1072,375,315,3694,925,458,235
0500000US53053,53053,"Pierce County, Washington",9065,1832,1416,714,605,333,252,206,251,208,102,141,811,515,284,289,326,254,201,225,7649,1750,3967,1048,1584,618,2196,752,187,131,3682,1117,1079,397,2393,844,210,146
0500000US53057,53057,"Skagit County, Washington",2185,279,918,431,422,226,73,91,349,199,0,269,496,261,169,168,319,178,8,16,1267,469,583,259,262,135,292,192,29,41,684,304,172,126,485,259,27,33
0500000US53061,53061,"Snohomish County, Washington",6834,1396,843,489,455,332,274,267,181,187,0,269,388,301,112,119,276,243,0,269,5991,1450,2911,805,761,387,1922,585,228,92,3080,929,508,359,2262,694,310,205
0500000US53063,53063,"Spokane County, Washington",5033,944,1622,749,414,314,216,240,198,220,0,269,1208,591,94,112,1114,532,0,269,3411,877,1869,675,247,228,1400,624,222,180,1542,465,339,244,1106,382,97,91
0500000US53073,53073,"Whatcom County, Washington",4921,840,1390,817,574,414,222,298,312,228,40,53,816,647,377,339,274,293,165,139,3531,1119,1839,540,649,283,1077,386,113,93,1692,688,475,279,1143,533,74,63
0500000US53077,53077,"Yakima County, Washington",10129,1015,3891,1529,1735,712,806,468,815,591,114,130,2156,970,899,550,1257,634,0,269,6238,1728,3564,1229,1536,995,1818,658,210,244,2674,833,325,389,1917,673,432,243
0500000US55009,55009,"Brown County, Wisconsin",4124,977,1673,1039,696,441,297,192,399,334,0,213,977,700,581,436,396,320,0,213,2451,752,1171,395,197,203,935,356,39,66,1280,553,225,260,1055,376,0,213
0500000US55079,55079,"Milwaukee County, Wisconsin",5838,847,2210,947,816,418,569,281,190,163,57,93,1394,773,568,309,779,517,47,80,3628,1009,1941,545,326,261,1577,410,38,64,1687,700,503,425,1072,415,112,127
